Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 5.1200	Mesh (Number of cells): 515
0.0805260864 	 0.8066710939 	 -0.6765982252 	 -0.6765980145 	 235
-0.0805260864 	 -0.8066710939 	 0.6765985611 	 0.6765983500 	 236
0.4789089422 	 -0.5987541446 	 0.3820648056 	 0.3820647166 	 237
-0.4789089422 	 0.5987541446 	 -0.3820649449 	 -0.3820648557 	 238
0.3276292299 	 0.3122476507 	 0.0043377684 	 0.0043378584 	 239
-0.3276292299 	 -0.3122476507 	 -0.0043379557 	 -0.0043380453 	 240
0.3135486914 	 -0.2513488049 	 -0.0236141967 	 -0.0236142660 	 241
-0.3135486914 	 0.2513488049 	 0.0236144253 	 0.0236144941 	 242
0.3829523724 	 -0.2862627109 	 0.0048444597 	 0.0048443654 	 243
-0.3829523724 	 0.2862627109 	 -0.0048442926 	 -0.0048441987 	 244
-0.9056807534 	 0.1491223406 	 -0.1485831541 	 -0.1485831603 	 245
0.9056807534 	 -0.1491223406 	 0.1485831534 	 0.1485831595 	 246
0.6242076280 	 0.4375495125 	 -0.2744775975 	 -0.2744775374 	 247
-0.6242076280 	 -0.4375495125 	 0.2744776106 	 0.2744775505 	 248
0.3557767182 	 0.2342436969 	 0.0169809203 	 0.0169810049 	 249
-0.3557767182 	 -0.2342436969 	 -0.0169811374 	 -0.0169812216 	 250
-0.6104769303 	 -0.7274852877 	 0.7442853912 	 0.7442853916 	 251
0.6104769303 	 0.7274852877 	 -0.7442853859 	 -0.7442853863 	 252
-0.6117467515 	 0.7273272438 	 -0.7456781380 	 -0.7456781402 	 253
0.6117467516 	 -0.7273272438 	 0.7456781310 	 0.7456781333 	 254
0.7036397004 	 0.4485225133 	 -0.3532655250 	 -0.3532654968 	 255
-0.7036397004 	 -0.4485225133 	 0.3532655436 	 0.3532655153 	 256
0.8825095350 	 0.3653687976 	 -0.3763831276 	 -0.3763831293 	 257
-0.8825095350 	 -0.3653687976 	 0.3763831261 	 0.3763831279 	 258
0.8795835371 	 -0.3712127962 	 0.3777557275 	 0.3777557305 	 259
-0.8795835371 	 0.3712127962 	 -0.3777557267 	 -0.3777557297 	 260
0.9486858694 	 0.0746626164 	 -0.0757909701 	 -0.0757909698 	 261
-0.9486858694 	 -0.0746626165 	 0.0757909695 	 0.0757909692 	 262
-0.8258715847 	 0.1465105767 	 -0.1205229977 	 -0.1205229980 	 263
0.8258715847 	 -0.1465105767 	 0.1205229973 	 0.1205229976 	 264
0.5191588417 	 -0.2627556540 	 0.0619093817 	 0.0619092890 	 265
-0.5191588417 	 0.2627556540 	 -0.0619093062 	 -0.0619092137 	 266
0.0910301557 	 -0.9505481523 	 1.0003868424 	 1.0003868180 	 267
-0.0910301557 	 0.9505481523 	 -1.0003867690 	 -1.0003867447 	 268
0.0910301560 	 0.9505481522 	 -0.9961425920 	 -0.9961425725 	 269
-0.0910301560 	 -0.9505481522 	 0.9961426781 	 0.9961426586 	 270
-0.0856722197 	 0.6331742143 	 -0.0007797615 	 -0.0007797579 	 271
0.0856722197 	 -0.6331742143 	 0.0007797407 	 0.0007797371 	 272
-0.0856722197 	 -0.6331742143 	 0.0026936488 	 0.0026936445 	 273
0.0856722197 	 0.6331742143 	 -0.0026936625 	 -0.0026936582 	 274
0.1260870738 	 0.1833445114 	 -0.0050462844 	 -0.0050462844 	 275
-0.1260870738 	 -0.1833445114 	 0.0050461172 	 0.0050461175 	 276
0.7464753708 	 -0.5274296711 	 0.5115402353 	 0.5115402353 	 277
-0.7464753708 	 0.5274296711 	 -0.5115402479 	 -0.5115402478 	 278
0.4437874416 	 -0.2337532472 	 0.0141449859 	 0.0141448965 	 279
-0.4437874416 	 0.2337532472 	 -0.0141448553 	 -0.0141447661 	 280
0.3488449955 	 0.5470126060 	 -0.1758032545 	 -0.1758031306 	 281
-0.3488449955 	 -0.5470126060 	 0.1758033484 	 0.1758032243 	 282
0.3452192726 	 -0.5464300627 	 0.1643453663 	 0.1643452437 	 283
-0.3452192726 	 0.5464300627 	 -0.1643455021 	 -0.1643453792 	 284
0.5273742891 	 -0.3436764950 	 0.1130583102 	 0.1130582162 	 285
-0.5273742891 	 0.3436764950 	 -0.1130582790 	 -0.1130581852 	 286
0.4299116846 	 0.2080345850 	 -0.0009651313 	 -0.0009650433 	 287
-0.4299116846 	 -0.2080345850 	 0.0009649722 	 0.0009648846 	 288
-0.3916249648 	 -0.0784006677 	 -0.0143053589 	 -0.0143053958 	 289
0.3916249648 	 0.0784006677 	 0.0143052776 	 0.0143053147 	 290
0.3026262358 	 -0.1771452209 	 -0.0418309848 	 -0.0418310157 	 291
-0.3026262358 	 0.1771452209 	 0.0418312123 	 0.0418312427 	 292
0.7440483868 	 0.5210520529 	 -0.4973758715 	 -0.4973758659 	 293
-0.7440483868 	 -0.5210520529 	 0.4973758795 	 0.4973758738 	 294
0.2145903012 	 -0.0736935582 	 -0.0038566409 	 -0.0038566381 	 295
-0.2145903012 	 0.0736935582 	 0.0038566494 	 0.0038566466 	 296
0.2330003518 	 -0.1472666743 	 -0.0235411965 	 -0.0235412031 	 297
-0.2330003518 	 0.1472666743 	 0.0235414003 	 0.0235414066 	 298
0.5788160825 	 -0.2085498386 	 0.0649107585 	 0.0649106951 	 299
-0.5788160825 	 0.2085498386 	 -0.0649107073 	 -0.0649106441 	 300
0.0863816373 	 0.3732981075 	 0.0028540902 	 0.0028540942 	 301
-0.0863816373 	 -0.3732981075 	 -0.0028541240 	 -0.0028541280 	 302
0.0840107933 	 -0.3820972047 	 -0.0022402977 	 -0.0022403030 	 303
-0.0840107933 	 0.3820972047 	 0.0022403180 	 0.0022403232 	 304
0.4933373488 	 -0.1017067456 	 0.0092371066 	 0.0092370714 	 305
-0.4933373488 	 0.1017067456 	 -0.0092370425 	 -0.0092370074 	 306
-0.4885235218 	 -0.2603288529 	 0.0462492676 	 0.0462491693 	 307
0.4885235218 	 0.2603288529 	 -0.0462493720 	 -0.0462492736 	 308
-0.4479736137 	 -0.1321401477 	 -0.0001118950 	 -0.0001119583 	 309
0.4479736137 	 0.1321401477 	 0.0001117968 	 0.0001118603 	 310
0.4195339564 	 0.5399826328 	 -0.2306012725 	 -0.2306011560 	 311
-0.4195339565 	 -0.5399826328 	 0.2306013514 	 0.2306012346 	 312
-0.6360865508 	 0.0792283708 	 -0.0316868470 	 -0.0316868318 	 313
0.6360865508 	 -0.0792283708 	 0.0316868665 	 0.0316868512 	 314
0.3589735170 	 -0.1252847460 	 -0.0187612576 	 -0.0187612959 	 315
-0.3589735170 	 0.1252847460 	 0.0187613952 	 0.0187614332 	 316
-0.5623449505 	 -0.2368374674 	 0.0700810968 	 0.0700810162 	 317
0.5623449505 	 0.2368374674 	 -0.0700811618 	 -0.0700810810 	 318
0.1133837046 	 -0.1944637198 	 -0.0014417268 	 -0.0014417238 	 319
-0.1133837046 	 0.1944637198 	 0.0014417868 	 0.0014417837 	 320
0.5686629267 	 -0.1291556800 	 0.0346020501 	 0.0346020132 	 321
-0.5686629267 	 0.1291556800 	 -0.0346020028 	 -0.0346019660 	 322
0.2733188201 	 -0.0249990376 	 -0.0011778668 	 -0.0011778600 	 323
-0.2733188201 	 0.0249990376 	 0.0011778739 	 0.0011778670 	 324
0.7132702184 	 -0.1094395325 	 0.0647875917 	 0.0647875826 	 325
-0.7132702184 	 0.1094395325 	 -0.0647875822 	 -0.0647875731 	 326
