time = 0.187	Re = 10	rotation = -0.268138
-0.787563	0.297907	5024	
-0.787087	0.299305	5024	
-0.785830	0.302919	5024	
-0.783759	0.308741	7036	
-0.780803	0.316715	6192	
-0.776961	0.326537	6192	
-0.772150	0.338115	6192	
-0.766248	0.351703	5874	
-0.759265	0.367087	4613	
-0.751135	0.384163	5156	
-0.741809	0.402290	5168	
-0.731049	0.421623	5168	
-0.718832	0.441849	5234	
-0.705223	0.462707	7166	
-0.690174	0.484494	7166	
-0.673926	0.506592	6370	
-0.656421	0.528940	7292	
-0.637902	0.551020	6435	
-0.618017	0.573078	7421	
