time = 0.187	Re = 25	rotation = -0.268138
-0.779166	0.485479	7244	
-0.778799	0.486111	7244	
-0.777754	0.487875	7244	
-0.776020	0.490964	6594	
-0.773590	0.495273	6594	
-0.770348	0.500699	6594	
-0.766412	0.507196	6594	
-0.761392	0.515077	982	
-0.755728	0.523721	950	
-0.749473	0.532997	950	
-0.742364	0.543102	4874	
-0.734097	0.554184	5904	
-0.725091	0.565549	5904	
-0.715553	0.577380	1221	
-0.705423	0.589843	1183	
-0.694398	0.602849	4970	
-0.682643	0.615977	5926	
-0.670108	0.629407	8255	
-0.656743	0.643206	2059	
