Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_y	Time: 16.1500	Mesh (Number of cells): 3133
-0.6377365237 	 0.6913403169 	 0.5932336528 	 0.5932336330 	 189
0.6377365237 	 -0.6913403169 	 -0.5932336517 	 -0.5932336319 	 190
-0.9178013201 	 0.0673163938 	 0.8344839563 	 0.8344839302 	 191
0.9178013201 	 -0.0673163938 	 -0.8344839562 	 -0.8344839300 	 192
0.3604460560 	 -0.9157768362 	 -0.3577473552 	 -0.3577473481 	 193
-0.3604460560 	 0.9157768362 	 0.3577473555 	 0.3577473484 	 194
-0.6453000021 	 0.6619878593 	 0.5906722471 	 0.5906722231 	 195
0.6453000021 	 -0.6619878593 	 -0.5906722458 	 -0.5906722218 	 196
0.9217794930 	 0.0219502031 	 -0.8399810528 	 -0.8399810257 	 197
-0.9217794930 	 -0.0219502031 	 0.8399810529 	 0.8399810257 	 198
-0.4079019041 	 0.5656048043 	 0.2468680092 	 0.2468679057 	 199
0.4079019041 	 -0.5656048043 	 -0.2468680071 	 -0.2468679036 	 200
0.6475612115 	 0.2129740892 	 -0.3598980582 	 -0.3598979310 	 201
-0.6475612115 	 -0.2129740892 	 0.3598980581 	 0.3598979309 	 202
-0.4230379711 	 0.6969262703 	 0.3594574489 	 0.3594573717 	 203
0.4230379711 	 -0.6969262703 	 -0.3594574463 	 -0.3594573691 	 204
0.1182413531 	 -0.2290038476 	 -0.0081358020 	 -0.0081357916 	 205
-0.1182413531 	 0.2290038476 	 0.0081358017 	 0.0081357912 	 206
-0.6471257626 	 0.1013534881 	 0.3549840590 	 0.3549839530 	 207
0.6471257626 	 -0.1013534881 	 -0.3549840586 	 -0.3549839525 	 208
-0.0477852276 	 0.9417513561 	 0.0615614403 	 0.0615614358 	 209
0.0477852276 	 -0.9417513561 	 -0.0615614410 	 -0.0615614365 	 210
0.6472253275 	 0.2419557895 	 -0.3634225634 	 -0.3634224330 	 211
-0.6472253275 	 -0.2419557895 	 0.3634225632 	 0.3634224328 	 212
-0.6470498359 	 0.1303041552 	 0.3589957283 	 0.3589956238 	 213
0.6470498359 	 -0.1303041552 	 -0.3589957277 	 -0.3589956233 	 214
0.3365932760 	 -0.5458815071 	 -0.1700426067 	 -0.1700425014 	 215
-0.3365932760 	 0.5458815071 	 0.1700426069 	 0.1700425016 	 216
-0.4657815967 	 0.7218426872 	 0.4011853144 	 0.4011852554 	 217
0.4657815967 	 -0.7218426872 	 -0.4011853119 	 -0.4011852528 	 218
-0.8506211201 	 -0.3721235319 	 0.7631071414 	 0.7631070945 	 219
0.8506211201 	 0.3721235319 	 -0.7631071415 	 -0.7631070947 	 220
-0.8594783815 	 -0.3994894263 	 0.7932351068 	 0.7932350687 	 221
0.8594783815 	 0.3994894263 	 -0.7932351069 	 -0.7932350689 	 222
0.0571806661 	 0.4062630124 	 0.0389388461 	 0.0389387949 	 223
-0.0571806661 	 -0.4062630124 	 -0.0389388414 	 -0.0389387902 	 224
-0.9443064460 	 0.0572024816 	 0.8757884754 	 0.8757884556 	 225
0.9443064460 	 -0.0572024816 	 -0.8757884753 	 -0.8757884555 	 226
-0.4949074173 	 0.7158088295 	 0.4226253033 	 0.4226252519 	 227
0.4949074173 	 -0.7158088295 	 -0.4226253010 	 -0.4226252495 	 228
0.8866274958 	 -0.4281324968 	 -0.8679276592 	 -0.8679276547 	 229
-0.8866274958 	 0.4281324968 	 0.8679276593 	 0.8679276548 	 230
0.8488379600 	 -0.3586059267 	 -0.7811702043 	 -0.7811701826 	 231
-0.8488379600 	 0.3586059267 	 0.7811702048 	 0.7811701830 	 232
0.3659423192 	 -0.5419635390 	 -0.1921993893 	 -0.1921992838 	 233
-0.3659423192 	 0.5419635390 	 0.1921993903 	 0.1921992848 	 234
0.3786032605 	 -0.5692834148 	 -0.2251171182 	 -0.2251170130 	 235
-0.3786032605 	 0.5692834148 	 0.2251171199 	 0.2251170147 	 236
-0.8952169879 	 -0.2163565728 	 0.7961741479 	 0.7961741112 	 237
0.8952169879 	 0.2163565728 	 -0.7961741480 	 -0.7961741113 	 238
-0.4531253103 	 0.6936867955 	 0.3755451946 	 0.3755451241 	 239
0.4531253103 	 -0.6936867955 	 -0.3755451919 	 -0.3755451214 	 240
0.3303679086 	 -0.9071175779 	 -0.3354946525 	 -0.3354946405 	 241
-0.3303679086 	 0.9071175779 	 0.3354946528 	 0.3354946408 	 242
-0.8675131362 	 -0.3260069061 	 0.7864860519 	 0.7864860138 	 243
0.8675131362 	 0.3260069061 	 -0.7864860520 	 -0.7864860140 	 244
-0.8738931902 	 -0.3534293283 	 0.8088054022 	 0.8088053694 	 245
0.8738931902 	 0.3534293283 	 -0.8088054023 	 -0.8088053695 	 246
0.2603169931 	 -0.0486943260 	 0.0113612550 	 0.0113612902 	 247
-0.2603169931 	 0.0486943260 	 -0.0113612554 	 -0.0113612906 	 248
0.2869916061 	 -0.0544547258 	 0.0088378283 	 0.0088378725 	 249
-0.2869916061 	 0.0544547258 	 -0.0088378288 	 -0.0088378730 	 250
0.9220559170 	 -0.0090709034 	 -0.8347562389 	 -0.8347562114 	 251
-0.9220559170 	 0.0090709034 	 0.8347562390 	 0.8347562115 	 252
-0.7677318735 	 0.3181499182 	 0.6173661727 	 0.6173661198 	 253
0.7677318735 	 -0.3181499182 	 -0.6173661718 	 -0.6173661189 	 254
-0.0226060134 	 0.9283774313 	 0.0314399808 	 0.0314399837 	 255
0.0226060134 	 -0.9283774313 	 -0.0314399812 	 -0.0314399841 	 256
-0.4645977798 	 -0.0242205335 	 0.1101234927 	 0.1101233899 	 257
0.4645977798 	 0.0242205335 	 -0.1101234928 	 -0.1101233900 	 258
-0.4467310492 	 -0.0467750826 	 0.1029382425 	 0.1029381425 	 259
0.4467310492 	 0.0467750826 	 -0.1029382426 	 -0.1029381425 	 260
0.3761040956 	 0.4539264761 	 -0.2714452403 	 -0.2714451376 	 261
-0.3761040956 	 -0.4539264761 	 0.2714452424 	 0.2714451397 	 262
0.7928334105 	 0.4757806072 	 -0.7006904480 	 -0.7006903768 	 263
-0.7928334105 	 -0.4757806072 	 0.7006904478 	 0.7006903765 	 264
-0.1629913555 	 -0.2389569502 	 0.0106065805 	 0.0106065962 	 265
0.1629913555 	 0.2389569502 	 -0.0106065803 	 -0.0106065960 	 266
0.4610683759 	 0.1248918593 	 -0.1202824625 	 -0.1202823607 	 267
-0.4610683759 	 -0.1248918593 	 0.1202824626 	 0.1202823608 	 268
0.5542669478 	 0.3863188163 	 -0.2866239999 	 -0.2866238225 	 269
-0.5542669478 	 -0.3863188163 	 0.2866239999 	 0.2866238224 	 270
0.4427612043 	 0.1454184454 	 -0.1099316543 	 -0.1099315569 	 271
-0.4427612043 	 -0.1454184454 	 0.1099316545 	 0.1099315571 	 272
0.3534972592 	 0.4657722594 	 -0.2604406226 	 -0.2604405519 	 273
-0.3534972592 	 -0.4657722594 	 0.2604406251 	 0.2604405545 	 274
-0.2493728948 	 0.1105044025 	 -0.0125772394 	 -0.0125772728 	 275
0.2493728948 	 -0.1105044025 	 0.0125772387 	 0.0125772721 	 276
0.1374829923 	 0.9360645738 	 -0.1411898606 	 -0.1411898424 	 277
-0.1374829923 	 -0.9360645738 	 0.1411898618 	 0.1411898435 	 278
0.1605625602 	 0.9217327298 	 -0.1544893065 	 -0.1544892533 	 279
-0.1605625602 	 -0.9217327298 	 0.1544893080 	 0.1544892547 	 280
-0.3254617710 	 0.0314114703 	 0.0075899446 	 0.0075898824 	 281
0.3254617710 	 -0.0314114703 	 -0.0075899449 	 -0.0075898828 	 282
0.8526622828 	 -0.3895963339 	 -0.7956257221 	 -0.7956257045 	 283
-0.8526622828 	 0.3895963339 	 0.7956257225 	 0.7956257049 	 284
-0.9166015457 	 0.0958591057 	 0.8269559186 	 0.8269558922 	 285
0.9166015457 	 -0.0958591057 	 -0.8269559184 	 -0.8269558921 	 286
-0.6438979992 	 -0.6885644306 	 0.1761687494 	 0.1761686001 	 287
0.6438979992 	 0.6885644306 	 -0.1761687498 	 -0.1761686006 	 288
-0.8194936161 	 -0.4649104284 	 0.7340612835 	 0.7340612267 	 289
0.8194936161 	 0.4649104284 	 -0.7340612837 	 -0.7340612269 	 290
0.1252213983 	 0.6712253978 	 0.1221786697 	 0.1221784236 	 291
-0.1252213983 	 -0.6712253978 	 -0.1221786561 	 -0.1221784100 	 292
-0.9467280186 	 -0.0362818685 	 0.8846203123 	 0.8846202927 	 293
0.9467280186 	 0.0362818685 	 -0.8846203123 	 -0.8846202926 	 294
-0.2696165529 	 -0.8866810410 	 0.2163160252 	 0.2163157225 	 295
0.2696165529 	 0.8866810410 	 -0.2163160252 	 -0.2163157225 	 296
0.8134154747 	 -0.4738071378 	 -0.7643299670 	 -0.7643299508 	 297
-0.8134154747 	 0.4738071378 	 0.7643299675 	 0.7643299514 	 298
-0.0228064136 	 0.7752533056 	 0.0849420238 	 0.0849420070 	 299
0.0228064136 	 -0.7752533056 	 -0.0849420264 	 -0.0849420096 	 300
-0.4635436652 	 0.1201616873 	 0.1202792955 	 0.1202791890 	 301
0.4635436652 	 -0.1201616873 	 -0.1202792956 	 -0.1202791891 	 302
-0.2116033958 	 0.1683180228 	 -0.0059681121 	 -0.0059681384 	 303
0.2116033958 	 -0.1683180228 	 0.0059681112 	 0.0059681375 	 304
0.4643025233 	 0.0726864516 	 -0.1135332962 	 -0.1135331950 	 305
-0.4643025233 	 -0.0726864516 	 0.1135332962 	 0.1135331949 	 306
-0.4638812580 	 0.0243319663 	 0.1111717291 	 0.1111716247 	 307
0.4638812580 	 -0.0243319663 	 -0.1111717292 	 -0.1111716249 	 308
-0.4462292538 	 0.0013892175 	 0.1017232251 	 0.1017231239 	 309
0.4462292538 	 -0.0013892175 	 -0.1017232252 	 -0.1017231241 	 310
0.4477722244 	 0.0977390307 	 -0.1043976805 	 -0.1043975833 	 311
-0.4477722244 	 -0.0977390307 	 0.1043976805 	 0.1043975833 	 312
0.1038147613 	 -0.2547568612 	 -0.0009969418 	 -0.0009969334 	 313
-0.1038147613 	 0.2547568612 	 0.0009969407 	 0.0009969323 	 314
0.4263940388 	 0.2022299840 	 -0.1071310058 	 -0.1071309187 	 315
-0.4263940388 	 -0.2022299840 	 0.1071310061 	 0.1071309191 	 316
0.4011006366 	 0.2122101428 	 -0.1024283857 	 -0.1024283038 	 317
-0.4011006366 	 -0.2122101428 	 0.1024283862 	 0.1024283043 	 318
0.5303232911 	 0.3735430232 	 -0.2692168162 	 -0.2692166450 	 319
-0.5303232911 	 -0.3735430232 	 0.2692168162 	 0.2692166451 	 320
0.0031767033 	 -0.2519774742 	 0.0028577996 	 0.0028578026 	 321
-0.0031767033 	 0.2519774742 	 -0.0028578002 	 -0.0028578032 	 322
0.2558979189 	 0.5577698101 	 -0.0819159410 	 -0.0819161776 	 323
-0.2558979189 	 -0.5577698101 	 0.0819159465 	 0.0819161831 	 324
0.3212162060 	 -0.4195682257 	 -0.0738334158 	 -0.0738333290 	 325
-0.3212162060 	 0.4195682257 	 0.0738334138 	 0.0738333270 	 326
-0.8189588910 	 -0.4342741573 	 0.7350862525 	 0.7350861949 	 327
0.8189588910 	 0.4342741573 	 -0.7350862527 	 -0.7350861951 	 328
-0.1886694468 	 0.1805815320 	 -0.0049936943 	 -0.0049937149 	 329
0.1886694468 	 -0.1805815320 	 0.0049936934 	 0.0049937140 	 330
0.0624001053 	 0.4332387935 	 0.0477842808 	 0.0477842238 	 331
-0.0624001053 	 -0.4332387935 	 -0.0477842751 	 -0.0477842181 	 332
-0.9201548053 	 -0.1128778014 	 0.8375920733 	 0.8375920448 	 333
0.9201548053 	 0.1128778014 	 -0.8375920734 	 -0.8375920448 	 334
0.3361272800 	 -0.4436221191 	 -0.0966567692 	 -0.0966566767 	 335
-0.3361272800 	 0.4436221191 	 0.0966567679 	 0.0966566754 	 336
-0.7418991326 	 0.3031496830 	 0.5695526510 	 0.5695525885 	 337
0.7418991326 	 -0.3031496830 	 -0.5695526500 	 -0.5695525875 	 338
0.4209466702 	 -0.2430643544 	 -0.1076652774 	 -0.1076651771 	 339
-0.4209466702 	 0.2430643544 	 0.1076652772 	 0.1076651768 	 340
0.3672515898 	 -0.8630326854 	 -0.3629233377 	 -0.3629233078 	 341
-0.3672515898 	 0.8630326854 	 0.3629233386 	 0.3629233087 	 342
0.2992806813 	 -0.0283566171 	 0.0008501252 	 0.0008501782 	 343
-0.2992806813 	 0.0283566171 	 -0.0008501256 	 -0.0008501786 	 344
-0.2939812972 	 -0.9028736328 	 0.6063330187 	 0.6063322028 	 345
0.2939812972 	 0.9028736328 	 -0.6063330190 	 -0.6063322030 	 346
-0.0396327385 	 0.2834929973 	 0.0002962455 	 0.0002962405 	 347
0.0396327385 	 -0.2834929973 	 -0.0002962463 	 -0.0002962413 	 348
0.2847892247 	 -0.9256195709 	 -0.2940364658 	 -0.2940364543 	 349
-0.2847892247 	 0.9256195709 	 0.2940364659 	 0.2940364543 	 350
0.4634687992 	 -0.0727254182 	 -0.1148425479 	 -0.1148424422 	 351
-0.4634687992 	 0.0727254182 	 0.1148425478 	 0.1148424421 	 352
0.4467598339 	 -0.0495182329 	 -0.1029481067 	 -0.1029480040 	 353
-0.4467598339 	 0.0495182329 	 0.1029481065 	 0.1029480038 	 354
-0.1467148482 	 -0.2171744336 	 0.0109825160 	 0.0109825282 	 355
0.1467148482 	 0.2171744336 	 -0.0109825162 	 -0.0109825285 	 356
0.0837290380 	 0.3961105994 	 0.0351623107 	 0.0351622572 	 357
-0.0837290380 	 -0.3961105994 	 -0.0351623065 	 -0.0351622531 	 358
-0.1476251932 	 0.2297154430 	 0.0006277028 	 0.0006276881 	 359
0.1476251932 	 -0.2297154430 	 -0.0006277039 	 -0.0006276892 	 360
0.3771780918 	 -0.8904116560 	 -0.3730152265 	 -0.3730152138 	 361
-0.3771780918 	 0.8904116560 	 0.3730152271 	 0.3730152144 	 362
-0.0420891153 	 -0.9415047501 	 0.0489114599 	 0.0489114408 	 363
0.0420891153 	 0.9415047501 	 -0.0489114590 	 -0.0489114399 	 364
0.8752658779 	 -0.3424377183 	 -0.8138826287 	 -0.8138826107 	 365
