time = 15.432	Re = 10	rotation = -10.3222
-0.227727	0.115722	7485	
-0.549457	-0.402827	662	
-0.496895	-0.031169	9070	
-0.731311	-0.061779	2797	
-0.505729	0.640588	1800	
-0.684652	0.560138	7527	
0.243044	0.510970	5053	
-0.729121	0.619969	10393	
-0.932232	0.202519	5281	
-0.379734	0.607633	2451	
0.549139	0.774170	785	
-0.295041	-0.054258	2815	
-0.305219	-0.052561	4034	
-0.705732	0.609061	11022	
0.764530	0.519574	10116	
-0.353545	-0.184797	7211	
0.244741	0.798975	5547	
-0.795809	-0.016119	1135	
-0.499387	0.513296	10311	
-0.588573	0.495898	5737	
-0.541274	0.531143	6331	
-0.723389	0.448068	10922	
-0.221226	0.782975	9638	
-0.730988	0.139798	10189	
-0.411481	0.121437	2262	
-0.783587	0.330544	9396	
-0.486292	0.162754	564	
-0.260353	-0.010563	8286	
-0.571792	0.032595	5784	
-0.523821	0.541395	5427	
-0.529655	0.538472	5427	
-0.498425	0.551617	4026	
-0.513245	0.546472	5453	
-0.731408	0.278914	2073	
-0.746428	0.147069	9940	
-0.517798	0.017156	2636	
-0.300767	-0.011726	3214	
-0.543512	0.194744	4335	
-0.495281	0.518949	10357	
-0.582329	0.134561	9422	
-0.780272	0.245377	8841	
-0.605824	0.124219	9138	
-0.666679	-0.075863	797	
-0.877492	-0.086407	10841	
-0.625170	0.408240	10261	
-0.243537	-0.099157	4268	
-0.299253	-0.079960	9860	
-0.299993	0.616752	1483	
-0.542098	-0.042014	1894	
-0.360644	-0.254593	10368	
-0.328228	-0.179145	8191	
-0.185082	0.117537	9824	
-0.724221	0.222953	9146	
-0.412686	0.251343	4296	
0.058041	0.366617	403	
-0.147848	0.253782	3462	
-0.754620	0.401907	8375	
0.568064	0.709744	1111	
-0.602570	-0.422108	3901	
-0.346021	0.827053	7993	
-0.629675	0.223409	6622	
0.663909	0.615030	8060	
0.681720	0.534124	2988	
-0.715716	0.548928	8049	
-0.445130	-0.014266	1107	
0.253365	0.720040	2846	
-0.702728	0.310777	7371	
-0.920041	0.266196	1388	
0.264753	0.901411	2666	
0.079374	0.496973	2340	
-0.649967	0.263270	1103	
-0.337072	-0.255584	10967	
-0.702312	0.379245	9688	
0.064827	0.681380	9474	
-0.604937	-0.302342	1943	
0.007211	0.766657	1078	
0.111261	0.831139	5298	
-0.754242	-0.272735	5843	
-0.768874	-0.101859	8433	
-0.043294	0.534822	1455	
0.179411	0.794033	4826	
-0.364908	-0.123193	10618	
-0.127313	0.719065	3570	
-0.086722	0.755050	4214	
0.213482	0.810399	5515	
-0.306892	0.671493	2549	
-0.098118	0.850892	7035	
-0.483469	0.112865	5011	
-0.815190	-0.082567	9493	
-0.486928	-0.200419	4744	
-0.444293	0.420711	10118	
-0.270021	0.696746	6890	
-0.835917	-0.004784	4558	
-0.656319	0.297074	10348	
-0.507007	-0.211330	3019	
-0.595202	-0.327003	2284	
-0.675174	0.201988	2181	
-0.605753	-0.027111	5592	
-0.553637	0.747492	10727	
-0.515527	-0.258115	3445	
-0.192884	0.058571	741	
-0.446753	-0.368205	9037	
-0.231473	0.595833	6292	
-0.426155	0.492181	3946	
0.543332	0.675234	8824	
-0.486523	0.446921	9459	
0.282225	0.599028	3887	
-0.708762	0.637245	10581	
-0.719449	0.600236	10337	
-0.800985	0.399457	8601	
0.368922	0.860751	5525	
-0.200201	-0.108530	4998	
-0.198251	-0.105684	4998	
-0.678451	0.627797	8910	
-0.714795	-0.259383	6933	
-0.888477	-0.158576	9310	
-0.752129	0.038515	4373	
-0.600112	0.426706	2065	
-0.350581	-0.005104	4127	
-0.186381	0.149505	3228	
-0.156053	0.124147	2164	
-0.488903	0.554514	4026	
-0.500715	0.167668	4928	
-0.476124	0.157176	372	
-0.352896	0.126380	1170	
-0.536393	0.535180	5427	
-0.313438	0.197978	9612	
-0.245818	0.180193	7170	
-0.134288	0.095659	4124	
-0.156719	0.122083	6323	
-0.154282	0.119312	6323	
-0.161520	0.126201	1234	
-0.156199	0.120997	6323	
-0.145462	0.109526	3841	
-0.140836	0.104118	3820	
-0.130629	0.089108	2766	
-0.231062	0.173787	7740	
-0.342321	0.198194	10824	
-0.239573	-0.001504	5954	
-0.447889	0.148105	4735	
-0.419520	0.468423	1524	
-0.494549	0.124365	5107	
-0.600627	0.348595	4443	
-0.792060	0.274142	9769	
-0.220511	0.543181	5270	
-0.370629	-0.188293	7974	
-0.333650	-0.144257	4262	
-0.420880	-0.076681	8444	
-0.718223	-0.146591	9265	
-0.692975	-0.332634	8237	
-0.554989	-0.175523	2572	
-0.111040	-0.139084	10679	
-0.625171	0.234295	5068	
-0.384569	0.273054	7055	
0.205221	0.516081	4352	
0.196077	0.568375	1413	
-0.444420	0.590442	3375	
-0.160152	0.655429	7892	
-0.638904	-0.431888	5785	
-0.416328	0.778513	6738	
-0.701945	-0.052205	1277	
0.220182	0.849760	9620	
0.858232	0.364146	1476	
-0.684199	0.552914	7210	
-0.214070	-0.054539	8877	
-0.053589	0.662798	6768	
-0.254050	0.556370	5991	
-0.935466	0.191044	5281	
0.150539	0.916341	5903	
-0.933640	0.050266	546	
-0.139530	0.676892	3564	
-0.515624	-0.272153	5198	
-0.729981	-0.127624	8455	
0.374573	0.730665	4317	
-0.758896	-0.305353	7643	
-0.822022	-0.025726	8689	
-0.737573	0.239746	8691	
0.074129	0.825770	4591	
-0.618881	0.378926	9632	
-0.020979	0.692107	6169	
-0.782956	-0.004569	941	
-0.549478	-0.140630	10741	
-0.754533	-0.067617	2089	
-0.781440	0.085005	8348	
-0.770235	0.059462	9607	
-0.713023	-0.089746	4803	
-0.285744	0.697263	6881	
-0.434372	0.119966	8465	
-0.663294	0.349594	10686	
-0.737525	-0.241010	10063	
0.182623	0.800447	4826	
-0.816620	-0.092394	10835	
-0.633969	0.427228	1895	
0.025085	0.631570	3517	
-0.829830	-0.211122	8004	
-0.731930	-0.346191	5940	
-0.302910	0.326466	1634	
-0.863938	-0.074116	10746	
-0.524182	0.760764	10985	
-0.508852	-0.238400	2831	
-0.115597	-0.079192	4147	
-0.548921	-0.371329	7202	
-0.477923	-0.015519	4664	
-0.263410	-0.035738	6128	
-0.265452	0.791967	2509	
-0.337000	-0.034774	3713	
0.333085	0.641796	1268	
-0.675163	0.664243	1979	
-0.608793	0.293945	3203	
-0.207775	0.518359	5862	
0.201060	0.901190	1184	
-0.339051	-0.185764	7285	
-0.333143	-0.183503	8191	
-0.629882	0.658335	8136	
0.589773	0.667698	10952	
-0.744894	-0.252697	7952	
-0.397314	0.483346	5646	
-0.512544	0.027529	3198	
-0.235624	0.174662	7740	
-0.053757	-0.208277	3526	
-0.062837	-0.215503	3524	
-0.160163	0.122108	1206	
-0.324782	0.191671	10661	
-0.321682	0.191655	10661	
-0.288152	0.187593	2224	
-0.150738	0.111895	6323	
-0.043940	-0.162424	5380	
-0.050169	-0.192158	3852	
-0.076330	-0.221594	4677	
-0.071707	-0.214531	3524	
-0.073487	-0.215037	3524	
-0.071973	-0.212998	3524	
-0.073665	-0.214387	3524	
-0.077239	-0.217962	4677	
-0.077136	-0.218994	4677	
-0.078211	-0.223074	6211	
-0.050829	-0.193796	3852	
-0.052599	-0.141736	5191	
-0.255903	0.178653	7141	
-0.306842	0.190577	9917	
-0.566108	0.040337	3342	
-0.419497	0.137954	3534	
