time = 13.367	Re = 10	rotation = -15.7498
-0.782917	-0.061044	8984	
-0.345387	0.110855	5768	
-0.006497	0.385827	4505	
-0.340715	0.662316	7467	
0.423765	0.550122	7815	
-0.675672	0.662869	8850	
-0.818348	0.441089	1709	
-0.470182	0.027290	4045	
0.223532	0.896334	10639	
-0.430673	-0.025690	7271	
-0.425498	-0.026135	7271	
-0.618620	0.668456	10644	
0.141464	0.871924	10112	
-0.886450	-0.041871	8468	
-0.221690	0.580456	1762	
-0.479639	0.225801	1831	
-0.126217	0.230092	6909	
-0.173465	-0.138378	2633	
-0.185060	-0.141852	4331	
-0.092943	0.149464	3820	
-0.182884	0.274991	8645	
-0.177786	0.272339	5915	
-0.154681	0.254543	8042	
-0.092234	0.137770	4124	
-0.138999	-0.103369	3969	
-0.160070	-0.123543	2519	
-0.199511	-0.143016	5240	
-0.192930	-0.138089	5240	
-0.194615	-0.137833	5240	
-0.192002	-0.136310	4331	
-0.193956	-0.136960	5240	
-0.199588	-0.139517	5240	
-0.199215	-0.140274	5240	
-0.201231	-0.143627	5240	
-0.161637	-0.124926	2519	
-0.131554	-0.082308	6157	
-0.133927	0.232862	8997	
-0.170462	0.267257	7141	
-0.615830	0.326114	10330	
-0.308859	0.273383	2112	
0.159948	0.784827	3150	
-0.407353	0.620380	4307	
0.308240	0.755742	543	
-0.632170	0.003545	7620	
-0.598336	0.019941	2507	
-0.581947	0.069857	2318	
-0.364107	0.514452	2325	
-0.782269	-0.176610	7000	
-0.843109	-0.123524	3792	
-0.404254	-0.110445	10079	
0.049783	0.623339	6974	
0.192365	0.335938	2248	
0.357800	0.476746	8027	
0.286101	0.402291	2268	
-0.282834	0.037728	7461	
-0.253565	0.706839	4026	
-0.780570	-0.358191	10015	
-0.419122	0.756486	7673	
0.072554	0.445806	6307	
-0.246665	0.770046	9336	
0.901387	0.336738	2779	
-0.535595	0.649515	5881	
-0.353518	-0.043549	6475	
0.310482	0.830391	6820	
-0.575678	0.152892	1037	
-0.815508	0.463569	2789	
0.036096	0.917803	9409	
0.306986	0.672165	584	
0.330766	0.750263	5167	
-0.754180	-0.160746	5785	
-0.377906	0.526524	2768	
-0.021032	0.827610	6693	
-0.910795	0.051376	10857	
-0.525487	0.515561	10221	
-0.458293	0.231350	1010	
-0.693161	0.432424	1084	
-0.043625	0.802381	6302	
-0.107678	0.790802	2309	
-0.411738	0.576849	6578	
-0.806016	0.185028	8960	
-0.380056	0.559141	3676	
-0.253426	0.603921	3793	
-0.258671	0.595022	3156	
-0.313163	0.557306	8899	
-0.850691	0.015526	7577	
-0.288166	0.238829	714	
0.008668	0.801275	7996	
-0.717221	0.283977	9199	
-0.763417	0.160998	9415	
-0.525421	0.490145	9848	
-0.132061	0.728901	593	
-0.781047	0.057837	10881	
-0.749706	0.260263	8530	
-0.885285	-0.182702	6207	
0.029125	0.391116	1795	
-0.693771	0.399523	943	
-0.506783	0.766781	2214	
-0.906414	0.017824	2497	
-0.307776	-0.107387	4425	
-0.708869	-0.270818	10543	
-0.326785	0.025038	1153	
-0.133297	0.019478	4282	
-0.107189	0.630555	3951	
-0.171627	0.004214	8703	
0.509194	0.581206	1771	
-0.661386	0.667597	6274	
-0.633703	0.661181	1492	
-0.454201	0.646002	10333	
0.060864	0.908224	6285	
-0.617516	-0.012483	8252	
-0.611800	-0.011971	7626	
-0.590890	0.676141	8423	
-0.697407	0.421726	11026	
-0.717175	0.436702	8788	
-0.547219	0.262040	8336	
