time = 0.067	Re = 10	rotation = -0.0411733
-0.640316	0.547053	8532	
-0.639491	0.548120	8532	
-0.637116	0.551003	8532	
-0.633230	0.555655	8532	
-0.627812	0.561988	4310	
-0.620959	0.569737	4310	
-0.612522	0.578895	4310	
