time = 5.002	Re = 1	rotation = -3.16813e-06
-0.364937	-0.701702	3388	
-0.353895	-0.727464	3388	
0.512092	-0.352714	10118	
0.262986	0.163977	5182	
0.179413	0.028906	5064	
-0.185258	0.380844	4053	
-0.422638	0.859983	1733	
-0.765788	0.197639	3806	
-0.237015	-0.568448	9414	
0.327681	0.130596	8150	
-0.086713	0.165576	2711	
0.320259	-0.452427	10363	
-0.220305	-0.690341	978	
0.341806	0.035695	10326	
-0.763849	-0.209003	9997	
-0.686870	-0.289498	4215	
0.706456	-0.045793	6808	
0.547648	0.092984	8006	
0.220823	-0.914256	7479	
-0.640060	-0.444971	8983	
0.334842	-0.808474	9741	
0.511627	-0.340527	9975	
-0.304813	-0.909851	4915	
0.375948	-0.595048	7488	
-0.167608	-0.692063	1490	
0.498697	-0.541245	1045	
-0.679129	-0.489582	9737	
0.053944	-0.968608	5948	
-0.420557	-0.888913	8851	
-0.760913	-0.300641	5993	
0.048566	-0.531013	4695	
0.148470	0.441457	8425	
-0.657442	-0.184678	802	
0.637928	-0.438394	7288	
0.484711	-0.162351	7281	
-0.016942	0.176948	8394	
-0.305642	0.189615	7308	
0.215362	0.367227	1868	
0.576388	-0.575732	10732	
-0.687404	0.426139	8287	
-0.076220	-0.715279	418	
0.575877	-0.041446	9624	
-0.384705	0.842499	2984	
0.625830	-0.137277	3361	
-0.553687	0.725241	6938	
0.675609	0.137145	10055	
0.368275	-0.540070	1011	
0.384528	-0.275731	4433	
0.579904	-0.410454	10587	
0.122988	-0.605616	7671	
0.067717	0.359154	9270	
0.199279	-0.672150	4042	
-0.825959	-0.489876	9316	
0.595722	-0.493644	6271	
-0.450804	-0.764607	4947	
-0.508065	-0.548405	4031	
-0.446698	-0.549986	4757	
-0.190039	0.931033	1530	
0.216903	-0.091973	407	
0.423261	-0.407539	6511	
0.644191	-0.501188	1904	
0.121792	0.328166	10044	
-0.099611	-0.644029	2872	
0.377797	-0.162859	2611	
-0.771604	-0.167938	9451	
-0.726254	0.491961	4978	
-0.739480	-0.566377	10725	
0.417022	-0.749908	7600	
