time = 5.001	Re = 1	rotation = 4.40096e-10
-0.056761	-0.355680	1198	
-0.438413	-0.527914	847	
0.369643	0.170383	1210	
0.206815	-0.780425	1690	
-0.200215	-0.731358	1054	
0.042417	-0.698440	1002	
-0.048859	-0.665711	1373	
-0.802363	0.482976	437	
0.296935	-0.719139	1451	
-0.045914	0.885496	3038	
0.173482	-0.321124	1610	
-0.680750	0.671360	290	
-0.607475	0.093339	641	
-0.608351	-0.216872	3139	
0.617055	-0.433172	2232	
0.824610	-0.151014	2489	
-0.930575	0.276120	3180	
-0.812145	0.553801	2858	
0.506037	-0.623493	2084	
0.451414	-0.128529	2720	
0.073857	0.443078	3078	
-0.688550	-0.280150	1325	
0.735811	0.100698	1841	
0.001733	-0.225732	2026	
0.336330	-0.060766	1483	
-0.423498	0.310510	946	
0.628914	0.460360	2190	
-0.183406	-0.785215	1688	
-0.566170	-0.326329	1963	
-0.929920	0.293137	1259	
0.303066	0.326677	1973	
0.829291	-0.432991	3508	
0.267020	0.386030	1467	
0.840479	-0.382980	619	
-0.013044	-0.610815	2795	
0.421523	0.159912	1579	
-0.231804	-0.095671	539	
0.332248	-0.632528	1258	
0.428103	0.215599	735	
0.098236	0.510766	197	
-0.514304	0.290641	1042	
0.887090	0.425415	2862	
-0.153288	0.948533	1565	
0.744105	0.062748	1585	
0.462802	0.752139	2121	
0.102412	-0.764771	3514	
-0.520824	-0.447036	1385	
0.885289	-0.358810	339	
-0.024825	-0.343576	892	
0.609243	0.475615	2243	
-0.310420	0.432874	772	
-0.247285	0.560555	243	
-0.058476	-0.780372	1570	
0.754140	-0.482012	2604	
0.143673	0.928889	2679	
0.243313	0.825009	615	
-0.535432	0.252522	1803	
0.442408	-0.667624	2210	
0.911383	-0.068840	2435	
-0.356509	-0.448927	2000	
-0.677881	-0.117145	1164	
0.712716	-0.224750	637	
-0.482614	-0.412149	725	
0.243857	0.144851	221	
0.127442	-0.630373	3340	
0.849338	-0.029622	2425	
-0.740103	0.619511	2996	
0.888697	-0.211440	1915	
-0.240812	-0.679683	1203	
-0.162707	-0.650279	2955	
-0.081350	0.895509	546	
0.069972	0.298898	1116	
0.160318	-0.181274	366	
0.113872	0.921024	3283	
-0.001867	-0.703502	1101	
-0.383905	0.503612	884	
-0.122769	0.636845	2005	
0.080448	0.335387	1687	
0.957874	-0.046762	603	
0.346350	0.784172	773	
-0.437962	0.408825	2368	
0.974323	0.059073	3412	
0.190687	0.837913	3436	
0.788959	0.092245	2253	
-0.592002	0.012407	567	
0.153851	0.453971	3080	
-0.160241	-0.713630	858	
-0.256922	-0.654644	780	
0.414537	0.339235	1310	
-0.102234	-0.350258	1219	
-0.567541	-0.328858	1963	
0.795562	0.134772	2332	
-0.658485	0.118380	1655	
0.454314	-0.138320	2720	
0.802807	-0.412248	3465	
0.644350	-0.367283	1806	
-0.070856	-0.346404	1436	
0.802572	0.082744	2248	
0.734717	0.487300	2227	
0.464914	-0.753532	2325	
0.750779	0.160656	2304	
-0.288458	-0.596270	1431	
-0.562521	0.216670	2201	
0.151876	-0.731735	1218	
0.235955	0.142544	221	
0.506083	-0.431087	1034	
0.832201	0.206071	2794	
0.227641	0.063617	550	
0.306840	-0.018160	433	
0.136165	0.505693	2461	
-0.566084	0.286753	2165	
0.743458	0.309136	2612	
-0.519000	0.187021	1824	
0.539882	0.647045	2542	
-0.514705	-0.224312	2117	
0.461495	0.120185	932	
-0.571384	0.254517	2170	
0.774186	-0.129024	1870	
-0.185367	-0.298600	2958	
0.523625	-0.663089	1877	
0.496806	0.650588	2503	
-0.181692	-0.671530	1474	
0.228430	-0.183376	1024	
0.102979	0.440150	3084	
-0.276619	0.949750	484	
0.300296	-0.666681	887	
-0.179046	-0.164950	269	
0.548600	-0.516906	1355	
-0.510107	0.244692	1653	
-0.365033	-0.685705	1607	
0.729622	-0.195674	2230	
-0.792689	0.535762	375	
0.897105	0.089718	2281	
-0.048752	-0.748479	1299	
0.578248	-0.489522	1880	
0.893980	0.097007	2939	
0.818445	0.405659	3256	
0.086883	0.552938	1907	
0.114662	0.975658	391	
0.432661	0.067924	752	
