time = 23.527	Re = 25	rotation = 5.7764
-0.547129	0.539161	8516	
-0.248269	0.334443	3821	
-0.503188	0.205065	5245	
-0.177672	0.535452	3361	
0.857281	-0.247249	4465	
0.417158	0.746199	7830	
-0.499448	-0.160648	3955	
-0.038506	-0.101743	2058	
-0.062235	0.724471	4185	
-0.779312	0.010024	8113	
0.390062	0.590375	6028	
0.646935	-0.581659	8963	
-0.442064	0.415811	6826	
-0.584495	0.130959	6820	
0.161120	0.467857	5669	
-0.915427	0.373816	2946	
0.229767	0.590781	2497	
0.730681	-0.157047	1392	
0.625816	-0.181275	5630	
-0.171807	0.098161	5807	
-0.104300	0.405733	3403	
0.797870	-0.060140	8263	
0.081730	-0.252676	7189	
-0.139338	-0.804855	6159	
0.411234	-0.551570	4237	
-0.740558	0.049815	4003	
0.547965	-0.699178	7258	
-0.357494	0.225357	4217	
0.949528	-0.078727	787	
-0.894682	0.308865	996	
0.798240	0.031577	9691	
-0.333615	0.702211	6131	
-0.648687	-0.144519	1979	
-0.787600	0.584602	4820	
0.428549	0.243478	6955	
0.044697	-0.491193	3855	
0.740376	0.101395	5393	
0.246606	0.402365	798	
0.203948	-0.936210	808	
-0.887488	-0.433252	3326	
-0.621358	0.031969	8630	
0.811946	0.429642	1791	
-0.385953	-0.386710	7526	
-0.787754	0.497208	7226	
0.680729	0.712620	9315	
-0.106508	0.187044	1036	
0.112802	-0.424664	4640	
-0.391323	0.024576	5509	
-0.003513	0.893202	7949	
0.429028	0.823881	1431	
-0.054507	0.375476	4389	
0.814333	-0.354924	4650	
0.586261	0.136385	1586	
-0.440178	-0.842454	1432	
0.097057	0.472408	1376	
-0.490378	0.753165	6252	
0.240981	-0.257986	6366	
-0.541804	-0.076134	5068	
-0.608819	-0.441145	5571	
0.937759	-0.168742	10179	
-0.345402	-0.582744	1022	
-0.877053	-0.448905	4398	
0.008685	0.423515	5282	
-0.832733	-0.020438	3023	
-0.574866	-0.301990	6901	
0.313921	0.068576	4558	
-0.522632	0.177631	6781	
-0.132094	0.096959	2938	
-0.607027	0.029619	8513	
0.808023	0.431685	1791	
-0.518658	0.643593	8306	
-0.787774	0.235023	8845	
-0.528306	-0.643729	9750	
-0.265843	-0.255046	5409	
0.564645	0.427895	3141	
-0.327305	0.024577	5509	
0.198944	-0.204402	9062	
-0.966390	0.032619	2302	
0.401388	0.042261	2370	
0.296507	0.375626	3050	
0.042589	-0.316359	4912	
0.237105	-0.814619	4776	
-0.629847	-0.084370	2973	
-0.959539	0.235269	1839	
0.053301	-0.189995	1653	
-0.308162	0.795714	1256	
-0.203314	0.823749	5292	
0.045799	-0.496537	3855	
-0.207161	0.125112	1640	
0.393347	-0.724381	3566	
-0.662894	0.093027	1930	
-0.179686	-0.554846	6606	
0.117224	-0.255228	878	
-0.979828	-0.025258	2030	
-0.404560	-0.095155	4855	
-0.455492	0.414062	6826	
-0.208802	0.563013	5895	
0.550072	0.686816	9658	
-0.621254	-0.342944	5381	
-0.868813	0.435923	9570	
0.063170	0.948337	8664	
-0.485091	0.810536	7082	
-0.132744	-0.856102	2221	
-0.438677	0.029322	7187	
0.222945	0.371307	7594	
-0.122306	-0.427060	4885	
-0.834571	-0.436361	2459	
-0.479712	0.220597	3010	
0.534752	0.189764	7014	
0.107522	-0.040316	1523	
-0.318631	0.071528	3595	
-0.697949	0.306604	7216	
-0.637496	-0.719255	1338	
-0.722448	-0.306294	4453	
-0.188357	-0.309756	8876	
-0.531399	0.819105	598	
0.603017	-0.029000	8514	
-0.283744	0.097547	9951	
0.370978	-0.397390	4857	
0.000828	0.982718	4092	
-0.166366	0.173859	7075	
-0.344422	-0.824342	5374	
-0.733408	-0.472596	4138	
0.053121	0.271147	9852	
-0.317480	0.296183	6435	
-0.954564	-0.228145	2108	
-0.011863	-0.119466	3629	
0.093103	-0.779524	2073	
-0.556357	0.345392	8159	
-0.677289	-0.183922	2848	
0.563371	0.139294	4124	
0.331950	0.496461	5178	
0.189826	0.955461	7902	
-0.541433	0.815132	598	
-0.116872	-0.536393	8539	
-0.090275	0.737793	1598	
-0.558290	0.551881	1124	
-0.461651	0.423050	7726	
-0.061581	0.798192	3840	
0.568573	0.803535	8349	
0.719279	0.284107	2502	
0.890198	0.324235	1425	
0.264812	0.514374	7386	
-0.233039	0.404205	7345	
0.708840	0.004241	6924	
-0.108539	-0.730600	8116	
-0.780052	0.019365	8399	
-0.482677	-0.759262	8917	
-0.172932	-0.831519	4935	
-0.279425	0.114993	9777	
0.158095	-0.941557	10209	
-0.147424	0.461687	775	
-0.820537	-0.472390	471	
-0.062974	-0.119570	1173	
-0.675398	0.039848	6801	
-0.290702	0.589220	8669	
-0.215623	-0.400416	6165	
-0.731238	-0.275330	8142	
0.472066	-0.621304	5860	
0.006023	-0.461300	1921	
0.553236	-0.211014	8925	
-0.045927	0.697153	6000	
0.350966	-0.370319	4694	
0.095373	0.881522	8312	
-0.571519	-0.533803	2362	
-0.912381	-0.162639	9341	
-0.433209	-0.517895	5984	
-0.736747	0.125684	943	
0.934823	-0.223516	887	
-0.182584	-0.871658	5543	
-0.452650	0.157879	860	
0.314938	-0.850148	6238	
-0.097873	-0.047059	5142	
-0.065565	0.511530	3599	
-0.811721	0.520383	9014	
0.207745	-0.768795	2354	
0.356786	0.772430	7199	
0.137155	0.127480	4120	
-0.602381	-0.165486	2523	
0.058325	-0.268306	1703	
0.484070	0.177157	4139	
-0.350761	0.776873	5450	
-0.263496	0.725089	1209	
-0.547969	-0.088692	6589	
-0.329063	0.923491	1034	
0.363663	0.669315	7822	
-0.305073	-0.083981	3207	
-0.504832	-0.563741	2959	
0.528664	-0.782728	677	
0.232680	0.026834	5128	
-0.977614	-0.002278	2271	
0.006801	0.391150	3392	
-0.768194	0.318835	9516	
-0.097590	-0.347064	7595	
0.664560	0.242997	1500	
-0.099846	0.696920	8718	
-0.326803	0.178527	5122	
0.016164	-0.618358	1423	
-0.521456	0.477072	3752	
0.602858	-0.168990	8613	
0.090852	0.365561	1281	
-0.248480	0.403079	3533	
0.526685	0.344387	816	
0.107725	-0.180642	613	
