time = 0.187	Re = 4	rotation = -0.268138
-0.825218	0.407600	8950	
-0.824365	0.409316	8950	
-0.822082	0.413673	8950	
-0.818539	0.420275	8950	
-0.813831	0.429089	1246	
-0.808053	0.439894	9028	
-0.801236	0.452029	9028	
-0.793641	0.464923	9704	
-0.785255	0.478592	6205	
-0.776027	0.493277	8301	
-0.765792	0.509193	8185	
-0.754784	0.525341	9055	
-0.742932	0.541772	9784	
-0.730464	0.558486	9496	
-0.717094	0.575506	9496	
-0.703115	0.592197	9836	
-0.688482	0.609020	10156	
-0.673398	0.625559	1242	
-0.657939	0.641877	7789	
