time = 48.637	Re = 4	rotation = 57.2933
0.828790	0.488023	10056	
-0.592370	0.721877	524	
-0.793975	-0.250217	3584	
-0.260378	0.263287	1698	
0.287372	0.792825	5205	
-0.783507	0.195904	8002	
-0.627666	0.441344	5009	
-0.882759	-0.032341	1049	
-0.105716	0.906250	5166	
-0.373465	0.689719	5457	
0.768583	0.359457	4065	
-0.170994	0.822343	6271	
-0.089017	0.231066	4569	
-0.074787	0.365923	9568	
-0.073422	0.351946	7556	
-0.293486	0.843345	9888	
0.910272	0.278371	1910	
-0.856801	-0.125730	6526	
-0.460288	-0.107178	4272	
-0.885547	-0.050889	4619	
-0.444307	-0.075397	3494	
-0.099649	0.936406	392	
-0.546028	0.762861	10152	
-0.477939	0.682275	1906	
-0.900893	0.145696	4541	
-0.859809	0.240595	9220	
-0.466021	0.161823	4555	
-0.232161	0.080902	7609	
-0.253174	-0.506863	505	
-0.607598	-0.400586	6016	
-0.626872	-0.376580	6806	
-0.638910	-0.360542	6263	
-0.629986	-0.357260	6263	
-0.618547	-0.379784	6806	
-0.603301	-0.394835	5368	
-0.641026	-0.344451	6987	
-0.627299	-0.358833	6263	
-0.606216	-0.390108	5368	
-0.611869	-0.377153	6806	
-0.617138	-0.354007	5447	
-0.612447	-0.372155	6806	
-0.615819	-0.368279	6806	
-0.609537	-0.364998	5795	
-0.617184	-0.354893	6263	
-0.612357	-0.377441	6806	
-0.612403	-0.380002	6806	
-0.636004	-0.351218	6263	
-0.638890	-0.361315	6263	
-0.631003	-0.368733	6263	
-0.644912	-0.353801	6987	
-0.574566	-0.420790	6705	
-0.054452	-0.257583	7189	
-0.238301	0.079953	6673	
-0.048719	-0.178353	7889	
-0.803449	0.333302	8830	
-0.668706	0.216915	6768	
-0.053031	0.763819	7164	
-0.748150	0.573478	8214	
-0.480695	0.648649	7581	
-0.756649	-0.072944	3467	
0.667029	0.682527	378	
-0.274588	0.796075	9914	
-0.378149	-0.155038	7626	
0.301420	0.692647	1478	
-0.058614	0.354501	7662	
-0.515227	0.103570	7254	
-0.077028	0.516612	3523	
-0.398413	0.416849	6898	
-0.026840	0.915312	6844	
-0.502377	0.806956	9033	
0.008992	0.841399	3741	
0.065381	0.966745	7212	
0.214729	0.821602	4775	
-0.380097	0.398099	5173	
-0.265141	0.272068	2254	
-0.106864	0.555399	7911	
-0.568256	0.094258	8373	
0.294765	0.780616	4590	
-0.688717	0.520692	8974	
-0.151443	0.382436	4153	
-0.619246	0.104650	6979	
0.827542	0.514176	8536	
-0.198907	0.947072	8454	
-0.565272	0.480147	653	
-0.674211	0.656638	1692	
