time = 24.217	Re = 4	rotation = -37.1212
-0.145299	0.259683	4804	
-0.190163	0.309800	3950	
-0.207378	0.338336	6424	
-0.219903	0.359019	10037	
-0.229402	0.399615	2869	
-0.225306	0.472073	4995	
-0.214680	0.498169	3980	
-0.218019	0.528342	5982	
-0.325701	0.567401	5320	
-0.613063	0.393081	920	
-0.657093	0.336578	8116	
-0.725415	0.209162	3152	
-0.782678	-0.101128	6101	
-0.770586	-0.155200	2558	
-0.767825	-0.173444	7282	
-0.772667	-0.185989	7282	
-0.769783	-0.201346	8138	
-0.778785	-0.191178	8138	
-0.784738	-0.178032	7282	
-0.782225	-0.181146	7282	
-0.783848	-0.180585	7282	
-0.784688	-0.190664	8138	
-0.787856	-0.201807	8138	
-0.789440	-0.198728	8138	
-0.793618	-0.191816	8749	
-0.793624	-0.198892	8138	
-0.792236	-0.214023	7794	
-0.792328	-0.214537	7794	
-0.793740	-0.194650	8138	
-0.789411	-0.198316	8138	
-0.787778	-0.202940	8138	
-0.782509	-0.193363	8138	
-0.770458	-0.204722	7794	
-0.775182	-0.177300	7282	
-0.779136	-0.155811	2558	
-0.766814	-0.178661	7282	
-0.781474	-0.126974	6561	
-0.789233	-0.068592	8006	
-0.787787	-0.023826	8620	
-0.754448	0.130385	4356	
-0.734364	0.185349	2954	
-0.559833	0.448053	7034	
-0.311593	0.569225	6046	
-0.234118	0.557138	5253	
-0.219449	0.475588	4995	
-0.223239	0.447768	6240	
-0.228774	0.427359	4226	
-0.221974	0.376322	8655	
-0.187192	0.322317	5556	
-0.120427	0.237814	4086	
0.018624	0.184303	9497	
0.010720	0.418781	7432	
0.007220	0.446707	8390	
0.005742	0.436247	8832	
0.020729	0.393408	6867	
0.007293	0.323724	8272	
0.008400	0.324374	4675	
0.017858	0.330766	4675	
0.014093	0.325633	4675	
0.015253	0.430465	8832	
0.035301	0.485123	4968	
0.021825	0.513031	3713	
0.009242	0.513562	3713	
0.007368	0.513847	3713	
0.003678	0.510799	1110	
0.042832	0.563952	3923	
0.040454	0.575644	4123	
0.015855	0.536806	5259	
0.008835	0.526660	3955	
0.010797	0.529815	3955	
0.027389	0.552569	4155	
0.033341	0.568777	4975	
0.027218	0.564267	4975	
-0.001099	0.536127	4502	
-0.001659	0.535604	4502	
-0.000577	0.536784	4502	
0.004473	0.542282	4502	
0.007625	0.545586	4159	
0.007884	0.545810	4159	
0.014514	0.552637	4159	
0.031358	0.567822	4975	
0.038535	0.570667	4123	
0.037407	0.565859	4975	
0.036122	0.563726	4975	
0.037333	0.564918	4975	
0.030177	0.567761	4975	
0.045767	0.567064	3923	
0.008576	0.519400	3955	
0.010268	0.518218	3955	
0.010541	0.516516	3955	
0.015719	0.509425	3713	
0.036696	0.499769	6503	
0.023372	0.468809	7404	
0.015903	0.421480	6175	
0.013571	0.326075	4675	
-0.005345	0.293172	1406	
-0.006765	0.169219	3282	
-0.077836	0.203893	563	
-0.118802	0.235740	4575	
-0.143084	0.269160	5841	
-0.181537	0.311845	8438	
-0.212222	0.351433	6424	
-0.219415	0.379257	8655	
-0.224638	0.401428	2401	
-0.222143	0.445383	6240	
-0.214160	0.517526	5256	
-0.210662	0.541244	7486	
-0.236359	0.562611	5253	
-0.455927	0.521581	4643	
-0.688655	0.283234	6262	
-0.714197	0.235273	1543	
-0.755573	0.134437	4356	
-0.783846	-0.111551	6101	
-0.775711	-0.152140	2558	
-0.777715	-0.162478	2558	
-0.784006	-0.182516	7282	
-0.781280	-0.202654	8138	
-0.790997	-0.192319	8138	
-0.795539	-0.180531	8749	
-0.793401	-0.183059	8749	
-0.795119	-0.183559	8749	
-0.798729	-0.189101	8749	
-0.805218	-0.203240	8749	
-0.805907	-0.200875	8749	
-0.810084	-0.197533	8749	
-0.811330	-0.198657	8749	
-0.813355	-0.211257	6747	
-0.813381	-0.211249	6747	
-0.810551	-0.198563	8749	
-0.806767	-0.198656	8749	
-0.806177	-0.202920	8749	
-0.796648	-0.195693	8749	
-0.781291	-0.203781	8138	
-0.784492	-0.177207	7282	
-0.784955	-0.159924	3248	
-0.775207	-0.172935	2558	
-0.784419	-0.133953	6561	
-0.790263	-0.090099	6101	
-0.791421	-0.051344	2002	
-0.770662	0.083207	2722	
-0.759118	0.118501	496	
-0.644033	0.356669	2009	
-0.430624	0.534404	1022	
-0.294688	0.572001	5370	
-0.209028	0.522107	5256	
-0.209140	0.495692	3980	
-0.216053	0.474162	4995	
-0.221424	0.420611	3397	
-0.205862	0.366860	9705	
-0.161990	0.293736	9713	
-0.058223	0.200579	10041	
-0.014080	0.281602	5318	
-0.002067	0.330876	5400	
-0.006193	0.319276	7328	
-0.009065	0.230072	9624	
0.011470	0.172492	2363	
0.012457	0.171809	2258	
0.023920	0.173770	4637	
0.022965	0.169771	4637	
-0.008721	0.290109	1406	
0.017816	0.341280	4106	
0.015121	0.413595	7301	
0.009119	0.436882	8832	
0.007960	0.440129	8390	
0.005907	0.441293	8390	
0.027382	0.482606	7652	
0.025878	0.508217	6688	
0.013047	0.468116	7880	
0.009088	0.460923	7880	
0.009182	0.461352	7880	
0.019228	0.480937	7652	
0.022264	0.504023	6688	
0.018921	0.503351	3713	
0.003246	0.491609	1844	
0.002830	0.491426	1844	
0.003383	0.491855	1844	
0.006390	0.494270	1844	
0.008186	0.495708	1844	
0.008457	0.495866	1844	
0.012640	0.498994	1110	
0.021168	0.504698	3713	
0.025116	0.500925	6688	
0.024511	0.493152	7652	
0.023866	0.490640	7652	
0.024439	0.491386	7652	
0.019743	0.505664	3713	
0.029094	0.485398	7652	
0.009109	0.448899	8390	
0.009706	0.443022	8390	
0.009760	0.439457	8832	
0.011938	0.417847	7432	
0.020992	0.365370	4133	
0.009127	0.333376	4648	
-0.012127	0.274925	5904	
0.021642	0.170301	4637	
-0.006913	0.173622	3677	
-0.093861	0.219912	2533	
-0.129693	0.261111	3594	
-0.161712	0.292259	9713	
-0.176528	0.321846	5526	
-0.203456	0.354931	7584	
-0.220148	0.393614	2401	
-0.218246	0.424710	4258	
-0.217275	0.447534	5230	
-0.208105	0.492785	3980	
-0.221707	0.556024	5560	
-0.247201	0.572384	6563	
-0.306154	0.572853	6046	
-0.589344	0.421208	5894	
-0.732446	0.195161	3152	
-0.751693	0.147419	4356	
-0.775711	0.073554	3195	
-0.784864	-0.124817	6561	
-0.773236	-0.175172	7282	
-0.781274	-0.174223	2558	
-0.795722	-0.185261	8749	
-0.796692	-0.201742	8749	
-0.806892	-0.195312	8749	
-0.809089	-0.188040	8749	
-0.807128	-0.189500	8749	
-0.809857	-0.188670	8749	
-0.815726	-0.195489	6747	
-0.827532	-0.206774	6747	
-0.828510	-0.204400	6747	
-0.832864	-0.202321	4451	
-0.835588	-0.201966	4451	
-0.840150	-0.209998	4451	
-0.840839	-0.210252	4451	
-0.833760	-0.201676	4451	
-0.828270	-0.203897	6747	
-0.829633	-0.205921	4451	
-0.813888	-0.196808	6747	
-0.796891	-0.203305	8138	
-0.795527	-0.179936	8749	
-0.793115	-0.162543	3248	
-0.783685	-0.173300	2558	
-0.788377	-0.143797	5187	
-0.791927	-0.105389	6101	
-0.793740	-0.073789	8006	
-0.784893	0.030320	5493	
-0.776014	0.063967	3195	
-0.707687	0.251346	6144	
-0.569064	0.441316	7034	
-0.414590	0.542677	5398	
-0.222529	0.561344	5560	
-0.203162	0.539761	7478	
-0.204754	0.520564	5941	
-0.210027	0.468300	6690	
-0.209360	0.411988	2401	
-0.188732	0.342962	7628	
-0.116300	0.262159	4022	
-0.032146	0.191536	6644	
-0.015146	0.193736	6735	
-0.019049	0.192305	6735	
-0.046905	0.199312	10041	
-0.078537	0.220865	2259	
-0.078064	0.219597	2259	
-0.066761	0.208145	5034	
-0.072192	0.210884	563	
-0.017417	0.180076	4302	
0.016057	0.181409	9497	
-0.014701	0.264547	6168	
-0.006024	0.312222	1494	
-0.004506	0.320007	7328	
-0.004149	0.326121	7328	
0.014043	0.348804	4106	
0.016618	0.397822	6867	
0.006330	0.352181	9126	
0.002812	0.348399	5868	
0.002896	0.348871	8416	
0.010672	0.360571	9126	
0.014732	0.396198	6867	
0.013267	0.400697	6867	
0.004520	0.409781	7432	
0.004205	0.410403	7432	
0.004602	0.409948	7432	
0.006304	0.408440	7432	
0.007248	0.407736	7432	
0.007331	0.407695	7432	
0.009844	0.404686	7301	
0.013854	0.400316	6867	
0.015776	0.385138	6007	
0.014685	0.371698	6007	
0.014185	0.368657	8396	
0.014467	0.368753	6007	
0.013686	0.403740	7301	
0.015291	0.350676	4106	
-0.001078	0.330188	7328	
-0.003195	0.320485	7328	
-0.004635	0.315042	8272	
-0.014370	0.277233	5904	
0.004015	0.201013	5021	
0.007774	0.178688	3757	
-0.027979	0.183981	4302	
-0.072303	0.212079	563	
-0.091358	0.226080	2533	
-0.141054	0.279246	6308	
-0.165868	0.317806	9764	
-0.188609	0.341354	7628	
-0.195079	0.368667	8465	
-0.210605	0.399613	1995	
-0.214969	0.439693	5230	
-0.206141	0.472848	6690	
-0.202985	0.495513	3980	
-0.200866	0.537508	7478	
-0.281212	0.575215	6584	
-0.338506	0.570207	5984	
-0.432778	0.535366	1022	
-0.677252	0.308611	4418	
-0.761712	0.119529	8606	
-0.772530	0.089806	2722	
-0.788062	0.030708	5493	
-0.788053	-0.134414	5187	
-0.781709	-0.174706	2558	
-0.790970	-0.176669	5279	
-0.811050	-0.189562	8749	
-0.817206	-0.195313	6747	
-0.827688	-0.200744	6747	
-0.829640	-0.194899	4451	
-0.827156	-0.195777	4451	
-0.830300	-0.196658	4451	
-0.839993	-0.200320	4451	
-0.857256	-0.201468	5596	
-0.858404	-0.199010	5596	
-0.862567	-0.192988	5885	
-0.867037	-0.189368	5885	
-0.876110	-0.182430	5885	
-0.877067	-0.181509	5885	
-0.864884	-0.190701	5885	
-0.858468	-0.198514	5596	
-0.860923	-0.198585	6251	
-0.839333	-0.202885	4451	
-0.816820	-0.203930	6747	
-0.807208	-0.188716	8749	
-0.803426	-0.171240	5279	
-0.791378	-0.179672	8749	
-0.795071	-0.150574	3248	
-0.794589	-0.118685	6561	
-0.795896	-0.093885	6305	
-0.793659	-0.009587	1210	
-0.788243	0.015453	5493	
-0.747009	0.165278	2954	
-0.668351	0.324238	4400	
-0.558650	0.452253	7034	
-0.282969	0.577684	6584	
-0.231793	0.572496	5253	
-0.212111	0.559605	5560	
-0.196757	0.515582	5941	
-0.199918	0.460240	6690	
-0.199696	0.389375	9159	
-0.151438	0.320790	4202	
-0.099393	0.251500	3277	
-0.083085	0.248646	3964	
-0.087898	0.249205	3964	
-0.107060	0.261702	3277	
-0.126390	0.283105	9607	
-0.126598	0.281792	6308	
-0.120430	0.270561	5326	
-0.124381	0.273042	5326	
-0.094941	0.235984	2894	
-0.064984	0.212498	9218	
-0.038023	0.194598	6644	
-0.015979	0.186865	6282	
-0.015363	0.189280	6735	
-0.017574	0.193863	6735	
0.005427	0.188485	3466	
-0.014113	0.239565	5252	
-0.010200	0.200606	5529	
-0.013802	0.201816	9162	
-0.014538	0.202208	9162	
-0.007614	0.203675	942	
-0.015626	0.240304	5252	
-0.017057	0.248811	6390	
-0.017819	0.282791	5318	
-0.017722	0.283236	5318	
-0.017440	0.285807	5318	
-0.018170	0.276057	5904	
-0.018305	0.272744	6168	
-0.018333	0.272334	6168	
-0.018513	0.261806	6168	
-0.016636	0.247233	6390	
-0.012031	0.225394	9624	
-0.007610	0.210809	942	
-0.006717	0.207960	942	
-0.006370	0.207776	942	
-0.016585	0.252293	6390	
0.005993	0.189715	3623	
-0.012573	0.191301	5529	
-0.012379	0.187131	5529	
-0.013682	0.185952	4348	
-0.033503	0.192076	6644	
-0.056191	0.207701	5034	
-0.075856	0.225818	3210	
-0.100257	0.242173	3200	
-0.124066	0.274380	5326	
-0.137046	0.286863	9607	
-0.172096	0.333732	5526	
-0.185381	0.366344	9143	
-0.200378	0.387537	9159	
-0.198776	0.415384	3450	
-0.204219	0.447135	6789	
-0.201132	0.488013	4500	
-0.193512	0.520152	5941	
-0.196069	0.539932	7478	
-0.224478	0.571749	5253	
-0.399491	0.550672	6026	
-0.485450	0.508730	5368	
-0.574244	0.438821	6986	
-0.728789	0.211472	3152	
-0.780539	0.060803	3195	
-0.788535	0.034396	5493	
-0.796603	-0.000334	6198	
-0.793195	-0.142994	5187	
-0.791752	-0.176514	5279	
-0.804451	-0.176795	5279	
-0.831732	-0.196611	4451	
-0.841251	-0.197993	4451	
-0.856284	-0.197716	5596	
-0.859799	-0.191768	5078	
-0.855013	-0.195004	4451	
-0.859603	-0.192496	5078	
-0.873018	-0.180005	5885	
-0.895351	-0.159588	6217	
-0.896408	-0.156093	6217	
-0.900781	-0.148421	6217	
-0.904681	-0.142532	6119	
-0.911145	-0.134935	3837	
-0.911462	-0.134229	3837	
-0.901176	-0.147004	6119	
-0.896309	-0.156014	6217	
-0.898157	-0.155567	6217	
-0.870880	-0.184181	5885	
-0.843171	-0.203632	4451	
-0.827629	-0.195462	4451	
-0.818269	-0.179773	5279	
-0.804767	-0.185582	8749	
-0.802866	-0.160681	3248	
-0.798810	-0.132986	5187	
-0.798652	-0.111978	6101	
-0.799829	-0.045285	2002	
-0.795640	-0.021333	1210	
-0.768166	0.111810	4448	
-0.725132	0.221012	7944	
-0.657448	0.342984	8116	
-0.406652	0.549367	5398	
-0.314787	0.577376	6046	
-0.266360	0.580264	6617	
-0.199086	0.556925	7497	
-0.184954	0.509072	1292	
-0.196649	0.437362	6683	
-0.169700	0.373746	5433	
-0.137013	0.312579	10174	
-0.120877	0.311425	847	
-0.125805	0.312586	9858	
-0.141927	0.321682	9266	
-0.155527	0.339894	5409	
-0.156428	0.338528	5409	
-0.153155	0.328518	5409	
-0.156401	0.330274	5409	
-0.137608	0.296899	1407	
-0.117209	0.275771	5326	
-0.102329	0.255659	3277	
-0.089071	0.242889	3964	
-0.086802	0.245526	3964	
-0.085311	0.249917	3964	
-0.068176	0.225115	3210	
-0.049252	0.211608	9871	
-0.072556	0.244829	3266	
-0.075226	0.249415	3266	
-0.075536	0.250279	3964	
-0.067485	0.238346	3266	
-0.051296	0.218913	9871	
-0.048938	0.216449	9871	
-0.040440	0.208731	9796	
-0.039667	0.207917	9546	
-0.039569	0.207800	9546	
-0.042098	0.209832	9796	
-0.043002	0.210535	9796	
-0.043087	0.210620	9871	
-0.046019	0.213031	9871	
-0.049210	0.215925	9871	
-0.055605	0.222986	2966	
-0.061388	0.229497	2966	
-0.062929	0.231003	2966	
-0.062633	0.230212	2966	
-0.047384	0.210452	9871	
-0.066279	0.222748	2966	
-0.082683	0.245855	3964	
-0.085919	0.242695	3964	
-0.087790	0.241557	3964	
-0.100103	0.252260	3277	
-0.111361	0.270693	4739	
-0.122322	0.288716	9120	
-0.140836	0.302427	1567	
-0.155693	0.331458	5409	
-0.165253	0.342133	6128	
-0.186784	0.382853	9533	
-0.189925	0.414559	2983	
-0.197956	0.435427	4272	
-0.188732	0.464615	8326	
-0.189309	0.496156	4500	
-0.191292	0.533968	7478	
-0.197604	0.560371	1503	
-0.219815	0.573822	5560	
-0.305463	0.579453	6046	
-0.547671	0.463852	6995	
-0.632934	0.376698	822	
-0.681971	0.306479	5924	
-0.763347	0.127968	4356	
-0.793298	0.011780	8780	
-0.798686	-0.009379	6198	
-0.804337	-0.041151	2002	
-0.800081	-0.153941	3248	
-0.804178	-0.182594	8749	
-0.820836	-0.185111	5279	
-0.862075	-0.190386	5078	
-0.875056	-0.175527	5078	
-0.894333	-0.156349	6217	
-0.895931	-0.150313	6119	
-0.891192	-0.156590	6119	
-0.896229	-0.150999	6119	
-0.908569	-0.131416	3837	
-0.926287	-0.105162	3837	
-0.926862	-0.101764	8215	
-0.930281	-0.093047	8215	
-0.932508	-0.087726	477	
-0.939125	-0.074800	477	
-0.939328	-0.074065	477	
-0.930629	-0.092000	477	
-0.926708	-0.101759	8215	
-0.927929	-0.102342	8215	
-0.907240	-0.136652	7110	
-0.878688	-0.174229	5885	
-0.857832	-0.192639	3992	
-0.839878	-0.187710	3992	
-0.823847	-0.191311	6747	
-0.815381	-0.172211	5279	
-0.805810	-0.148043	5187	
-0.803462	-0.130157	5187	
-0.804702	-0.074061	7573	
-0.801064	-0.054934	2002	
-0.787972	0.048734	2354	
-0.760521	0.138068	4356	
-0.719178	0.236847	4141	
-0.558306	0.456429	7034	
-0.464276	0.522869	4643	
-0.388221	0.557927	5372	
-0.244466	0.582341	2821	
-0.181028	0.552504	7497	
-0.182886	0.486858	4500	
-0.171873	0.424617	3481	
-0.157053	0.368164	7815	
-0.140571	0.368599	9959	
-0.145286	0.369501	7815	
-0.159208	0.376630	5433	
-0.168059	0.392298	9172	
-0.168726	0.390814	9172	
-0.169036	0.381206	5433	
-0.171731	0.382375	9172	
-0.162265	0.352436	6595	
-0.148229	0.334327	5409	
-0.138823	0.316275	9266	
-0.129311	0.305179	9858	
-0.125968	0.307976	9858	
-0.122762	0.312543	847	
-0.114876	0.289093	5563	
-0.103050	0.274963	4407	
-0.111105	0.307868	847	
-0.112317	0.312592	847	
-0.112276	0.313219	847	
-0.108405	0.301814	1469	
-0.101148	0.282155	4407	
-0.100087	0.279570	4407	
-0.096255	0.270423	4407	
-0.096040	0.269487	4407	
-0.096070	0.269505	4407	
-0.097169	0.271805	4407	
-0.097644	0.272758	4407	
-0.097668	0.272879	4407	
-0.099098	0.275857	4407	
-0.100659	0.279179	4407	
-0.103317	0.286075	5563	
-0.105986	0.292799	5563	
-0.106782	0.294300	5563	
-0.106771	0.293278	5563	
-0.101676	0.273337	4407	
