time = 23.147	Re = 13	rotation = -28.7254
0.341629	0.253881	7066	
-0.166083	0.704522	8854	
-0.163217	0.532073	5054	
0.470271	0.405133	2829	
0.150745	-0.121075	491	
0.413543	-0.413202	9988	
-0.884510	0.120189	6062	
-0.121246	0.661860	7771	
0.332880	-0.200401	1795	
0.790802	-0.019948	9326	
-0.883893	0.340249	585	
0.286752	0.460294	3000	
0.392404	-0.222765	6878	
0.180068	0.930358	1385	
0.347689	0.794828	7654	
-0.013523	0.405313	6998	
0.424002	-0.032648	5597	
0.094379	0.433731	10368	
0.114714	0.859929	2987	
0.410879	0.831150	10503	
0.374847	-0.098760	6968	
-0.658197	0.456064	4450	
0.683943	-0.068186	9060	
0.819045	-0.091308	1346	
0.323474	0.655475	5304	
0.290622	-0.115211	6799	
0.910915	0.226708	10491	
0.708914	0.098586	9204	
-0.246318	0.886300	5409	
-0.237650	0.505345	8130	
-0.048782	0.911919	5752	
0.260444	0.100016	10699	
-0.066526	0.620611	10735	
0.224024	0.020569	2416	
0.196211	0.738474	5808	
0.512659	0.506858	9004	
0.071943	0.709275	4016	
0.780149	0.526904	1804	
0.523798	0.796995	2389	
0.231427	0.441421	4814	
0.222903	0.789904	8702	
0.814342	-0.056743	2160	
-0.223538	0.488159	4400	
0.369626	0.522897	3735	
0.433346	0.357012	9664	
0.951612	-0.000704	10909	
0.521530	0.582051	9340	
0.232528	-0.471767	3330	
0.609221	0.161416	2681	
-0.487475	0.547832	583	
-0.635380	0.581549	7450	
-0.892619	0.298500	10495	
0.052723	-0.188105	3194	
-0.799710	0.331265	6858	
0.704607	0.178286	4648	
0.681914	0.666750	1228	
0.606219	0.314581	3109	
0.486712	0.269668	2955	
0.451468	0.567044	4803	
0.862176	0.479297	2446	
0.852421	0.486226	2528	
-0.772098	0.505720	988	
0.581581	0.042359	6537	
0.635073	0.541681	2453	
-0.173698	0.934592	2376	
-0.206297	0.775605	3195	
-0.762207	0.388977	2064	
-0.118286	0.746506	7757	
0.440604	-0.316453	7506	
-0.254973	0.591427	2484	
0.306719	0.003931	1004	
0.535952	-0.378905	427	
0.283910	0.868833	8411	
0.699435	0.593355	7454	
0.907357	0.002798	8177	
0.523059	0.277800	4650	
-0.234842	0.744358	3732	
0.609807	-0.036100	1334	
0.308029	-0.133156	8365	
-0.296718	0.872653	5902	
0.703067	0.294080	2208	
0.762715	-0.153410	1857	
0.472172	-0.265456	2947	
-0.599787	0.497000	4213	
0.308312	-0.112492	7082	
-0.123134	0.920586	786	
-0.525385	0.699753	7555	
-0.108084	0.566396	4401	
-0.627192	0.553141	5032	
-0.689840	0.375422	7870	
0.311923	0.468786	2786	
-0.776357	0.589308	9097	
0.044755	0.749904	10543	
0.160893	-0.282106	6275	
0.499785	0.395690	8948	
-0.637765	0.472507	3315	
0.109571	0.886637	6414	
0.375079	-0.057856	6940	
0.436581	0.318393	6472	
0.150555	0.182389	7333	
0.163767	0.317703	8539	
-0.103561	0.693170	7419	
0.464158	0.194131	966	
0.501346	0.337234	6710	
0.588042	0.216222	412	
0.242293	-0.011634	6921	
0.787218	-0.146568	10408	
0.234402	-0.043530	9119	
0.408482	-0.026107	10864	
0.676865	-0.326383	6890	
0.761812	0.232538	2587	
-0.560382	0.533876	1676	
0.157292	0.704782	4679	
0.031567	-0.214144	3979	
0.492600	0.655702	8323	
0.897670	0.013144	8177	
0.262818	0.098773	2552	
0.626463	0.042530	8775	
0.333618	0.900990	10419	
0.128507	-0.161062	4217	
0.535962	-0.400744	427	
0.069562	0.528310	7014	
0.216642	0.344635	9012	
0.170554	0.679196	1874	
-0.811348	0.286030	6366	
0.449672	-0.202700	4810	
-0.607120	0.429175	1711	
0.196629	0.906798	10115	
0.481344	0.225186	4928	
0.537025	0.794034	2389	
0.416949	0.784429	8268	
0.586468	0.659519	10848	
0.290691	-0.118012	6799	
0.525958	0.775846	9400	
0.520151	0.694777	9045	
0.617801	-0.212156	6409	
0.219810	-0.553050	1737	
-0.688529	0.386189	6651	
0.712923	0.164642	6017	
-0.751737	0.382819	2064	
0.441889	-0.166034	10569	
0.522695	-0.021114	10289	
0.254725	0.593858	9398	
-0.808996	0.345350	6697	
-0.110010	0.435780	4990	
-0.066073	0.827692	6759	
-0.380763	0.756919	7421	
-0.269575	0.644350	7966	
0.544719	-0.260380	3993	
0.083466	0.523695	7408	
0.258660	0.376053	3093	
-0.754722	0.305929	6762	
0.723634	0.219292	10182	
0.269795	0.089447	7665	
-0.242821	0.837594	5791	
-0.752505	0.535356	5313	
-0.144617	0.473183	872	
-0.521855	0.498778	1716	
0.204632	0.799050	1025	
0.455054	0.583994	6529	
0.650913	0.143607	2708	
-0.510509	0.613010	3992	
0.407893	-0.071626	784	
0.443629	-0.260686	5117	
0.869196	0.008881	4977	
0.227047	0.090545	7986	
-0.791489	0.511949	957	
0.275402	-0.236454	1294	
0.079894	0.667494	1289	
-0.819252	0.446346	475	
0.601429	0.593917	9418	
0.305981	0.122885	3652	
-0.244975	0.422282	4175	
-0.220944	0.730711	3440	
-0.110366	0.839783	5730	
0.511311	-0.311350	5424	
0.638550	0.617002	9874	
0.192008	0.071064	4756	
0.930545	0.197183	9573	
0.651159	0.637020	6130	
0.589313	-0.158765	4189	
0.304096	0.569301	4536	
0.469656	-0.004393	4433	
-0.283221	0.850090	7719	
0.409668	0.297819	6525	
-0.348914	0.680239	3096	
0.668488	0.482209	1473	
0.106318	-0.265771	6755	
0.298847	0.035370	8042	
-0.046339	0.392110	2916	
0.012517	0.685591	2662	
0.206589	0.535913	3445	
0.703150	0.160743	8219	
-0.003603	0.913732	1066	
0.338374	-0.203840	8399	
0.564089	0.529564	9199	
0.609517	0.316949	2444	
0.167878	-0.117152	1085	
0.769573	0.534699	1804	
0.855577	0.028789	5112	
-0.248445	0.829396	5791	
-0.574321	0.721912	6594	
0.765307	0.615191	5778	
0.403308	0.116748	6003	
0.020356	0.878349	9153	
0.534098	0.234459	4869	
0.245035	0.107015	10837	
0.473843	0.046551	9542	
0.273712	0.692154	6840	
-0.251821	0.921119	2820	
-0.437678	0.611938	3309	
-0.422683	0.703898	4825	
0.049313	0.128854	7802	
-0.627188	0.651600	6672	
0.537018	-0.018036	4956	
0.233867	0.849558	6136	
0.302133	0.226441	8207	
-0.040099	0.524800	2171	
0.297734	0.313018	3726	
0.066479	0.667543	3313	
0.328971	0.899402	10419	
0.280447	-0.348110	6596	
-0.814265	0.323485	7834	
-0.012128	0.943633	1544	
-0.188516	0.893925	524	
0.891820	0.260989	8452	
0.561238	0.559074	1135	
0.228840	-0.051691	9057	
0.329970	-0.113175	1235	
-0.213154	0.644613	4965	
0.263852	0.781796	1602	
0.224046	0.877838	9333	
0.133823	-0.219334	7980	
0.382287	0.832317	1578	
0.391842	0.402308	9347	
-0.638631	0.020932	3155	
-0.662723	0.671645	762	
0.204438	0.554006	3445	
0.208707	0.378602	1210	
-0.490058	0.565612	583	
0.844950	0.193476	5733	
0.594424	-0.167269	6787	
0.436393	0.832252	2423	
0.610971	-0.197357	9357	
-0.417302	0.748103	6435	
0.810728	0.375442	9067	
0.050189	0.309769	2650	
-0.342507	0.870637	2758	
-0.072902	0.652175	520	
-0.184366	0.700039	1267	
0.007788	0.533371	8169	
0.056702	0.581745	5431	
0.549449	-0.173478	10774	
0.942735	-0.024395	1979	
-0.054976	0.785078	6603	
-0.196707	0.689307	1267	
-0.398294	0.611674	3054	
-0.705058	0.395658	6651	
0.309260	0.366914	3215	
0.339916	0.330614	2138	
-0.897427	0.131578	8816	
0.470329	0.831140	10327	
-0.158208	0.867758	6373	
0.378205	0.774060	7577	
0.395873	-0.026356	527	
0.325249	-0.242805	1195	
0.383784	-0.227029	6357	
0.276574	0.726327	8984	
0.311655	-0.198561	7948	
-0.880121	0.438014	5917	
-0.670151	0.584050	7976	
-0.036488	0.746173	4051	
-0.438407	0.544036	6534	
-0.016152	-0.160152	5255	
-0.096295	0.499876	877	
0.558592	0.742079	8569	
0.055715	0.434689	10677	
0.761438	-0.035198	6283	
0.735601	0.587530	771	
0.520341	-0.100693	1920	
0.833369	0.140093	10372	
-0.429018	0.693466	5464	
0.332734	0.027057	7236	
0.607192	0.437742	10984	
0.426454	0.311929	6472	
-0.517779	0.558447	6615	
0.749846	0.246845	7753	
-0.077146	0.395232	470	
0.674747	0.057793	7447	
0.267389	0.651906	8753	
0.236717	0.350101	9681	
0.084369	0.288270	6353	
0.463400	0.693991	7391	
0.095422	0.565215	9865	
0.217654	0.794628	933	
0.513807	0.280637	2108	
-0.622274	0.439580	1711	
0.337082	-0.190321	1795	
0.589686	0.765096	1197	
-0.741740	0.574892	9404	
0.892951	0.297402	1443	
0.465073	0.818978	3187	
0.922714	0.353704	1617	
-0.703177	0.647967	7480	
0.270788	0.590604	8713	
0.776018	0.205054	9688	
0.287739	0.679364	5841	
-0.107480	0.566471	4401	
-0.021538	0.800738	5420	
0.233244	0.929934	1957	
-0.772630	0.336175	5675	
0.594038	-0.350710	390	
0.277314	0.011948	10227	
-0.117867	0.546537	3414	
-0.410188	0.761057	7715	
-0.700949	0.576665	8522	
0.282800	0.178161	8594	
-0.278820	0.741441	1379	
0.051035	0.892130	8029	
-0.158769	0.644562	4101	
0.889342	-0.057541	6030	
0.427972	0.280737	6407	
0.652782	-0.088834	5799	
-0.267056	0.892658	6598	
0.435643	-0.144164	9821	
-0.437726	0.667684	2381	
-0.659114	0.412288	5830	
0.426811	0.035728	5787	
-0.568402	0.474332	3625	
0.455646	0.556914	4803	
0.120679	0.823380	11063	
-0.323927	0.826377	10682	
0.466955	-0.266728	5315	
0.241101	0.436147	3118	
0.184097	0.388622	1178	
0.286207	-0.099905	4625	
-0.414737	-0.016971	685	
0.366260	-0.230880	2145	
-0.731382	0.481526	9742	
0.209663	0.435386	6606	
0.252676	0.403686	2329	
0.523107	-0.119554	3730	
-0.030754	0.911610	10445	
0.231420	0.627429	6019	
0.259921	-0.176856	1736	
0.319399	0.556417	2870	
0.029679	0.807773	3638	
-0.396899	0.808792	9751	
0.692269	0.005225	6045	
-0.078929	0.741048	5957	
0.654016	-0.091090	5799	
0.671489	0.048808	4718	
0.146246	-0.080223	5654	
0.751173	0.614853	3468	
0.121030	-0.290573	8241	
0.373515	0.304790	526	
0.951044	-0.003100	10909	
-0.289174	0.521455	1819	
0.604118	0.484559	9607	
0.287996	0.790288	9738	
-0.397314	0.474703	440	
-0.366583	0.825773	6320	
0.911025	0.092083	7499	
0.542459	-0.179240	10774	
0.570308	0.185011	3244	
-0.380010	0.782791	7909	
0.376022	-0.038433	6950	
0.420539	-0.346953	1477	
-0.007101	0.473891	3254	
0.060544	0.201783	3520	
-0.457793	0.636438	2472	
0.718035	0.347452	9252	
0.810146	0.476570	710	
0.151053	-0.323102	9269	
0.118499	0.735676	4828	
0.812308	-0.042676	1904	
-0.492945	0.797427	6883	
0.831635	0.314353	5038	
0.697278	0.646499	8402	
0.447000	-0.263402	5117	
0.843266	0.188709	5733	
-0.758209	0.353275	9389	
-0.340795	0.596342	7466	
0.854636	0.187518	7208	
0.409310	0.298620	6477	
-0.766939	0.513115	971	
-0.592596	0.677031	7670	
-0.106091	0.660625	8145	
0.401583	0.796568	2323	
-0.281964	0.825990	7463	
0.350792	0.562212	7610	
0.501916	-0.325837	6809	
0.415014	0.804040	10857	
0.619200	-0.214687	6409	
0.315004	0.172626	11024	
-0.425305	0.584974	1131	
0.372764	0.136106	3366	
0.607805	0.436384	10984	
-0.787616	0.493845	2984	
0.491534	0.732242	7482	
0.895979	0.048544	8140	
0.155364	0.598215	5935	
0.850280	-0.137716	3863	
0.463693	0.822580	3187	
-0.295253	0.805109	5719	
0.549615	0.741971	9310	
0.710550	0.551948	2805	
-0.071279	0.595172	6322	
0.446834	0.371434	5784	
0.640163	0.731764	1058	
-0.882732	0.326352	7365	
-0.703940	0.373016	7870	
0.465743	0.221504	372	
0.359056	0.477796	3357	
0.294727	0.783033	5508	
0.346377	0.383795	1079	
0.437086	0.284751	6407	
0.432224	0.127654	2773	
0.174345	0.550760	6599	
0.453006	0.467727	1377	
0.955178	0.013108	10581	
0.489502	0.323978	9155	
0.453886	0.083674	3824	
0.229223	0.343011	10583	
0.157369	0.316439	3415	
0.473117	0.009877	1446	
0.446882	-0.121302	4512	
-0.846619	0.321640	7953	
0.239965	-0.278466	2400	
0.112216	-0.178085	4293	
0.482547	0.490561	6823	
0.804316	0.421125	7714	
0.687295	0.053835	7447	
0.537090	0.269801	9026	
