time = 44.197	Re = 13	rotation = -65.3131
0.119977	0.220497	10970	
0.512332	0.784387	1582	
0.366464	-0.258437	8206	
0.414035	0.634168	9240	
0.532920	0.047349	5748	
-0.032954	0.111064	472	
0.453958	0.187996	10537	
-0.595488	0.554465	3905	
0.370949	0.637068	344	
-0.756202	0.516889	1183	
0.290824	0.517882	6477	
0.708009	0.124072	2451	
-0.032594	0.787574	8441	
0.743336	0.661239	7348	
0.384764	0.352035	5938	
-0.641748	0.355002	3300	
0.384243	0.149377	5866	
0.414902	0.736679	8520	
0.417714	-0.651312	8077	
-0.695511	0.021953	6891	
0.722064	-0.153534	4233	
-0.124048	0.844926	3792	
0.537294	0.120110	4564	
0.057470	0.383824	7096	
-0.301205	0.684722	10233	
0.235487	-0.069484	9268	
0.463549	-0.131287	9616	
0.073060	0.782899	10667	
-0.180395	0.270657	7841	
0.158857	-0.224269	8464	
-0.339886	0.909461	5922	
-0.933247	0.098572	6312	
0.889187	0.166210	946	
-0.198689	0.376876	1868	
0.401980	0.296946	5909	
0.646398	-0.148020	6644	
0.526217	0.041305	5748	
0.463214	-0.016498	1023	
-0.572447	-0.712322	9056	
-0.605320	0.663103	7719	
0.335522	0.688874	9301	
0.034145	0.316514	9159	
0.513573	-0.176640	8495	
0.775765	0.354079	7059	
-0.494881	0.795279	786	
-0.033615	-0.618773	2836	
0.625726	-0.046321	8209	
-0.457124	-0.077646	4511	
0.134648	-0.187345	4332	
0.660920	0.547711	8375	
-0.066846	0.414918	9692	
-0.205349	0.755893	6462	
-0.692017	0.414651	3829	
0.428693	0.397525	7642	
0.124615	0.582507	3357	
0.496843	-0.001938	4810	
0.156400	0.942918	2389	
-0.487985	0.438748	3797	
0.024859	0.574257	1994	
-0.618186	0.151858	6751	
-0.097348	-0.189511	8736	
-0.207425	0.637779	1289	
0.233758	-0.153681	4562	
-0.594115	0.393102	11029	
-0.378236	0.909975	9303	
0.153866	0.008539	2620	
-0.740881	0.300866	544	
0.354043	0.816441	9568	
0.478923	0.130253	6223	
0.095354	0.099230	5552	
0.370836	0.257602	2544	
0.834008	0.161254	393	
0.347791	0.340990	4297	
-0.371647	0.529590	7771	
-0.610848	-0.459289	8162	
0.927197	0.272334	5651	
0.660606	0.593902	8695	
-0.605722	0.559679	4912	
-0.358561	0.478539	6327	
-0.385333	0.667587	7278	
-0.882251	0.227232	8522	
-0.005931	0.436168	635	
0.385550	0.210286	1307	
0.487749	-0.267658	7854	
0.549971	-0.070328	6786	
-0.459507	0.873999	9019	
0.237723	0.588236	3360	
-0.005264	0.875336	7300	
0.171215	0.547668	7001	
-0.219928	0.751585	9327	
0.420886	0.161146	1634	
0.041811	0.920757	10923	
-0.568467	0.584653	2688	
-0.266792	0.432684	833	
0.323723	0.117255	349	
0.977693	0.116963	7702	
0.578818	-0.298398	3653	
-0.792791	0.176438	3007	
0.176055	0.346115	9563	
0.108052	0.319674	3932	
0.660739	0.189975	10529	
0.349291	0.759321	2453	
0.222611	0.856139	1898	
0.250987	0.400780	6219	
0.528781	-0.258229	9625	
0.062533	0.314378	5581	
-0.759350	0.222234	3746	
0.490124	0.644514	9838	
0.473206	0.782915	2231	
-0.577890	-0.556063	7223	
0.447702	-0.101407	7646	
0.500938	0.482440	2668	
0.483141	0.634481	10687	
0.708773	0.635059	1453	
0.519291	0.441381	2771	
0.812071	0.481577	10665	
0.694815	-0.135201	4223	
-0.719934	0.649439	9698	
0.723955	0.689293	2418	
0.447025	0.461820	5123	
0.142303	-0.392757	8215	
0.741170	0.547122	10548	
0.889901	0.232723	10359	
0.497763	0.433471	1730	
-0.559026	0.637937	5791	
0.744401	0.063382	3424	
0.469776	0.334541	358	
0.976822	0.032820	10168	
-0.415731	0.653655	8078	
0.245487	-0.621782	9667	
0.110479	0.309872	3932	
0.666086	-0.159181	993	
-0.095783	0.715931	3560	
0.743492	0.544090	10293	
-0.531459	0.347998	2461	
0.071741	0.657985	2629	
0.329319	-0.494767	5846	
0.245686	0.652971	8293	
-0.591455	0.465598	3096	
-0.466029	0.757248	888	
0.585883	0.374373	5998	
-0.287314	0.872922	9278	
-0.508678	0.836208	8801	
0.250720	0.590402	4188	
-0.787819	0.572919	6356	
0.745356	0.432277	7673	
0.025669	0.312744	835	
0.086821	0.485945	3827	
0.528845	0.307629	6741	
0.489649	0.673715	1830	
0.044489	-0.154496	5255	
0.735929	0.527201	7781	
-0.139888	0.915833	8921	
-0.728794	0.354593	3750	
-0.817307	0.295649	6486	
0.811478	-0.067326	8962	
-0.655024	0.563482	7191	
0.631158	0.719469	10527	
0.861001	0.352868	9392	
-0.026710	0.178421	4379	
0.097171	-0.108673	1784	
0.590490	0.019350	3682	
0.833184	0.231431	3863	
0.061184	-0.168975	8275	
0.402609	-0.078755	3175	
0.316301	0.441748	9179	
-0.739159	0.434848	7564	
-0.338659	0.433084	3547	
-0.258714	0.515339	4376	
-0.855299	0.061419	6117	
0.225485	0.604692	5753	
-0.884762	0.285576	9527	
-0.930259	0.278787	5941	
-0.944666	0.217087	9169	
0.659061	0.066089	6409	
0.859104	0.177191	457	
-0.514263	0.813145	6844	
0.044548	0.287637	6298	
0.104886	0.272481	1020	
-0.145766	0.367513	7019	
0.213405	-0.174450	3396	
-0.082978	0.501887	1859	
0.095180	0.849916	5631	
0.231638	0.417093	656	
0.169476	0.330411	7921	
0.342217	0.377525	952	
0.733313	0.037136	4059	
0.352998	0.769765	5029	
0.711273	-0.201328	683	
0.645976	0.101606	4107	
-0.356311	0.866396	1158	
0.068883	0.837078	6641	
-0.198674	0.813928	10962	
0.025034	0.961454	9453	
-0.156465	0.686564	1757	
0.026693	0.639783	6368	
-0.725202	0.246794	1676	
0.253349	0.571998	2802	
-0.376360	0.606106	779	
-0.055873	0.341372	8333	
0.251959	0.242263	3332	
0.534042	0.133395	3139	
-0.658616	-0.583867	8602	
0.632093	-0.221997	6164	
0.002836	0.958925	9315	
0.283146	-0.050963	776	
0.431538	-0.084476	4723	
0.194734	0.935213	7908	
0.050946	0.474324	2607	
-0.568570	0.813036	10164	
-0.118836	0.569145	9871	
-0.315421	0.835907	8059	
0.409376	0.418457	10246	
0.835980	0.462276	9851	
0.571238	0.367735	5664	
-0.248291	-0.484788	506	
0.216784	0.388357	1350	
0.542034	0.071713	7735	
0.336559	0.890307	1228	
-0.446527	0.661563	5338	
0.982394	0.163116	6836	
0.788283	0.459916	6637	
0.397494	-0.216704	600	
0.035048	0.979960	4612	
-0.637757	0.288886	8217	
0.312211	0.354046	6895	
0.474733	0.662485	8040	
0.527788	0.531706	3531	
-0.037435	0.118264	472	
0.636451	0.676345	8857	
0.011125	0.117999	3998	
-0.771324	-0.356405	7060	
-0.609358	0.310463	6534	
-0.645345	-0.458520	10334	
-0.101475	0.394781	9388	
-0.836582	-0.090013	6366	
0.327867	0.533738	8458	
0.493606	0.727971	10132	
0.515788	-0.067080	5250	
0.318760	0.637027	9471	
0.595709	0.768736	4924	
0.356236	0.577072	6687	
0.031264	0.497370	3118	
0.246176	0.392879	6219	
0.382864	0.121305	2056	
0.451305	0.037384	9942	
0.428532	0.241984	10307	
