time = 0.187	Re = 13	rotation = -0.268138
-0.796114	0.458211	2292	
-0.795491	0.459297	2188	
-0.794082	0.461835	2188	
-0.791762	0.466098	2188	
-0.788395	0.472223	2188	
-0.784248	0.479397	7244	
-0.779234	0.487989	7244	
-0.773280	0.497605	6594	
-0.766485	0.508381	982	
-0.758997	0.519798	982	
-0.750623	0.531852	950	
-0.741264	0.544706	4874	
-0.731265	0.557706	5904	
-0.720455	0.571459	1221	
-0.709195	0.585425	1183	
-0.697167	0.599713	4970	
-0.684321	0.614112	5926	
-0.670982	0.628470	8255	
-0.657030	0.642907	2059	
