time = 50,Re = 1
-0.704832,-0.339326,3781
-0.146655,-0.78114,2563
0.518202,-0.617142,5070
0.815767,0.065061,4587
0.395077,0.740339,1819
-0.544176,0.649308,5472
-0.854474,-0.099531,2695
-0.411001,-0.771635,2953
0.437333,-0.77479,3304
0.904973,-0.040548,4770
0.536722,0.750519,4676
-0.435888,0.832945,5224
-0.9415,0.159959,312
-0.710178,-0.664465,680
0.064767,-0.988144,5994
0.671251,-0.063539,4173
0.674521,-0.009645,2165
0.667463,0.105792,2828
0.632292,0.241391,4377
0.52648,0.431642,5314
0.327655,0.624717,5010
-0.152879,0.748938,5455
-0.497887,0.488594,2098
-0.695033,0.101735,5373
-0.602962,-0.37718,4000
-0.185244,-0.695456,2129
0.354248,-0.636131,4890
0.718292,-0.167274,1706
0.558896,0.50028,616
-0.215291,0.769981,5317
-0.734195,0.236203,5363
-0.603352,-0.501968,3566
0.099382,-0.79146,2742
0.732027,-0.347982,3410
0.661795,0.493667,4538
-0.259975,0.816939,5294
-0.841645,0.151725,1555
-0.564463,-0.662892,4419
0.294284,-0.836119,3984
0.889175,-0.157926,3963
0.58963,0.707079,4252
-0.401601,0.848866,6833
-0.941003,0.158798,312
-0.685471,-0.68993,6608
0.129616,-0.982399,6378
-0.509504,-0.40213,1156
-0.472323,-0.445991,5327
-0.37645,-0.531697,2965
-0.229858,-0.612005,3153
-0.010302,-0.656727,3421
0.285249,-0.596918,3353
0.552489,-0.373451,4039
0.672197,-0.001606,2165
0.546971,0.400624,3275
0.118703,0.762503,5435
-0.515286,0.467881,4548
-0.699097,-0.089843,5298
-0.353907,-0.622199,1389
0.287867,-0.666493,1398
0.723744,-0.139153,4123
0.468771,0.591527,4379
-0.445513,0.627007,4642
-0.772885,-0.065646,3229
-0.255469,-0.749072,3461
0.531425,-0.604027,5288
0.786705,0.230199,2988
0.070069,0.866919,5854
-0.790225,0.317169,4261
-0.646406,-0.579562,5121
0.21569,-0.857652,3167
0.879314,-0.199641,4417
0.588158,0.707563,4252
