time = 1.5002	Re = 25	rotation = -1.87584e-05
0.224318	-0.725509	4213	
0.224311	-0.725514	4213	
0.224348	-0.725482	4213	
0.224383	-0.725461	4213	
0.224512	-0.725358	4213	
0.224496	-0.725376	4213	
0.224558	-0.725327	4213	
0.224586	-0.725298	4213	
0.224606	-0.725291	4213	
0.224595	-0.725302	4213	
0.224745	-0.725180	4213	
0.224927	-0.724993	4213	
0.225075	-0.724879	4213	
0.225292	-0.724650	4213	
0.225516	-0.724475	4213	
0.225740	-0.724255	4213	
0.225798	-0.724187	4213	
0.225958	-0.724005	4213	
0.226181	-0.723821	4213	
0.226402	-0.723597	3625	
0.226446	-0.723557	3625	
0.226705	-0.723307	3625	
0.226965	-0.723031	3625	
0.227158	-0.722829	4234	
0.227463	-0.722523	4234	
0.227789	-0.722184	4234	
0.227821	-0.722154	4234	
0.228116	-0.721872	4234	
0.228436	-0.721517	4234	
0.228724	-0.721188	4234	
0.229006	-0.720869	4234	
0.229056	-0.720827	4234	
0.229433	-0.720348	1743	
0.229666	-0.720110	1743	
0.229980	-0.719708	1743	
0.230221	-0.719485	1743	
0.230417	-0.719198	1743	
0.230850	-0.718710	1743	
0.231096	-0.718440	1743	
0.231533	-0.718059	1743	
0.232715	-0.717178	1743	
0.233494	-0.716494	1743	
0.232878	-0.716833	1743	
0.232893	-0.716747	1743	
0.233270	-0.716335	1743	
0.233653	-0.715934	1743	
0.233881	-0.715668	1743	
0.234212	-0.715272	1743	
0.234409	-0.715007	1743	
0.234964	-0.714488	1743	
0.235441	-0.714085	1743	
0.235828	-0.713628	1743	
0.236393	-0.713025	1743	
0.236797	-0.712614	1743	
0.237527	-0.711860	1743	
0.238122	-0.711251	1743	
0.238481	-0.710861	1743	
0.239140	-0.710159	1743	
0.239572	-0.709612	1743	
0.240383	-0.708695	1743	
0.240941	-0.708079	1743	
0.241536	-0.707420	1743	
0.242054	-0.706852	1743	
0.242665	-0.706169	1743	
0.243559	-0.705161	1743	
0.243994	-0.704634	1743	
0.244939	-0.703474	1743	
0.245350	-0.702969	1743	
0.246287	-0.701806	1743	
0.246922	-0.700992	1743	
0.247772	-0.699940	1711	
0.248203	-0.699375	1711	
0.248973	-0.698248	1711	
0.249448	-0.697568	1711	
0.250188	-0.696514	1711	
0.250712	-0.695770	1711	
0.251381	-0.694837	1711	
0.251966	-0.693891	1917	
0.252572	-0.692969	1917	
0.254152	-0.691271	1917	
