time = 2.5002	Re = 25	rotation = -5.21051e-05
0.579632	-0.728015	6938	
0.579624	-0.728024	6938	
0.580075	-0.727615	6938	
0.580437	-0.727317	6938	
0.582123	-0.725914	7872	
0.581910	-0.726077	7872	
0.582619	-0.725554	7872	
0.583072	-0.725256	7872	
0.583240	-0.725165	7872	
0.583098	-0.725250	7872	
0.584995	-0.723566	7872	
0.587616	-0.721177	3296	
0.589291	-0.719637	3296	
0.592107	-0.716973	3296	
0.594737	-0.714488	3296	
0.597508	-0.711875	3296	
0.598470	-0.710972	3296	
0.600573	-0.708988	3296	
0.603200	-0.706537	3296	
0.606191	-0.703760	10752	
0.606806	-0.703218	10752	
0.610072	-0.700358	10752	
0.614262	-0.696628	10752	
0.617040	-0.694120	10752	
0.621285	-0.690199	10752	
0.625491	-0.686045	8804	
0.625745	-0.685772	8804	
0.629849	-0.681849	7412	
0.633915	-0.677639	10986	
0.637495	-0.673895	10986	
0.641228	-0.669954	10986	
0.641905	-0.669251	10986	
0.647279	-0.663476	10986	
0.650359	-0.660247	10728	
0.654951	-0.655202	10728	
0.657856	-0.651960	10728	
0.661446	-0.647837	10360	
0.667640	-0.640957	10360	
0.671003	-0.637218	9799	
0.675510	-0.632089	9799	
0.686954	-0.618400	8816	
0.694977	-0.608804	8656	
0.689326	-0.615462	8816	
0.689926	-0.614731	8816	
0.694137	-0.609752	8656	
0.699850	-0.602485	8656	
0.701137	-0.600984	8656	
0.704025	-0.597317	8656	
0.706011	-0.594702	8656	
0.711054	-0.588018	7098	
0.715452	-0.582195	8303	
0.719655	-0.576817	8303	
0.725487	-0.568648	8303	
0.729199	-0.563405	8303	
0.736360	-0.552973	8355	
0.742540	-0.544376	8355	
0.745946	-0.539132	8355	
0.751348	-0.530812	9391	
0.755113	-0.524889	9391	
0.762445	-0.513541	8909	
0.767552	-0.505612	8909	
0.773396	-0.496119	11021	
0.778317	-0.487633	10693	
0.783949	-0.477826	10693	
0.791592	-0.464364	10338	
0.795191	-0.457749	7500	
0.803275	-0.442839	7500	
0.807938	-0.433803	10655	
0.816153	-0.417604	9513	
0.821270	-0.407081	2689	
0.828601	-0.391929	2213	
0.832615	-0.383082	10196	
0.838980	-0.368439	10196	
0.842612	-0.359705	10294	
0.848283	-0.345491	10547	
0.852348	-0.335207	10547	
0.857601	-0.321761	10946	
0.862552	-0.309101	9244	
0.867319	-0.296163	8424	
0.877628	-0.265863	10643	
0.885185	-0.240388	1491	
0.893307	-0.211897	7963	
0.899233	-0.187922	8858	
0.905073	-0.157778	8889	
0.910939	-0.119652	9056	
0.913169	-0.088649	7713	
0.913256	-0.056068	465	
0.912191	-0.039657	465	
0.909730	-0.016293	9249	
0.904886	0.008097	9730	
0.899468	0.025591	9730	
0.888069	0.052230	7938	
0.872157	0.078763	632	
0.850257	0.102858	346	
0.826696	0.121776	4557	
0.796943	0.136991	1136	
0.764279	0.145857	4062	
0.742726	0.148407	1982	
0.721346	0.147630	6337	
0.708704	0.146501	8654	
0.690020	0.143617	10352	
0.668978	0.139929	10056	
0.657557	0.138076	10056	
0.652056	0.138321	2161	
0.645964	0.138799	3350	
0.633997	0.142115	2013	
0.628540	0.145173	2013	
0.621371	0.150131	1372	
0.616305	0.154697	1372	
0.612133	0.159374	1372	
0.608900	0.164529	4270	
0.605835	0.169046	5048	
0.602830	0.172547	5048	
0.599958	0.176359	5048	
0.597089	0.180532	5048	
0.594315	0.184508	3550	
0.590560	0.188996	3550	
0.586876	0.193224	3550	
0.583084	0.197178	3550	
0.580001	0.200408	2910	
0.577058	0.203081	3474	
0.573722	0.205934	3474	
0.569012	0.209669	3474	
0.563621	0.213951	5146	
0.559290	0.217706	5146	
0.554590	0.221877	5146	
0.545763	0.227867	2317	
0.539787	0.231536	2317	
0.532198	0.235657	8977	
0.523559	0.240146	4761	
0.515152	0.244603	4761	
0.505344	0.248735	4204	
0.488590	0.254888	3742	
0.479782	0.257659	3100	
0.469720	0.260970	3100	
0.462823	0.263101	4743	
0.453662	0.265499	4743	
0.444539	0.267836	5578	
0.436782	0.269731	8213	
0.428896	0.271626	8213	
0.415611	0.275058	6977	
0.401549	0.278449	2946	
0.396296	0.279626	2946	
0.390115	0.280929	3293	
0.384042	0.282162	539	
0.377814	0.283409	10156	
0.368046	0.285459	10156	
0.361775	0.286691	3513	
0.355679	0.287843	3973	
0.350733	0.288749	3973	
0.345790	0.289609	3973	
0.341481	0.290319	2883	
0.337825	0.290858	2883	
0.333708	0.291415	10241	
0.330141	0.291952	10241	
0.328767	0.291937	10241	
0.325188	0.292426	10241	
0.322344	0.292683	10367	
0.320014	0.292920	10367	
0.316909	0.293311	9364	
0.314313	0.293568	9364	
0.313507	0.293431	9364	
0.315077	0.292759	9364	
0.317502	0.292024	9364	
0.321950	0.290762	10367	
0.324759	0.290005	10241	
0.326552	0.289285	10241	
0.331802	0.287878	10241	
0.337768	0.286258	10241	
0.345606	0.284063	3973	
0.353538	0.281874	10431	
0.364723	0.278709	9713	
0.374023	0.275962	539	
0.388370	0.271870	3293	
0.400763	0.268142	1355	
0.412277	0.263923	6977	
0.425105	0.259246	8507	
0.439861	0.253671	5578	
0.450846	0.249034	6434	
0.467875	0.240984	2914	
0.482474	0.233108	5749	
0.497408	0.223917	2739	
0.512358	0.211892	2785	
0.526724	0.198933	8862	
0.538409	0.185799	10418	
0.552714	0.166603	9230	
0.566067	0.147787	1204	
0.589026	0.121797	5591	
0.659084	0.115395	5683	
0.904371	-0.058639	9927	
0.850670	-0.299642	9244	
0.773358	-0.463583	7528	
0.668985	-0.615147	8816	
0.481528	-0.786295	7764	
0.191711	-0.913045	7480	
-0.222935	-0.907736	5526	
-0.588688	-0.700866	9278	
-0.702458	-0.525130	6255	
-0.671077	-0.421317	8477	
-0.495025	-0.384886	7929	
-0.062527	-0.438050	6816	
0.113995	-0.521533	5264	
0.175076	-0.573293	4090	
0.202026	-0.602538	628	
0.223444	-0.626366	428	
-0.467116	-0.613718	9332	
0.776765	-0.212690	7223	
0.815253	-0.149698	8934	
0.841828	-0.103251	9735	
0.854907	0.034302	10209	
0.689195	0.086895	2538	
0.831428	0.065043	9386	
0.298949	-0.760283	6493	
0.558763	-0.509091	3576	
0.594677	-0.468596	5454	
0.600106	-0.471835	6284	
0.593872	-0.488359	6272	
0.574491	-0.521402	6268	
0.553241	-0.552513	6265	
0.527831	-0.586554	4290	
0.510147	-0.609643	2794	
0.502981	-0.621983	2310	
0.512822	-0.617307	2794	
0.553093	-0.576437	3182	
0.621295	-0.479657	9919	
0.668553	-0.378149	5738	
0.691192	-0.306599	10048	
0.704224	-0.247164	10685	
0.708392	-0.214470	754	
0.708652	-0.196695	726	
0.707461	-0.193408	3640	
0.702591	-0.242318	10685	
0.681690	-0.327760	9945	
0.698751	-0.210693	754	
0.652783	-0.197430	3204	
0.656197	-0.262267	8204	
0.613656	-0.252339	2610	
0.103744	-0.129140	6735	
-0.653012	0.140786	5068	
-0.597809	0.100162	8784	
-0.502753	0.115006	3108	
-0.439668	0.164291	3145	
-0.170197	0.089940	6323	
-0.461319	-0.035194	1852	
0.028565	0.869145	7632	
0.475972	0.553043	4753	
0.301488	0.469723	4845	
0.169568	0.480044	5796	
0.106913	0.494450	2474	
0.071650	0.502825	3706	
0.057881	0.504821	2296	
0.053797	0.501848	2296	
0.065889	0.491845	2598	
0.097726	0.475010	7304	
0.141102	0.458853	2392	
0.184717	0.446471	910	
0.256798	0.431282	8449	
0.328619	0.422613	6956	
0.399134	0.421402	10934	
0.478560	0.428691	6946	
0.535974	0.440272	2583	
0.576954	0.456925	3629	
0.611379	0.484337	7396	
0.628640	0.515313	8701	
0.630400	0.549872	1026	
0.621338	0.584762	7811	
0.601883	0.626053	4178	
0.569747	0.671894	5608	
0.524063	0.721245	6649	
0.456063	0.777509	4947	
0.376132	0.827009	2125	
0.286698	0.867260	6597	
0.138498	0.907253	2060	
0.042627	0.917571	1222	
-0.059309	0.915905	6593	
-0.135956	0.906429	6463	
-0.247637	0.879146	10639	
-0.324907	0.850138	5314	
-0.405093	0.810282	5642	
-0.462597	0.774775	7993	
-0.511430	0.739494	7954	
-0.555202	0.702726	6738	
-0.597849	0.661607	876	
-0.645080	0.609694	5210	
-0.683597	0.560808	6027	
-0.725547	0.499776	5967	
-0.751520	0.456564	7210	
-0.771244	0.420640	6841	
-0.788283	0.387851	10672	
-0.808714	0.346457	7208	
-0.824969	0.310094	8332	
-0.837906	0.279729	7510	
-0.849163	0.251630	8695	
-0.862256	0.215022	5038	
-0.875096	0.175719	8101	
-0.887918	0.119871	695	
-0.894092	0.055246	9928	
-0.882517	-0.024545	9275	
-0.826729	-0.104430	1941	
-0.721973	-0.129996	2656	
-0.661141	-0.096617	3274	
-0.646871	-0.072084	1360	
-0.641422	-0.064020	5000	
-0.628905	-0.062520	3190	
-0.613549	-0.066578	2829	
-0.591834	-0.075625	3002	
-0.577740	-0.083037	9993	
-0.564077	-0.091138	9993	
-0.552745	-0.098080	8006	
-0.545858	-0.102647	9347	
-0.540204	-0.106675	9347	
-0.535507	-0.110163	9347	
-0.531774	-0.112933	4690	
-0.526525	-0.116894	4690	
-0.522792	-0.119666	4690	
-0.518878	-0.122618	1049	
-0.516555	-0.124458	1049	
-0.515011	-0.125698	1049	
-0.513500	-0.126935	1049	
-0.515484	-0.125631	1049	
-0.515605	-0.125644	1049	
-0.514631	-0.126479	1049	
-0.513676	-0.127314	1049	
-0.512218	-0.128557	1049	
-0.511259	-0.129410	1049	
-0.510463	-0.130135	1297	
-0.509306	-0.131161	1297	
-0.508610	-0.131802	1297	
-0.507899	-0.132429	1297	
-0.507113	-0.133107	1297	
-0.505785	-0.134163	1297	
-0.505060	-0.134772	1297	
-0.504159	-0.135582	1297	
-0.503410	-0.136281	1295	
-0.501908	-0.137507	1295	
-0.501188	-0.138182	1295	
-0.500331	-0.138940	1295	
-0.499019	-0.140081	1295	
-0.497708	-0.141221	1295	
-0.497017	-0.141851	1295	
-0.494578	-0.143916	1295	
-0.492402	-0.145794	1295	
-0.490840	-0.147117	1295	
-0.488640	-0.148895	459	
-0.487083	-0.150211	459	
-0.484797	-0.152099	2220	
-0.482656	-0.153821	2220	
-0.482177	-0.154274	2220	
-0.481483	-0.154889	2220	
-0.479690	-0.156411	2220	
-0.477908	-0.157903	2220	
-0.476149	-0.159263	2220	
-0.475390	-0.159916	2220	
-0.474345	-0.160696	2220	
-0.473749	-0.161218	2220	
-0.472822	-0.161916	2220	
-0.471506	-0.162877	3233	
-0.470816	-0.163422	3233	
-0.469629	-0.164271	3233	
-0.468560	-0.165017	3233	
-0.467065	-0.166079	3233	
-0.465931	-0.167040	3233	
-0.464533	-0.168129	3233	
-0.463562	-0.168868	3233	
-0.462715	-0.169464	3233	
-0.462291	-0.169837	3233	
-0.461132	-0.170663	3233	
-0.459897	-0.171531	3233	
-0.458954	-0.172221	3827	
-0.457942	-0.172929	3827	
-0.456873	-0.173628	3827	
-0.455780	-0.174295	3091	
-0.454824	-0.174906	3091	
-0.453832	-0.175602	3091	
-0.453067	-0.176127	3242	
-0.452125	-0.176751	3242	
-0.451338	-0.177333	3242	
-0.450626	-0.177815	3242	
-0.450028	-0.178268	3242	
-0.449065	-0.178906	3242	
-0.448071	-0.179548	3242	
-0.446428	-0.180455	3242	
-0.445274	-0.181067	3242	
-0.443760	-0.181801	3242	
-0.442792	-0.182336	3242	
-0.441749	-0.182936	3242	
-0.441014	-0.183411	3242	
-0.440322	-0.183865	3242	
-0.439547	-0.184338	2329	
-0.438608	-0.184860	2329	
-0.437607	-0.185367	2329	
-0.436981	-0.185759	2329	
-0.435947	-0.186269	2329	
-0.435264	-0.186704	2329	
-0.434653	-0.187099	2329	
-0.433737	-0.187630	2329	
-0.433068	-0.188161	2329	
-0.432375	-0.188469	2329	
-0.431555	-0.188747	2329	
-0.431064	-0.189055	2329	
-0.430529	-0.189233	2329	
-0.430093	-0.189420	2329	
-0.430401	-0.188748	2329	
-0.430725	-0.188318	2329	
-0.430203	-0.188383	2329	
-0.429500	-0.188757	2329	
-0.428659	-0.189062	2329	
-0.427741	-0.189318	2329	
-0.426958	-0.189631	2329	
-0.426846	-0.189572	2329	
-0.427105	-0.189397	2329	
-0.426670	-0.189494	2329	
-0.426210	-0.189561	2329	
-0.425743	-0.189701	2329	
-0.427095	-0.188739	2329	
-0.427055	-0.188531	2329	
-0.427086	-0.188404	2329	
-0.426980	-0.188285	2329	
-0.426940	-0.188103	2329	
-0.426953	-0.187956	2329	
-0.426981	-0.187788	2329	
-0.427305	-0.187416	2329	
-0.427011	-0.187552	2329	
-0.427113	-0.187395	2329	
-0.426345	-0.187797	2329	
-0.426498	-0.187546	2329	
-0.426421	-0.187498	2329	
-0.426552	-0.187291	2329	
-0.426152	-0.187478	2329	
-0.425964	-0.187510	2329	
-0.425895	-0.187451	2329	
-0.426167	-0.186965	2329	
-0.426821	-0.186252	2329	
-0.426685	-0.186281	2329	
-0.427142	-0.185773	2329	
-0.427821	-0.185118	2329	
-0.429025	-0.184119	2329	
-0.429843	-0.183512	2329	
-0.431436	-0.182278	2329	
-0.433468	-0.180468	2329	
-0.434419	-0.179660	2329	
-0.436087	-0.178295	2329	
-0.438275	-0.176821	3242	
-0.438994	-0.176137	3242	
-0.440633	-0.174677	3242	
-0.441963	-0.173541	3242	
-0.445066	-0.171163	2911	
-0.447650	-0.169146	2911	
-0.448892	-0.168083	2911	
-0.453501	-0.164561	3855	
-0.455404	-0.163048	3855	
-0.458394	-0.160807	3855	
-0.460345	-0.159234	3855	
-0.463235	-0.157038	3233	
-0.465748	-0.155106	3233	
-0.467446	-0.153777	2220	
-0.469944	-0.151768	2568	
-0.471470	-0.150509	2568	
-0.474463	-0.147969	2568	
-0.475483	-0.147084	2568	
-0.478567	-0.144600	2568	
-0.481753	-0.142267	459	
-0.483060	-0.141281	459	
-0.484665	-0.139956	459	
-0.486156	-0.138731	459	
-0.486835	-0.138155	459	
-0.487100	-0.137918	459	
-0.488808	-0.136529	459	
-0.490831	-0.134886	459	
-0.491897	-0.133994	459	
-0.494574	-0.131826	459	
-0.496636	-0.130189	432	
-0.499288	-0.128096	1546	
-0.500271	-0.127314	1079	
-0.504851	-0.123899	1079	
-0.509012	-0.120776	1049	
-0.512250	-0.118485	1049	
-0.515087	-0.116337	1049	
-0.519625	-0.113035	4690	
-0.522792	-0.110862	10772	
-0.524195	-0.109814	10772	
-0.527685	-0.107246	10772	
-0.533104	-0.103471	8057	
-0.537073	-0.100823	8057	
-0.543169	-0.097007	9347	
-0.550686	-0.092668	8006	
-0.551984	-0.091798	10439	
-0.556651	-0.088882	10439	
-0.562328	-0.085623	9879	
-0.567549	-0.082587	9879	
