time = 0.5002	Re = 25	rotation = -2.08454e-06
-0.902848	-0.088401	8276	
-0.902852	-0.088394	8276	
-0.902860	-0.088368	8276	
-0.902849	-0.088395	8276	
-0.902917	-0.088280	8276	
-0.902928	-0.088262	8276	
-0.902949	-0.088232	8276	
-0.903068	-0.088056	8276	
-0.903115	-0.087991	8276	
-0.903160	-0.087918	8276	
-0.903277	-0.087772	9260	
-0.903372	-0.087613	9260	
-0.903521	-0.087393	9260	
-0.903611	-0.087271	9260	
-0.903615	-0.087253	9260	
-0.903718	-0.087089	9260	
-0.903919	-0.086796	9260	
-0.903967	-0.086734	9260	
-0.904084	-0.086537	9260	
-0.904238	-0.086306	9260	
-0.904408	-0.086043	9260	
-0.904591	-0.085777	9260	
-0.904681	-0.085632	9260	
-0.904821	-0.085409	9260	
-0.904986	-0.085155	9260	
-0.905180	-0.084854	9260	
-0.905429	-0.084462	9260	
-0.905599	-0.084207	9260	
-0.905748	-0.083958	9260	
-0.905930	-0.083658	9260	
-0.906106	-0.083370	9260	
-0.906435	-0.082850	9260	
-0.906548	-0.082677	9260	
-0.906739	-0.082349	9260	
-0.906911	-0.082058	9260	
-0.907300	-0.081420	9260	
-0.907465	-0.081145	9260	
-0.907754	-0.080686	8409	
-0.908121	-0.080104	8409	
-0.908309	-0.079783	8409	
-0.908743	-0.079101	8409	
-0.909069	-0.078565	8409	
-0.909392	-0.078036	8409	
-0.909758	-0.077426	8501	
-0.910099	-0.076837	8501	
-0.910517	-0.076140	8501	
-0.910885	-0.075485	8501	
-0.911299	-0.074800	8501	
-0.911932	-0.073779	8501	
-0.912242	-0.073240	8501	
-0.912814	-0.072257	8501	
-0.913157	-0.071657	8501	
-0.913627	-0.070814	8501	
-0.913907	-0.070286	8501	
-0.914413	-0.069374	8501	
-0.914785	-0.068678	8501	
-0.915310	-0.067697	8501	
-0.915746	-0.066852	8501	
-0.916226	-0.065937	8501	
-0.916603	-0.065189	8501	
-0.917156	-0.064094	8501	
-0.917441	-0.063493	8501	
-0.917999	-0.062364	8501	
-0.918240	-0.061848	8501	
-0.918805	-0.060667	8501	
-0.919110	-0.060000	8501	
-0.919561	-0.059022	8501	
-0.920074	-0.057908	8501	
-0.920380	-0.057215	8501	
-0.920882	-0.056081	8501	
-0.921218	-0.055275	8501	
-0.921586	-0.054404	9452	
-0.922039	-0.053377	9452	
-0.922483	-0.052342	9452	
-0.922982	-0.051181	9452	
-0.923352	-0.050287	9452	
-0.923848	-0.049098	9452	
-0.924410	-0.047755	9452	
-0.924764	-0.046863	9452	
-0.925143	-0.045858	9452	
-0.925446	-0.044987	9255	
-0.925738	-0.044151	9255	
-0.926145	-0.043030	9255	
-0.926569	-0.041827	9255	
-0.926893	-0.040851	9255	
-0.927351	-0.039536	9255	
-0.927863	-0.038043	9255	
-0.928304	-0.036697	9255	
-0.928694	-0.035487	9255	
-0.929204	-0.033900	9255	
-0.929622	-0.032564	9255	
-0.930101	-0.030883	9255	
-0.930498	-0.029421	9255	
-0.930852	-0.028118	9255	
