time = 1.5002	Re = 25	rotation = -1.87584e-05
-0.580211	0.670766	3769	
-0.579972	0.670997	3769	
-0.579883	0.671079	3769	
-0.580158	0.670816	3769	
-0.578027	0.672879	3769	
-0.577539	0.673335	7257	
-0.577055	0.673784	7257	
-0.573130	0.677356	7257	
-0.571462	0.678868	7257	
-0.569952	0.680227	7257	
-0.566262	0.683527	7257	
-0.563788	0.685820	7257	
-0.559053	0.690098	7257	
-0.555796	0.692993	9111	
-0.555863	0.692930	9111	
-0.546521	0.701177	9111	
-0.535828	0.709930	5166	
-0.533742	0.711630	5166	
-0.528189	0.716092	5829	
-0.520815	0.721897	5107	
-0.513664	0.727433	5107	
-0.505578	0.733838	5595	
-0.501916	0.736648	5595	
-0.496786	0.740368	6252	
-0.491530	0.744107	6252	
-0.485156	0.748709	6252	
-0.477259	0.754306	5886	
-0.471772	0.757993	5886	
-0.466800	0.761221	5886	
-0.460644	0.765221	5077	
-0.455523	0.768607	5695	
-0.439000	0.778802	6120	
-0.433564	0.782007	6120	
-0.425895	0.786651	7109	
-0.417898	0.791321	7109	
-0.401170	0.800328	7165	
-0.393545	0.804522	7203	
-0.383285	0.809740	8234	
-0.371003	0.815720	8618	
-0.363991	0.819144	8618	
-0.348930	0.826110	5952	
-0.338243	0.830893	5535	
-0.328184	0.835308	5535	
-0.311244	0.842282	8799	
-0.287131	0.851603	8665	
-0.266536	0.858898	5974	
-0.252764	0.863177	7153	
-0.239144	0.867260	7153	
-0.219928	0.872596	7007	
-0.208772	0.875422	7007	
-0.195948	0.878400	7007	
-0.188522	0.880052	6058	
-0.177802	0.882272	7094	
-0.172771	0.883227	7094	
-0.164996	0.884499	7094	
-0.157848	0.885681	8240	
-0.148725	0.887148	8240	
-0.140324	0.888337	8152	
-0.132922	0.889140	8152	
-0.127916	0.889542	8152	
-0.121637	0.889917	8174	
-0.120838	0.889768	8174	
-0.119934	0.889273	8174	
-0.121627	0.888703	8174	
-0.125814	0.887429	8152	
-0.127224	0.886879	8152	
-0.131634	0.885654	8152	
-0.145439	0.882568	8240	
-0.155790	0.880105	7094	
-0.178409	0.874624	7094	
-0.190899	0.871174	7146	
-0.211589	0.865120	7146	
-0.238980	0.856559	7153	
-0.273897	0.844026	5974	
-0.316997	0.825833	7198	
-0.349685	0.810201	5952	
-0.395002	0.785593	7165	
-0.455276	0.747181	5077	
-0.490383	0.721297	5595	
-0.533762	0.684116	7502	
-0.565699	0.653657	7015	
-0.593909	0.624116	9455	
-0.633050	0.578202	9837	
-0.679878	0.513152	2289	
-0.707627	0.466602	7968	
-0.747519	0.394932	2224	
-0.786164	0.319987	5495	
-0.822393	0.249678	1331	
-0.865553	0.166436	409	
-0.686238	-0.032462	7931	
-0.522827	-0.057308	573	
-0.438684	-0.072835	2784	
-0.388831	-0.083166	2490	
-0.351066	-0.091396	2933	
-0.315727	-0.101170	4675	
-0.288206	-0.113034	4488	
-0.257822	-0.130267	6220	
-0.222256	-0.149050	1741	
-0.164723	-0.169028	3075	
-0.122683	-0.174509	3063	
-0.091840	-0.172527	6872	
-0.071013	-0.167603	7910	
-0.054810	-0.159311	4760	
-0.045564	-0.152831	3775	
-0.037612	-0.147299	3901	
-0.030943	-0.144173	9557	
-0.023240	-0.141823	7773	
-0.008313	-0.143338	7415	
0.002293	-0.145838	2679	
0.007074	-0.147114	2679	
0.019841	-0.150865	4582	
0.038710	-0.156985	4799	
0.062101	-0.165104	7298	
0.083299	-0.172660	7686	
0.100708	-0.179493	6831	
0.125093	-0.190351	639	
0.147011	-0.202057	7750	
0.166723	-0.214005	9648	
0.202257	-0.238512	2976	
0.232733	-0.262343	6434	
0.258392	-0.283802	10011	
0.275733	-0.300492	7752	
0.290173	-0.315919	554	
0.303955	-0.332458	1341	
0.313770	-0.346655	4593	
0.321853	-0.361202	3033	
0.329264	-0.377403	3033	
0.335497	-0.393126	3524	
0.339975	-0.407186	4705	
0.343536	-0.419996	5955	
0.346307	-0.432375	6665	
0.348930	-0.446641	6665	
0.349996	-0.455090	6291	
0.351190	-0.465407	6382	
0.352239	-0.477165	6382	
0.352758	-0.485801	6548	
0.352784	-0.490623	6548	
0.352849	-0.497432	6548	
0.352764	-0.504693	6548	
0.352265	-0.512113	6201	
0.351253	-0.521862	6201	
0.349995	-0.532032	6201	
0.348520	-0.539091	7402	
0.346995	-0.547925	7454	
0.346032	-0.551992	7454	
0.344483	-0.557451	7326	
0.342789	-0.562259	7326	
0.341034	-0.567598	7326	
0.339326	-0.572206	7326	
0.336995	-0.578008	7326	
0.334912	-0.582879	6142	
0.332437	-0.588982	6479	
0.330381	-0.593638	6479	
0.327815	-0.598721	6479	
0.325495	-0.602940	6479	
0.323329	-0.606379	851	
0.320553	-0.610862	851	
0.318153	-0.614505	851	
0.315544	-0.618045	851	
0.312699	-0.621640	4562	
0.309647	-0.625867	4562	
0.306028	-0.630110	2890	
0.303325	-0.633475	2890	
0.300793	-0.636173	2228	
0.297884	-0.638893	2228	
0.294085	-0.642509	2228	
0.291298	-0.645169	2228	
0.289143	-0.647101	2228	
0.287175	-0.648546	2228	
0.284415	-0.651581	2228	
0.282389	-0.653368	2228	
0.280372	-0.654348	5025	
0.278423	-0.655474	5025	
0.275853	-0.656757	3774	
0.273976	-0.657758	3774	
0.272025	-0.658171	3774	
0.271108	-0.658045	3774	
0.269867	-0.658065	3774	
0.268987	-0.657770	3774	
0.267758	-0.657491	3774	
0.266415	-0.657169	3774	
0.264688	-0.657737	3774	
0.263569	-0.657519	3774	
0.262578	-0.656926	3774	
0.262085	-0.655279	3774	
0.261452	-0.653430	3774	
0.261382	-0.651504	3774	
0.260795	-0.649429	3774	
0.259764	-0.647329	3774	
0.258951	-0.644570	3774	
0.258063	-0.641443	3774	
0.257440	-0.639048	3774	
0.256745	-0.636155	2827	
0.256362	-0.633259	2827	
0.255910	-0.630072	2569	
0.255244	-0.626647	2569	
0.254327	-0.623270	2569	
0.253367	-0.619195	3847	
0.252333	-0.615093	3847	
0.251015	-0.611949	3847	
0.249497	-0.608235	3847	
0.248388	-0.606744	3847	
0.247245	-0.603480	1648	
0.245960	-0.600837	1648	
0.244381	-0.598231	1648	
0.242426	-0.595156	1648	
0.240505	-0.592515	7998	
0.240048	-0.591604	7998	
0.239620	-0.590811	7998	
