time = 9	Re = 1	rotation = 1.43224
-0.435677	-0.800407	2707	
-0.290591	0.294872	2183	
-0.782082	-0.525176	8089	
-0.192127	-0.062730	4181	
-0.737594	0.296419	4870	
-0.586790	-0.588249	4331	
-0.537081	0.063703	2982	
-0.862928	-0.235651	294	
-0.651806	-0.473712	3370	
-0.661433	0.001845	3340	
-0.706004	0.150459	3475	
-0.705324	-0.327642	2671	
-0.128075	-0.129196	1309	
-0.369631	-0.625648	4374	
-0.107207	0.658174	704	
-0.200797	0.528143	2975	
0.478140	0.189140	941	
-0.478437	0.729964	8635	
0.873936	0.379852	8200	
-0.769706	-0.520221	8089	
-0.576457	-0.452078	585	
-0.342882	0.341420	2131	
-0.543880	-0.216789	3256	
-0.102515	0.281224	8529	
-0.410235	0.159636	6047	
-0.617550	-0.079618	4400	
-0.480486	-0.595392	3609	
-0.539645	-0.146590	7046	
-0.638147	0.562531	6967	
-0.041604	-0.119103	2947	
0.021160	-0.116436	839	
-0.660311	-0.042340	5095	
0.125622	0.198062	4388	
-0.728483	0.437126	3915	
0.173215	0.619556	8032	
-0.620593	-0.642752	6236	
0.693147	-0.630392	7242	
0.465094	0.134244	5028	
-0.309814	0.588199	3469	
-0.254163	0.523771	4600	
-0.716286	-0.120065	8641	
0.242918	-0.031726	7644	
-0.629436	0.377664	570	
0.268294	-0.882742	8504	
0.834590	-0.475387	1031	
-0.196076	-0.741706	7823	
-0.619375	-0.007531	932	
0.232263	0.494280	5254	
0.957563	-0.210909	3309	
-0.491792	0.240769	6722	
0.474572	0.133379	5239	
-0.244888	0.243524	2328	
-0.677520	-0.180091	4332	
0.446534	0.248137	443	
0.580793	0.685218	6825	
0.314683	0.234209	6167	
0.919791	0.213775	7839	
-0.067469	0.482285	6909	
0.016081	0.866543	6517	
0.078455	0.303999	3414	
0.446779	0.380121	7529	
-0.730366	-0.443240	6334	
-0.368520	0.549385	5292	
-0.284176	0.546662	9291	
0.605725	0.754643	885	
0.433886	0.155175	4218	
0.507627	0.279113	5051	
0.078358	0.730687	8178	
-0.610775	0.459467	4867	
0.019365	0.362331	5184	
-0.060624	0.661550	4597	
-0.659648	0.577516	318	
0.858435	-0.447025	1169	
-0.778229	-0.309123	5174	
-0.604719	-0.220610	1868	
0.829513	-0.501572	1696	
-0.000112	0.578308	3994	
0.080438	0.182917	2345	
-0.381686	0.221812	6480	
-0.638212	0.011534	1022	
-0.742147	-0.173063	2797	
0.302431	0.305888	5169	
-0.705613	-0.528765	6296	
0.592343	-0.736712	9023	
-0.243202	-0.027969	6070	
0.343288	0.549921	3107	
-0.524075	0.676055	745	
-0.456570	0.285492	4833	
-0.659558	-0.442396	1777	
-0.689379	-0.548255	6584	
0.805497	0.539098	1436	
-0.677060	-0.157781	1331	
-0.343110	-0.631654	6027	
-0.425537	0.592584	6375	
-0.261503	-0.776891	486	
-0.825627	-0.041285	2395	
-0.119089	0.537695	6567	
-0.532034	0.295029	2232	
-0.091579	0.768186	7806	
-0.382541	-0.633467	5459	
