Time	U_x	U_y	P	Max.Res.	Omega_1(Wall)
0	0	0	0	0	1
0.0001	-3.010713195e-07	-4.990769383e-06	0.004643121353	1	1
0.0002	-1.128929853e-06	-3.587871054e-05	0.0561809292	37.10017662	1
0.0003	-5.882217082e-07	-5.043100236e-05	0.09601209467	15.02735166	1
0.0004	-8.133926291e-07	-3.844132567e-05	0.07782938182	11.81154814	1
0.0005	-6.903354789e-07	-1.078583891e-05	0.0180144988	67.24101228	1
0.0006	1.147710466e-07	2.126346961e-05	-0.054332203	35.65308785	1
0.0007	1.296377706e-06	4.936489383e-05	-0.1156149119	41.37035262	1
0.0008	2.452575454e-06	6.90688471e-05	-0.1535224351	45.18002213	1
0.0009	3.279529644e-06	7.908721513e-05	-0.1654011167	8.051797836	1
0.001	3.640091099e-06	8.028028547e-05	-0.1548889076	8.922629479	1
0.0011	3.537739037e-06	7.465031331e-05	-0.1285989583	9.985870399	1
0.0012	3.0655831e-06	6.457320649e-05	-0.09369943415	2.924460563	1
0.0013	2.355364156e-06	5.228375573e-05	-0.05644271225	3.867825725	1
0.0014	1.539721174e-06	3.959118416e-05	-0.02148082071	4.786152119	1
0.0015	7.290972539e-07	2.776952758e-05	0.008275248939	4.450684539	1
0.0016	1.31785717e-09	1.756780788e-05	0.03146926997	16.86403658	1
0.0017	-5.996775669e-07	9.290621794e-06	0.04795525565	20.37174985	1
0.0018	-1.059341803e-06	2.910633276e-06	0.05841044043	28.73220809	1
0.0019	-1.385160918e-06	-1.814553913e-06	0.063977039	27.32817328	1
0.002	-1.598595909e-06	-5.238520975e-06	0.06597003232	12.87161897	1
0.0021	-1.726675096e-06	-7.76667298e-06	0.06565249078	20.31329652	1
0.0022	-1.803075281e-06	-9.826514066e-06	0.06430071579	8.182262613	1
0.0023	-1.852971796e-06	-1.162688299e-05	0.06259568551	34.04526375	1
0.0024	-1.893292182e-06	-1.331403206e-05	0.06100998072	2.255718301	1
0.0025	-1.935135766e-06	-1.498482216e-05	0.0598287094	2.460991643	1
0.0026	-1.985756275e-06	-1.670378291e-05	0.05919728616	2.874330698	1
0.0027	-2.048777786e-06	-1.851790608e-05	0.05917758721	4.45143813	1
0.0028	-2.125602999e-06	-2.045234538e-05	0.0597559287	1.195931742	1
0.0029	-2.215708601e-06	-2.251834186e-05	0.06087660232	0.9479235027	1
0.003	-2.317568561e-06	-2.47120549e-05	0.0624507593	6.564632637	1
0.0031	-2.430653738e-06	-2.707629866e-05	0.06451915257	1.021780677	1
0.0032	-2.552764029e-06	-2.959029508e-05	0.06696098275	0.9120852843	1
0.0033	-2.681447056e-06	-3.219602842e-05	0.06958885653	1.756011069	1
0.0034	-2.813203362e-06	-3.482540578e-05	0.07219996391	0.673396769	1
0.0035	-2.944587384e-06	-3.743678785e-05	0.07467250493	0.5247862703	1
0.0036	-3.072817022e-06	-4.000469567e-05	0.07693924831	0.5084842512	1
0.0037	-3.196501244e-06	-4.252431393e-05	0.0789987303	1.147857231	1
0.0038	-3.314935857e-06	-4.498743368e-05	0.08084781551	1.387252702	1
0.0039	-3.428345479e-06	-4.740046558e-05	0.0825244035	1.387293865	1
0.004	-3.537035231e-06	-4.976417534e-05	0.08405002434	1.250913362	1
0.0041	-3.641754364e-06	-5.208739629e-05	0.08546450919	0.8985833087	1
0.0042	-3.743014389e-06	-5.437252417e-05	0.08678731731	0.7715275786	1
0.0043	-3.841483539e-06	-5.662544927e-05	0.08804372836	0.8391662428	1
0.0044	-3.937593627e-06	-5.884892787e-05	0.08924719944	10.56487491	1
0.0045	-4.031966816e-06	-6.105269354e-05	0.09042538298	0.926092946	1
0.0046	-4.124888863e-06	-6.323971934e-05	0.0915860416	0.533722621	1
0.0047	-4.216790362e-06	-6.541579172e-05	0.09274312523	0.4918499681	1
0.0048	-4.307848812e-06	-6.758295449e-05	0.09389937271	0.4792190191	1
0.0049	-4.398356224e-06	-6.974642614e-05	0.09506481184	0.847104959	1
0.005	-4.488283163e-06	-7.190351817e-05	0.09622884296	0.395078302	1
