time = 250	Re = 1	rotation = 39.7886
0.591293	0.202318	1479	
0.359121	-0.288152	7240	
-0.474111	0.144668	5331	
0.712818	0.641165	9417	
0.074247	-0.770230	3578	
0.291922	0.485504	1833	
0.454108	-0.453366	1733	
-0.194018	0.226363	7114	
0.473465	-0.141107	6856	
0.216020	-0.651622	7365	
0.529995	0.038442	1758	
0.634810	0.459681	4963	
0.401763	0.636617	6570	
0.360311	0.620347	7176	
-0.113343	0.657835	4875	
0.249471	0.903883	1799	
0.654879	0.428058	2255	
-0.205691	-0.843113	5270	
-0.251026	-0.267124	10444	
-0.949343	-0.146065	10712	
-0.647465	-0.079839	11253	
0.078695	-0.653542	6307	
-0.684990	0.315308	3667	
0.708401	-0.475149	6948	
0.097069	-0.965374	5522	
0.874959	-0.450620	9441	
0.652468	0.490967	3807	
-0.463782	-0.007120	886	
0.396789	0.186440	8534	
-0.717736	0.086559	1097	
0.583217	0.508105	10438	
0.129034	0.210369	392	
-0.191740	0.331091	720	
0.048947	0.065454	10046	
0.299128	0.416112	5797	
0.610048	0.526297	10904	
-0.745706	-0.309587	6085	
0.643575	-0.292958	1367	
0.433722	-0.329462	5766	
-0.856705	0.351170	2993	
0.493710	-0.294440	6433	
0.280436	0.865789	668	
0.417525	0.544043	4835	
-0.153053	0.440839	746	
0.348354	-0.621825	7647	
-0.060729	-0.460794	5949	
-0.365076	-0.316863	5527	
0.564470	-0.325507	1895	
-0.889636	0.367403	10485	
0.635872	0.442969	8368	
0.876564	0.160266	7451	
0.362720	-0.651132	6501	
-0.002453	0.696574	5015	
0.809656	-0.497940	8732	
-0.033983	0.154296	1073	
0.431289	-0.005599	7364	
0.254158	0.765204	6466	
-0.431934	0.364239	10824	
-0.639125	0.121331	6044	
0.282212	0.006353	2700	
0.100728	-0.766113	8974	
-0.876109	-0.100405	9868	
0.877322	-0.329353	2751	
-0.055472	0.846871	4860	
-0.650611	0.112072	9497	
0.492588	-0.645135	4419	
-0.867518	0.314747	3981	
0.060876	0.187364	2182	
-0.178599	0.641169	5507	
0.225833	0.605214	3255	
0.087065	-0.757190	3578	
-0.168171	-0.608403	5574	
-0.424982	0.208553	3533	
-0.389273	0.555439	5256	
0.556944	0.648235	7343	
-0.497137	-0.830896	9401	
-0.586714	0.706139	7338	
-0.440733	0.556333	7840	
0.683840	-0.248261	1218	
0.826259	0.321213	6644	
0.328435	-0.032359	537	
-0.067894	0.201757	5895	
-0.512465	-0.761916	9449	
-0.361334	0.632735	7708	
0.023972	-0.557426	5817	
-0.559490	-0.182030	7919	
-0.482429	0.061727	936	
0.662556	0.694324	11228	
-0.454496	0.725501	822	
0.518067	-0.378605	8509	
-0.876993	0.432386	8652	
0.448051	0.714824	5041	
0.815843	-0.094651	7119	
-0.156622	0.584349	3934	
-0.019059	0.497799	3353	
-0.735732	0.019755	3318	
-0.680436	-0.163771	7272	
0.262967	0.321044	2965	
-0.271379	0.130421	2719	
0.527157	0.417310	2845	
0.702222	0.407253	6145	
0.185353	0.596500	1552	
0.335029	-0.213298	6302	
0.405153	-0.795283	9536	
0.674596	-0.356077	6664	
0.478449	-0.144625	5332	
-0.052737	-0.794011	4521	
-0.622067	0.602677	7463	
-0.884755	-0.017216	7657	
-0.243928	0.219651	7369	
-0.679165	-0.407984	6754	
-0.529908	-0.427799	2554	
0.959823	-0.234149	930	
0.654145	-0.137538	8700	
-0.739972	0.258892	7662	
0.411239	0.046339	3403	
0.134979	0.729171	6167	
0.846658	-0.134533	8581	
0.093377	0.092864	5518	
0.202503	0.265525	4642	
0.432047	-0.357739	10823	
-0.321934	0.529432	444	
-0.828772	-0.093218	6728	
-0.517587	0.307086	9248	
0.085791	0.846006	5605	
0.515098	-0.352956	8087	
0.264402	-0.385319	587	
0.088238	0.171229	3100	
0.413508	-0.487405	500	
-0.051529	-0.760248	5292	
-0.136918	0.079979	5033	
0.671947	0.467877	2979	
-0.241226	0.202411	4395	
-0.065850	-0.826094	4416	
-0.632231	-0.327135	10449	
