Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_eps	Time: 4.9500	Mesh (Number of cells): 2483
0.2061709779 	 0.4735899093 	 -0.1313518974 	 0.5165209331 	 259
-0.2061709779 	 -0.4735899093 	 -0.1313518975 	 0.5165209331 	 260
0.6347388938 	 -0.5227291011 	 0.0039044335 	 0.8222768247 	 261
-0.6347388938 	 0.5227291011 	 0.0039044331 	 0.8222768247 	 262
0.1786834336 	 0.4865406982 	 -0.1470074778 	 0.5183142101 	 263
-0.1786834336 	 -0.4865406981 	 -0.1470074790 	 0.5183142101 	 264
-0.8025007497 	 0.3586999733 	 -0.0009515816 	 0.8790182729 	 265
0.8025007497 	 -0.3586999733 	 -0.0009515815 	 0.8790182729 	 266
0.1885806413 	 -0.5126076050 	 -0.1205327217 	 0.5461952169 	 267
-0.1885806413 	 0.5126076050 	 -0.1205327198 	 0.5461952169 	 268
-0.1194065680 	 0.4767718191 	 -0.1790257800 	 0.4914969949 	 269
0.1194065680 	 -0.4767718191 	 -0.1790257879 	 0.4914969949 	 270
0.1982932788 	 0.4451041369 	 -0.1446512650 	 0.4872760174 	 271
-0.1982932788 	 -0.4451041369 	 -0.1446512652 	 0.4872760174 	 272
0.3468671831 	 0.8305830831 	 0.0281240201 	 0.9001028278 	 273
-0.3468671831 	 -0.8305830831 	 0.0281240202 	 0.9001028278 	 274
0.2126718815 	 -0.5290477689 	 -0.0819155577 	 0.5701937135 	 275
-0.2126718815 	 0.5290477689 	 -0.0819155571 	 0.5701937135 	 276
0.3752745199 	 0.7971208858 	 0.0350308803 	 0.8810406755 	 277
-0.3752745199 	 -0.7971208858 	 0.0350308805 	 0.8810406755 	 278
0.0873609744 	 -0.7130265280 	 0.7511113814 	 0.7183583851 	 279
-0.0873609744 	 0.7130265280 	 0.7511114066 	 0.7183583851 	 280
0.8492870062 	 -0.1931313455 	 -0.0105572008 	 0.8709696524 	 281
-0.8492870062 	 0.1931313455 	 -0.0105572010 	 0.8709696524 	 282
0.1861705323 	 0.5140623516 	 -0.1196002720 	 0.5467353733 	 283
-0.1861705323 	 -0.5140623516 	 -0.1196002730 	 0.5467353733 	 284
-0.8155796509 	 0.4009379314 	 -0.0026149899 	 0.9088021742 	 285
0.8155796509 	 -0.4009379314 	 -0.0026149899 	 0.9088021742 	 286
-0.6731470339 	 0.7026858352 	 -0.0013212585 	 0.9730849461 	 287
0.6731470339 	 -0.7026858353 	 -0.0013212585 	 0.9730849461 	 288
-0.2577927207 	 -0.3690202086 	 -0.1057372685 	 0.4501477548 	 289
0.2577927207 	 0.3690202086 	 -0.1057372696 	 0.4501477548 	 290
0.8472541060 	 -0.2400290524 	 -0.0149704310 	 0.8805983569 	 291
-0.8472541060 	 0.2400290524 	 -0.0149704311 	 0.8805983569 	 292
-0.1449846379 	 -0.5736912427 	 -0.0674266724 	 0.5917281362 	 293
0.1449846379 	 0.5736912427 	 -0.0674266685 	 0.5917281362 	 294
0.0978096450 	 0.6715045349 	 0.4464050176 	 0.6785905003 	 295
-0.0978096450 	 -0.6715045349 	 0.4464050013 	 0.6785905003 	 296
0.0608453653 	 0.6856506961 	 0.0911588785 	 0.6883451427 	 297
-0.0608453653 	 -0.6856506961 	 0.0911588371 	 0.6883451427 	 298
-0.3571671486 	 -0.5249497961 	 -0.0338781691 	 0.6349335875 	 299
0.3571671486 	 0.5249497961 	 -0.0338781703 	 0.6349335875 	 300
0.0990918804 	 -0.4898769311 	 -0.1677487248 	 0.4997985678 	 301
-0.0990918804 	 0.4898769311 	 -0.1677487117 	 0.4997985678 	 302
-0.1167243305 	 0.4533931140 	 -0.1777570644 	 0.4681771942 	 303
0.1167243305 	 -0.4533931140 	 -0.1777570719 	 0.4681771942 	 304
-0.2312859545 	 -0.3820512726 	 -0.1201519022 	 0.4466053824 	 305
0.2312859545 	 0.3820512726 	 -0.1201519030 	 0.4466053824 	 306
0.1288579913 	 0.1787735851 	 -0.0060953055 	 0.2203732667 	 307
-0.1288579913 	 -0.1787735851 	 -0.0060953053 	 0.2203732667 	 308
-0.1673305481 	 -0.5576174191 	 -0.0767336791 	 0.5821827019 	 309
0.1673305481 	 0.5576174191 	 -0.0767336772 	 0.5821827019 	 310
0.1091561991 	 -0.6981276048 	 0.5658867429 	 0.7066096719 	 311
-0.1091561991 	 0.6981276048 	 0.5658867547 	 0.7066096719 	 312
0.2103923059 	 -0.6701519933 	 0.1994316144 	 0.7024020334 	 313
-0.2103923059 	 0.6701519933 	 0.1994316152 	 0.7024020334 	 314
-0.0985670594 	 -0.5329211609 	 -0.1578019101 	 0.5419598038 	 315
0.0985670594 	 0.5329211609 	 -0.1578018980 	 0.5419598038 	 316
-0.0725352936 	 0.3742629977 	 -0.0603703438 	 0.3812271767 	 317
0.0725352936 	 -0.3742629977 	 -0.0603703560 	 0.3812271767 	 318
-0.5457680770 	 0.2752084570 	 -0.0285017831 	 0.6112303074 	 319
0.5457680770 	 -0.2752084570 	 -0.0285017819 	 0.6112303074 	 320
0.1096269886 	 0.4781025776 	 -0.1781472038 	 0.4905100930 	 321
-0.1096269886 	 -0.4781025776 	 -0.1781472116 	 0.4905100930 	 322
0.2174835064 	 0.5552764727 	 -0.0449028189 	 0.5963480835 	 323
-0.2174835064 	 -0.5552764727 	 -0.0449028186 	 0.5963480835 	 324
-0.3034897016 	 -0.8161330410 	 0.0610483158 	 0.8707348274 	 325
0.3034897016 	 0.8161330410 	 0.0610483157 	 0.8707348274 	 326
0.5732755606 	 0.5807229187 	 -0.0053920490 	 0.8160171424 	 327
-0.5732755606 	 -0.5807229187 	 -0.0053920487 	 0.8160171424 	 328
-0.3868621658 	 -0.4802518091 	 -0.0433320946 	 0.6166880374 	 329
0.3868621658 	 0.4802518091 	 -0.0433320958 	 0.6166880374 	 330
-0.2737314241 	 -0.8432186903 	 0.0591873839 	 0.8865363231 	 331
0.2737314241 	 0.8432186903 	 0.0591873838 	 0.8865363231 	 332
0.0656279545 	 -0.7040756546 	 0.5512949628 	 0.7071276800 	 333
-0.0656279545 	 0.7040756546 	 0.5512949888 	 0.7071276800 	 334
-0.1923111017 	 -0.5707191007 	 -0.0301359383 	 0.6022489948 	 335
0.1923111017 	 0.5707191007 	 -0.0301359379 	 0.6022489948 	 336
0.1417398785 	 0.1984187200 	 -0.0117517753 	 0.2438445849 	 337
-0.1417398785 	 -0.1984187200 	 -0.0117517749 	 0.2438445849 	 338
0.1069163946 	 0.6486024485 	 0.2211637852 	 0.6573554987 	 339
-0.1069163946 	 -0.6486024485 	 0.2211637740 	 0.6573554987 	 340
0.4209260310 	 -0.0252911335 	 -0.0596026413 	 0.4216851491 	 341
-0.4209260310 	 0.0252911335 	 -0.0596026468 	 0.4216851491 	 342
-0.3879912778 	 -0.5149138591 	 -0.0335329960 	 0.6447274726 	 343
0.3879912778 	 0.5149138591 	 -0.0335329972 	 0.6447274726 	 344
0.5972854055 	 -0.5407447536 	 0.0013167718 	 0.8057013989 	 345
-0.5972854055 	 0.5407447536 	 0.0013167714 	 0.8057013989 	 346
0.2820987402 	 0.6834607744 	 0.1042639837 	 0.7393905121 	 347
-0.2820987402 	 -0.6834607744 	 0.1042639844 	 0.7393905121 	 348
-0.1070047180 	 -0.4041978729 	 -0.1552862694 	 0.4181219082 	 349
0.1070047180 	 0.4041978729 	 -0.1552862635 	 0.4181219082 	 350
0.0924731811 	 -0.6359928892 	 0.0236005072 	 0.6426805149 	 351
-0.0924731811 	 0.6359928892 	 0.0236005302 	 0.6426805149 	 352
-0.1211373370 	 -0.5374158238 	 -0.1496451458 	 0.5508992849 	 353
0.1211373370 	 0.5374158238 	 -0.1496451385 	 0.5508992849 	 354
-0.4149153777 	 -0.4625435222 	 -0.0411839753 	 0.6213704858 	 355
0.4149153777 	 0.4625435222 	 -0.0411839764 	 0.6213704858 	 356
-0.6824182318 	 0.6525861228 	 -0.0012223127 	 0.9442262922 	 357
0.6824182318 	 -0.6525861228 	 -0.0012223127 	 0.9442262922 	 358
-0.0733375487 	 -0.6667656279 	 0.2168268626 	 0.6707867012 	 359
0.0733375487 	 0.6667656279 	 0.2168268987 	 0.6707867012 	 360
-0.5742584418 	 0.2980404257 	 -0.0219710248 	 0.6469937043 	 361
0.5742584418 	 -0.2980404257 	 -0.0219710238 	 0.6469937043 	 362
-0.1517503427 	 -0.6606012827 	 0.3076448275 	 0.6778069203 	 363
0.1517503427 	 0.6606012827 	 0.3076448304 	 0.6778069203 	 364
-0.0614457086 	 0.3539391709 	 -0.0083740164 	 0.3592332276 	 365
0.0614457086 	 -0.3539391709 	 -0.0083740304 	 0.3592332276 	 366
0.6640176636 	 -0.5469132375 	 0.0097990870 	 0.8602520252 	 367
-0.6640176636 	 0.5469132375 	 0.0097990868 	 0.8602520252 	 368
-0.1084218930 	 -0.4522062145 	 -0.1771415147 	 0.4650223299 	 369
0.1084218930 	 0.4522062145 	 -0.1771415077 	 0.4650223299 	 370
0.5743680104 	 0.6230896736 	 -0.0026596927 	 0.8474310313 	 371
-0.5743680104 	 -0.6230896736 	 -0.0026596925 	 0.8474310313 	 372
-0.1320594567 	 -0.7078785986 	 0.6222277032 	 0.7200915292 	 373
0.1320594567 	 0.7078785986 	 0.6222277093 	 0.7200915292 	 374
-0.1769554056 	 -0.6451544149 	 0.1869747867 	 0.6689823874 	 375
0.1769554056 	 0.6451544149 	 0.1869747877 	 0.6689823874 	 376
-0.1075707514 	 0.2176489428 	 -0.0141976026 	 0.2427808247 	 377
0.1075707514 	 -0.2176489428 	 -0.0141976010 	 0.2427808247 	 378
0.2414585691 	 -0.5160681541 	 -0.0724170220 	 0.5697618628 	 379
-0.2414585691 	 0.5160681541 	 -0.0724170223 	 0.5697618628 	 380
-0.2262511748 	 -0.1214403138 	 -0.0099216024 	 0.2567826784 	 381
0.2262511748 	 0.1214403138 	 -0.0099216027 	 0.2567826784 	 382
0.3946557116 	 -0.0061772751 	 -0.1166279215 	 0.3947040530 	 383
-0.3946557116 	 0.0061772751 	 -0.1166279403 	 0.3947040530 	 384
0.2043257354 	 -0.8969597313 	 0.0665908207 	 0.9199379140 	 385
-0.2043257354 	 0.8969597313 	 0.0665908214 	 0.9199379140 	 386
0.2542881565 	 -0.7169872627 	 0.1762275283 	 0.7607451619 	 387
-0.2542881565 	 0.7169872627 	 0.1762275289 	 0.7607451619 	 388
-0.3725334467 	 0.1583817831 	 -0.0430111043 	 0.4048036044 	 389
0.3725334467 	 -0.1583817831 	 -0.0430111029 	 0.4048036044 	 390
-0.2398180071 	 -0.1015851985 	 -0.0107596226 	 0.2604462115 	 391
0.2398180071 	 0.1015851985 	 -0.0107596228 	 0.2604462115 	 392
-0.4758054532 	 0.3758568857 	 -0.0340653167 	 0.6063490973 	 393
0.4758054532 	 -0.3758568857 	 -0.0340653155 	 0.6063490973 	 394
0.1137233189 	 -0.6249480163 	 0.0220685038 	 0.6352110015 	 395
-0.1137233189 	 0.6249480163 	 0.0220685158 	 0.6352110015 	 396
0.1901392538 	 -0.6467667907 	 0.1583333207 	 0.6741366459 	 397
-0.1901392538 	 0.6467667907 	 0.1583333221 	 0.6741366459 	 398
0.2927561903 	 0.7137713188 	 0.1037172099 	 0.7714763007 	 399
-0.2927561903 	 -0.7137713188 	 0.1037172105 	 0.7714763007 	 400
-0.1066413089 	 -0.3797168017 	 -0.1415549586 	 0.3944074267 	 401
0.1066413089 	 0.3797168017 	 -0.1415549536 	 0.3944074267 	 402
0.5480782234 	 0.2984044264 	 -0.0272916523 	 0.6240472263 	 403
-0.5480782234 	 -0.2984044264 	 -0.0272916515 	 0.6240472263 	 404
0.2302789051 	 -0.1515990010 	 -0.0192071022 	 0.2757002562 	 405
-0.2302789051 	 0.1515990010 	 -0.0192071028 	 0.2757002562 	 406
0.2993280108 	 -0.8483305593 	 0.0443264660 	 0.8995899043 	 407
-0.2993280108 	 0.8483305593 	 0.0443264663 	 0.8995899043 	 408
-0.5715735900 	 -0.2394080219 	 -0.0230328762 	 0.6196874775 	 409
0.5715735900 	 0.2394080219 	 -0.0230328770 	 0.6196874775 	 410
0.2694711676 	 -0.1622168879 	 -0.0321761179 	 0.3145298538 	 411
-0.2694711676 	 0.1622168879 	 -0.0321761188 	 0.3145298538 	 412
0.2653541823 	 -0.5369277138 	 -0.0407103424 	 0.5989192032 	 413
-0.2653541823 	 0.5369277138 	 -0.0407103432 	 0.5989192032 	 414
-0.6211543809 	 0.7102168061 	 -0.0073399484 	 0.9435256630 	 415
0.6211543809 	 -0.7102168061 	 -0.0073399483 	 0.9435256630 	 416
-0.4123293331 	 -0.7943443135 	 0.0242932712 	 0.8949851213 	 417
0.4123293331 	 0.7943443135 	 0.0242932711 	 0.8949851213 	 418
0.2126444830 	 0.5260107684 	 -0.0858996263 	 0.5673667285 	 419
-0.2126444830 	 -0.5260107684 	 -0.0858996262 	 0.5673667285 	 420
0.1185178832 	 -0.8175474814 	 0.5086674271 	 0.8260934408 	 421
-0.1185178832 	 0.8175474814 	 0.5086674342 	 0.8260934408 	 422
-0.4419878779 	 0.3811475362 	 -0.0414306903 	 0.5836323574 	 423
0.4419878779 	 -0.3811475362 	 -0.0414306890 	 0.5836323574 	 424
-0.4037289868 	 0.1502693733 	 -0.0428560655 	 0.4307876267 	 425
0.4037289868 	 -0.1502693733 	 -0.0428560640 	 0.4307876267 	 426
0.2784292208 	 -0.8197536216 	 0.0932667643 	 0.8657475562 	 427
-0.2784292208 	 0.8197536216 	 0.0932667648 	 0.8657475562 	 428
-0.1629211927 	 0.1996680776 	 -0.0207145585 	 0.2577026508 	 429
0.1629211927 	 -0.1996680776 	 -0.0207145578 	 0.2577026508 	 430
-0.1065798815 	 -0.6960603021 	 0.6889055202 	 0.7041727169 	 431
0.1065798815 	 0.6960603021 	 0.6889055311 	 0.7041727169 	 432
0.2970653295 	 -0.0538419267 	 -0.0226958650 	 0.3019052219 	 433
-0.2970653295 	 0.0538419267 	 -0.0226958660 	 0.3019052219 	 434
0.1382695588 	 0.5178466324 	 -0.1561718145 	 0.5359884380 	 435
-0.1382695588 	 -0.5178466324 	 -0.1561718192 	 0.5359884379 	 436
-0.2242582672 	 0.9324814227 	 0.0219005907 	 0.9590690142 	 437
0.2242582672 	 -0.9324814227 	 0.0219005904 	 0.9590690142 	 438
0.2457787897 	 -0.1700912456 	 -0.0295181229 	 0.2988950406 	 439
-0.2457787897 	 0.1700912456 	 -0.0295181236 	 0.2988950406 	 440
-0.2613515120 	 -0.0038082482 	 -0.0081364930 	 0.2613792562 	 441
0.2613515120 	 0.0038082482 	 -0.0081364977 	 0.2613792562 	 442
0.0893570391 	 0.2489487371 	 -0.0299762048 	 0.2644998188 	 443
-0.0893570391 	 -0.2489487371 	 -0.0299762061 	 0.2644998188 	 444
-0.1757431697 	 0.1839032578 	 -0.0166932138 	 0.2543738782 	 445
0.1757431697 	 -0.1839032578 	 -0.0166932134 	 0.2543738782 	 446
0.1000733485 	 -0.5437338523 	 -0.1611857259 	 0.5528663286 	 447
-0.1000733485 	 0.5437338523 	 -0.1611857098 	 0.5528663286 	 448
-0.8688744401 	 -0.2013442653 	 0.0006760679 	 0.8918981477 	 449
0.8688744401 	 0.2013442653 	 0.0006760678 	 0.8918981477 	 450
0.2805368627 	 -0.7405907174 	 0.1401358092 	 0.7919441533 	 451
-0.2805368627 	 0.7405907174 	 0.1401358096 	 0.7919441533 	 452
0.0674985557 	 0.7061747303 	 0.6754258939 	 0.7093932652 	 453
-0.0674985557 	 -0.7061747303 	 0.6754258736 	 0.7093932652 	 454
0.2411764194 	 -0.6610051829 	 0.1371143191 	 0.7036291048 	 455
-0.2411764194 	 0.6610051829 	 0.1371143192 	 0.7036291048 	 456
0.1284707390 	 -0.8468818992 	 0.3457409578 	 0.8565708856 	 457
-0.1284707390 	 0.8468818992 	 0.3457409623 	 0.8565708856 	 458
-0.4461268312 	 -0.8120234347 	 0.0190093958 	 0.9265048343 	 459
0.4461268312 	 0.8120234347 	 0.0190093958 	 0.9265048343 	 460
0.2427925686 	 -0.0096612608 	 0.0193303356 	 0.2429847142 	 461
-0.2427925686 	 0.0096612608 	 0.0193303347 	 0.2429847142 	 462
0.7311154052 	 -0.2486363236 	 -0.0093653120 	 0.7722368530 	 463
-0.7311154052 	 0.2486363236 	 -0.0093653124 	 0.7722368530 	 464
-0.3946616641 	 0.7869347694 	 0.0229616091 	 0.8803545651 	 465
0.3946616640 	 -0.7869347694 	 0.0229616092 	 0.8803545651 	 466
-0.4068532703 	 -0.0455770195 	 -0.0168078926 	 0.4093981537 	 467
0.4068532702 	 0.0455770195 	 -0.0168078954 	 0.4093981537 	 468
0.2679096784 	 0.7681586880 	 0.1366923656 	 0.8135375626 	 469
-0.2679096784 	 -0.7681586880 	 0.1366923658 	 0.8135375626 	 470
-0.5589754049 	 -0.2071599905 	 -0.0248007101 	 0.5961281448 	 471
0.5589754049 	 0.2071599905 	 -0.0248007110 	 0.5961281448 	 472
-0.1556938864 	 -0.6905678943 	 0.4224723554 	 0.7079015489 	 473
0.1556938864 	 0.6905678943 	 0.4224723584 	 0.7079015489 	 474
0.0932428221 	 0.5906878243 	 -0.0842422411 	 0.5980019478 	 475
-0.0932428221 	 -0.5906878243 	 -0.0842422570 	 0.5980019478 	 476
0.1085174374 	 0.2434612095 	 -0.0348811749 	 0.2665509234 	 477
-0.1085174374 	 -0.2434612095 	 -0.0348811747 	 0.2665509234 	 478
0.0944821439 	 -0.3776062631 	 -0.1159296935 	 0.3892471778 	 479
-0.0944821439 	 0.3776062631 	 -0.1159296849 	 0.3892471778 	 480
-0.1305914606 	 0.2166830415 	 -0.0209881350 	 0.2529934190 	 481
0.1305914606 	 -0.2166830415 	 -0.0209881340 	 0.2529934190 	 482
-0.0965517653 	 0.4419818666 	 -0.1509028794 	 0.4524049224 	 483
0.0965517653 	 -0.4419818666 	 -0.1509028905 	 0.4524049224 	 484
-0.5440738619 	 -0.2630418570 	 -0.0275093402 	 0.6043239080 	 485
0.5440738619 	 0.2630418570 	 -0.0275093411 	 0.6043239080 	 486
0.2627112994 	 -0.3967127521 	 -0.1018701868 	 0.4758132349 	 487
-0.2627112994 	 0.3967127521 	 -0.1018701877 	 0.4758132349 	 488
0.2897217240 	 -0.1771748615 	 -0.0393040731 	 0.3396021333 	 489
-0.2897217240 	 0.1771748615 	 -0.0393040741 	 0.3396021333 	 490
0.4852493430 	 0.0372718343 	 -0.0154468859 	 0.4866786563 	 491
-0.4852493430 	 -0.0372718343 	 -0.0154468819 	 0.4866786563 	 492
-0.2468276846 	 0.0865218642 	 -0.0095230672 	 0.2615529371 	 493
0.2468276846 	 -0.0865218642 	 -0.0095230669 	 0.2615529371 	 494
-0.0945251496 	 0.2368817782 	 -0.0230477266 	 0.2550450563 	 495
0.0945251496 	 -0.2368817782 	 -0.0230477268 	 0.2550450563 	 496
-0.3686447012 	 0.8807667612 	 0.0000183572 	 0.9548031229 	 497
0.3686447012 	 -0.8807667612 	 0.0000183572 	 0.9548031229 	 498
0.2389130340 	 -0.3803597957 	 -0.1116115434 	 0.4491692465 	 499
-0.2389130340 	 0.3803597957 	 -0.1116115440 	 0.4491692465 	 500
-0.1284949007 	 -0.4154548268 	 -0.1715226306 	 0.4348719957 	 501
0.1284949007 	 0.4154548268 	 -0.1715226266 	 0.4348719957 	 502
-0.4326038944 	 0.8004655262 	 0.0131647319 	 0.9098852609 	 503
0.4326038944 	 -0.8004655262 	 0.0131647320 	 0.9098852609 	 504
-0.0608360914 	 0.2136798966 	 0.0004028357 	 0.2221713938 	 505
0.0608360914 	 -0.2136798966 	 0.0004028284 	 0.2221713938 	 506
0.4510639739 	 -0.0085542836 	 -0.1098491843 	 0.4511450812 	 507
-0.4510639739 	 0.0085542837 	 -0.1098492011 	 0.4511450812 	 508
-0.3190749471 	 0.0460650102 	 -0.0295092895 	 0.3223830129 	 509
0.3190749471 	 -0.0460650102 	 -0.0295092879 	 0.3223830129 	 510
0.8894451521 	 -0.1708813673 	 0.0066030616 	 0.9057113891 	 511
-0.8894451521 	 0.1708813673 	 0.0066030616 	 0.9057113891 	 512
-0.3862823963 	 -0.1860013240 	 -0.0415907674 	 0.4287313637 	 513
0.3862823963 	 0.1860013240 	 -0.0415907685 	 0.4287313637 	 514
0.4349216781 	 0.0521130185 	 -0.0210226640 	 0.4380326846 	 515
-0.4349216781 	 -0.0521130185 	 -0.0210226613 	 0.4380326846 	 516
-0.1116736925 	 0.6721137742 	 0.3722555401 	 0.6813280700 	 517
0.1116736925 	 -0.6721137742 	 0.3722555309 	 0.6813280700 	 518
-0.4386796116 	 0.1093762214 	 -0.0410593318 	 0.4521094551 	 519
0.4386796116 	 -0.1093762213 	 -0.0410593300 	 0.4521094551 	 520
-0.0739661450 	 0.1964191550 	 -0.0021649799 	 0.2098844327 	 521
0.0739661450 	 -0.1964191550 	 -0.0021649792 	 0.2098844327 	 522
0.4644942662 	 0.0910621672 	 -0.0281891618 	 0.4733362881 	 523
-0.4644942662 	 -0.0910621672 	 -0.0281891601 	 0.4733362881 	 524
-0.0614237287 	 0.6092307947 	 -0.0210167636 	 0.6123193902 	 525
0.0614237287 	 -0.6092307947 	 -0.0210168080 	 0.6123193902 	 526
-0.3680983996 	 -0.2336970023 	 -0.0509137771 	 0.4360168812 	 527
0.3680983996 	 0.2336970023 	 -0.0509137783 	 0.4360168812 	 528
0.4963161422 	 -0.3482664655 	 -0.0314237795 	 0.6063161255 	 529
-0.4963161422 	 0.3482664655 	 -0.0314237807 	 0.6063161255 	 530
0.1476417526 	 -0.3706874206 	 -0.1413427183 	 0.3990078332 	 531
-0.1476417526 	 0.3706874206 	 -0.1413427159 	 0.3990078332 	 532
-0.2248179802 	 0.0954928859 	 -0.0023625711 	 0.2442580919 	 533
0.2248179802 	 -0.0954928859 	 -0.0023625710 	 0.2442580919 	 534
0.2660956575 	 -0.3429145081 	 -0.0928124736 	 0.4340475306 	 535
-0.2660956575 	 0.3429145081 	 -0.0928124747 	 0.4340475306 	 536
-0.1658348469 	 -0.2219527267 	 -0.0366329303 	 0.2770635475 	 537
0.1658348469 	 0.2219527267 	 -0.0366329311 	 0.2770635475 	 538
0.7704618387 	 -0.2292603294 	 -0.0058743331 	 0.8038480848 	 539
-0.7704618387 	 0.2292603294 	 -0.0058743334 	 0.8038480848 	 540
0.1631338330 	 0.5304402508 	 -0.1225389161 	 0.5549590139 	 541
-0.1631338330 	 -0.5304402508 	 -0.1225389184 	 0.5549590139 	 542
-0.1265826962 	 -0.3432531459 	 -0.1270004658 	 0.3658495608 	 543
