Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_x	Time: 4.2250	Mesh (Number of cells): 5089
-0.6197499927 	 -0.5910256375 	 0.4883264619 	 0.4883264600 	 236
0.1527973173 	 0.6983163161 	 -0.3093097294 	 -0.3093097450 	 237
-0.0458982353 	 0.7043441383 	 -0.0164121689 	 -0.0164121693 	 238
-0.5418454861 	 0.2259388996 	 -0.0768930012 	 -0.0768929994 	 239
-0.1965276782 	 -0.8927420812 	 0.8179832581 	 0.8179832517 	 240
0.0937272790 	 0.6488849496 	 -0.0394332510 	 -0.0394332545 	 241
0.1302905186 	 0.6655221913 	 -0.1524051396 	 -0.1524051491 	 242
-0.1117115766 	 0.9055403548 	 -1.0298824038 	 -1.0298824285 	 243
0.7311613374 	 -0.5686622558 	 0.5303912202 	 0.5303912130 	 244
0.5767018919 	 -0.1690608778 	 0.0615984585 	 0.0615984621 	 245
0.3581616425 	 0.2349383260 	 -0.0111182754 	 -0.0111182840 	 246
-0.0724301266 	 0.3966322819 	 0.0002222618 	 0.0002222620 	 247
0.3499555447 	 0.1268039214 	 0.0072158611 	 0.0072158567 	 248
-0.5535344845 	 -0.7146771304 	 0.6420993685 	 0.6420993665 	 249
0.1114167834 	 -0.2018871790 	 -0.0263326775 	 -0.0263326889 	 250
-0.3683169461 	 0.2625510659 	 -0.0188784494 	 -0.0188784478 	 251
-0.4035364984 	 0.8204962950 	 -0.7843169937 	 -0.7843170073 	 252
0.3680453248 	 0.2517557850 	 -0.0195752126 	 -0.0195752215 	 253
-0.1488722492 	 -0.2985334984 	 -0.0516799270 	 -0.0516799391 	 254
-0.2640449262 	 0.1358147412 	 0.0204578301 	 0.0204578272 	 255
0.3169975847 	 -0.3001224838 	 0.0052724007 	 0.0052724056 	 256
-0.2762355872 	 0.1461390057 	 0.0200245066 	 0.0200245042 	 257
0.2460617047 	 0.0310098371 	 0.0048815242 	 0.0048815261 	 258
0.2772451050 	 -0.0718000394 	 -0.0152533977 	 -0.0152534013 	 259
0.2283971465 	 -0.6220793891 	 0.3039784943 	 0.3039784951 	 260
0.3417717649 	 0.1105385054 	 0.0087647092 	 0.0087647058 	 261
0.0533642986 	 0.9574522743 	 -1.0355149757 	 -1.0355149872 	 262
-0.1379110441 	 0.8974242456 	 -1.0037132158 	 -1.0037132403 	 263
0.2554834932 	 -0.6258864933 	 0.3216523968 	 0.3216523970 	 264
-0.2662418873 	 -0.0603301112 	 -0.0128947546 	 -0.0128947548 	 265
-0.7918529362 	 -0.4542928205 	 0.4156099124 	 0.4156099133 	 266
0.3666603037 	 -0.5542179611 	 0.2727651712 	 0.2727651743 	 267
0.1359244916 	 0.7282776877 	 -0.4243863090 	 -0.4243863289 	 268
-0.2374754240 	 0.8623964448 	 -0.8852109855 	 -0.8852110059 	 269
-0.0840154180 	 0.3976873144 	 0.0004068944 	 0.0004068947 	 270
0.3853649545 	 -0.5364950665 	 0.2602333325 	 0.2602333360 	 271
-0.0592237667 	 -0.5542543131 	 0.1526150188 	 0.1526150171 	 272
