time = 3.437	Re = 25	rotation = -2.1436
-0.425103	-0.275506	8099	
-0.424814	-0.275252	8099	
-0.391008	-0.239032	3494	
-0.376513	-0.216405	9630	
-0.367124	-0.195367	10251	
-0.364411	-0.170720	4970	
-0.372701	-0.174673	5998	
-0.382319	-0.171830	5998	
-0.388854	-0.172909	5998	
-0.397497	-0.184799	8381	
-0.407907	-0.184530	8872	
-0.426906	-0.205628	405	
-0.442132	-0.208787	720	
-0.456307	-0.219809	6964	
-0.475957	-0.235930	6904	
-0.491228	-0.239876	6912	
-0.512794	-0.246128	7396	
-0.521462	-0.242872	7396	
-0.536402	-0.242014	6722	
-0.566674	-0.242866	9576	
-0.581787	-0.233420	9576	
-0.603583	-0.222563	5890	
-0.632328	-0.208021	4624	
-0.644252	-0.193469	2688	
-0.661358	-0.174752	7233	
-0.678297	-0.152236	7388	
-0.703205	-0.118982	4337	
-0.726017	-0.088381	8761	
-0.749259	-0.040916	8259	
-0.765543	-0.007164	4595	
-0.789240	0.031762	7659	
-0.811264	0.063482	997	
-0.834271	0.105485	2163	
-0.850048	0.166801	9518	
-0.851975	0.228314	8280	
-0.847136	0.262653	761	
-0.841303	0.297010	8242	
-0.832652	0.327853	7917	
-0.823905	0.358592	8364	
-0.809365	0.395468	7524	
-0.793847	0.432548	6164	
-0.777329	0.465723	8112	
-0.760076	0.499374	7984	
-0.734543	0.541015	7468	
-0.706493	0.583120	1608	
-0.686230	0.607843	1418	
-0.666206	0.632546	2798	
-0.645262	0.655804	3669	
-0.624361	0.678963	8367	
-0.596839	0.704479	10214	
-0.568885	0.729646	6761	
-0.540638	0.752071	9817	
-0.512557	0.773944	1631	
-0.481440	0.794099	5195	
-0.450478	0.813527	792	
-0.420717	0.829554	8352	
-0.390896	0.845242	7082	
-0.354301	0.861106	6218	
-0.318688	0.875584	988	
-0.283371	0.887435	8216	
-0.249958	0.898258	9590	
-0.216946	0.905871	9900	
-0.184861	0.913018	8939	
-0.153843	0.917963	6161	
-0.124443	0.922623	1772	
-0.093600	0.924951	8769	
-0.064236	0.927485	6244	
-0.036176	0.928070	8949	
-0.008878	0.929172	1245	
0.016735	0.927906	9703	
0.041517	0.927552	6206	
0.088850	0.924045	9056	
0.111957	0.920342	9783	
0.134722	0.917718	9491	
0.177759	0.910644	9741	
0.216107	0.901296	9251	
0.251999	0.891927	7790	
0.284843	0.880556	6817	
0.315205	0.869537	6137	
0.345046	0.856681	462	
