time = 6	Re = 0.1
0.185797	0.075142	0
0.217703	0.081584	1
0.249385	0.087760	2
0.279419	0.093772	3
0.309383	0.099792	4
0.359183	0.114297	5
0.400097	0.132011	6
0.418425	0.156215	7
0.435197	0.181463	8
0.427077	0.213178	9
0.417721	0.245513	10
0.392912	0.277351	11
0.365949	0.309057	12
0.330814	0.337682	13
0.294790	0.366521	14
0.253513	0.395252	15
0.209908	0.430292	16
0.185558	0.452446	17
0.161850	0.478391	18
0.135595	0.513348	19
0.107788	0.561727	20
0.089900	0.599879	21
0.070958	0.645351	22
0.060784	0.675147	23
0.035229	0.701714	24
-0.012381	0.695566	25
-0.041892	0.700427	26
-0.062074	0.691252	27
-0.039197	0.688342	28
-0.083298	0.668409	29
-0.111386	0.657109	30
-0.139369	0.645863	31
-0.165434	0.630585	32
-0.214838	0.611833	33
-0.213209	0.607994	34
-0.249083	0.594343	35
-0.283822	0.580152	36
-0.286301	0.574804	37
-0.338202	0.550021	38
-0.369949	0.531685	39
-0.400948	0.512608	40
-0.443849	0.480411	41
-0.467968	0.460825	42
-0.492237	0.440996	43
-0.526562	0.408011	44
-0.550783	0.384228	45
-0.575545	0.359543	46
-0.596150	0.333729	47
-0.616728	0.309452	48
-0.637789	0.284684	49
-0.662034	0.251687	50
-0.682267	0.224581	51
-0.703078	0.195977	52
-0.731730	0.149900	53
-0.745968	0.121319	54
-0.759338	0.091959	55
-0.767952	0.058185	56
-0.774312	0.025109	57
-0.775995	-0.010827	58
-0.776371	-0.045480	59
-0.771980	-0.074916	60
-0.767797	-0.104559	61
-0.759715	-0.131600	62
-0.753190	-0.159423	63
-0.743965	-0.184115	64
-0.736622	-0.210948	65
-0.727245	-0.234930	66
-0.719201	-0.261825	67
-0.703675	-0.301643	68
-0.687423	-0.342056	69
-0.668053	-0.385437	70
-0.646820	-0.429856	71
-0.627064	-0.464999	72
-0.605581	-0.501534	73
-0.579750	-0.540399	74
-0.551195	-0.579908	75
-0.525472	-0.610760	76
-0.497574	-0.642618	77
-0.468035	-0.672114	78
-0.435589	-0.702821	79
-0.403577	-0.729519	80
-0.368192	-0.757462	81
-0.332561	-0.781918	82
-0.292575	-0.807625	83
-0.256022	-0.827583	84
-0.213681	-0.848912	85
-0.171470	-0.865938	86
-0.122794	-0.882521	87
-0.077562	-0.893709	88
-0.029964	-0.902635	89
0.017112	-0.907854	90
0.065242	-0.910779	91
0.108925	-0.910511	92
0.152460	-0.908735	93
0.195421	-0.904522	94
0.238393	-0.899082	95
0.277148	-0.892284	96
0.315614	-0.885146	97
0.352091	-0.876588	98
0.389008	-0.867425	99
0.423006	-0.857639	100
0.455344	-0.848859	101
0.510127	-0.832263	102
0.546675	-0.824171	103
0.580282	-0.817255	104
