time = 7	Re = 0.1
0.188051	0.068178	0
0.228757	0.076368	1
0.267439	0.082539	2
0.303380	0.088561	3
0.338413	0.094769	4
0.394761	0.110470	5
0.437419	0.130660	6
0.452765	0.158294	7
0.462229	0.189641	8
0.446861	0.224525	9
0.428946	0.259959	10
0.399111	0.289015	11
0.367719	0.316305	12
0.330770	0.336982	13
0.293170	0.357553	14
0.251428	0.376810	15
0.206285	0.403617	16
0.180752	0.422667	17
0.155890	0.446955	18
0.128280	0.482702	19
0.113544	0.509926	20
0.099101	0.537413	21
0.080957	0.584162	22
0.070544	0.616702	23
0.060507	0.651126	24
0.051323	0.681616	25
0.017807	0.689648	26
-0.011604	0.699364	27
-0.041481	0.690876	28
-0.065666	0.681260	29
-0.039165	0.688212	30
-0.038192	0.687222	31
-0.067600	0.669209	32
-0.101184	0.653845	33
-0.068715	0.669906	34
-0.038783	0.688052	35
-0.081105	0.658039	36
-0.130655	0.635967	37
-0.182838	0.615521	38
-0.226304	0.597293	39
-0.258576	0.579323	40
-0.291630	0.563359	41
-0.323805	0.546847	42
-0.317812	0.546514	43
-0.361857	0.521711	44
-0.401858	0.496301	45
-0.401129	0.492969	46
-0.428778	0.472540	47
-0.456261	0.451489	48
-0.487188	0.423678	49
-0.516741	0.395183	50
-0.554596	0.351936	51
-0.575861	0.326228	52
-0.598135	0.299348	53
-0.628656	0.258054	54
-0.652000	0.226983	55
-0.678000	0.192657	56
-0.698971	0.159817	57
-0.722831	0.122281	58
-0.745916	0.073316	59
-0.751935	0.038512	60
-0.756035	0.005880	61
-0.754894	-0.049918	62
-0.744212	-0.102897	63
-0.732707	-0.134569	64
-0.722594	-0.164273	65
-0.710572	-0.192964	66
-0.700087	-0.221906	67
-0.688410	-0.246911	68
-0.677826	-0.274777	69
-0.665546	-0.300596	70
-0.653644	-0.329261	71
-0.642417	-0.349106	72
-0.630638	-0.375626	73
-0.618247	-0.395744	74
-0.604597	-0.422934	75
-0.590874	-0.443193	76
-0.575104	-0.470638	77
-0.559586	-0.491613	78
-0.541263	-0.518894	79
-0.511498	-0.555352	80
-0.478563	-0.592419	81
-0.439950	-0.630914	82
-0.396580	-0.670019	83
-0.359068	-0.699253	84
-0.316635	-0.730156	85
-0.266566	-0.762009	86
-0.238139	-0.778054	87
-0.208986	-0.793937	88
-0.157768	-0.816108	89
-0.128079	-0.826110	90
-0.098237	-0.835708	91
-0.067796	-0.841698	92
-0.037462	-0.847497	93
-0.003948	-0.850638	94
0.029171	-0.853160	95
0.088657	-0.851446	96
0.119594	-0.847906	97
0.150085	-0.844585	98
0.203847	-0.834138	99
0.231377	-0.827164	100
0.259305	-0.820974	101
0.303542	-0.807790	102
0.352263	-0.792315	103
0.395605	-0.776117	104
0.443067	-0.756768	105
0.483151	-0.737403	106
0.524322	-0.716003	107
0.562831	-0.693152	108
0.602292	-0.667956	109
0.636644	-0.642975	110
0.671905	-0.615915	111
0.705616	-0.586672	112
0.739560	-0.554794	113
0.768989	-0.523647	114
0.798748	-0.490289	115
0.825441	-0.456784	116
0.852202	-0.420605	117
0.874996	-0.385998	118
0.898298	-0.349136	119
0.916869	-0.317514	120
0.934879	-0.285335	121
0.959287	-0.242712	122
0.981224	-0.204415	123
