time = 1.3	Re = 0.1
0.156293	0.124159	0
0.202217	0.152628	1
0.245204	0.183657	2
0.282326	0.218889	3
0.311179	0.260129	4
0.329769	0.309123	5
0.337931	0.366720	6
0.336879	0.399576	7
0.335086	0.433094	8
0.328648	0.469831	9
0.320759	0.507566	10
0.308220	0.547649	11
0.293261	0.588760	12
0.273219	0.631250	13
0.249346	0.674339	14
0.219194	0.717090	15
0.183457	0.758308	16
0.141335	0.795231	17
0.095640	0.826708	18
0.049114	0.852074	19
0.003625	0.873618	20
-0.040089	0.892085	21
-0.081547	0.909350	22
-0.121361	0.925387	23
-0.158685	0.941654	24
-0.182831	0.960147	25
-0.206424	0.978713	26
