time = 3.7	Re = 0.1
0.176115	0.094433	0
0.213985	0.106332	1
0.251891	0.118404	2
0.285763	0.132386	3
0.317554	0.147301	4
0.358900	0.186008	5
0.370182	0.237553	6
0.361661	0.269272	7
0.352067	0.301732	8
0.331808	0.338547	9
0.309673	0.376904	10
0.280342	0.418287	11
0.247838	0.463553	12
0.228441	0.489036	13
0.209104	0.515197	14
0.187040	0.545373	15
0.164175	0.578369	16
0.136049	0.618144	17
0.118844	0.642897	18
0.101651	0.667707	19
0.068659	0.704513	20
0.039030	0.711714	21
0.009923	0.719508	22
-0.047990	0.721294	23
-0.095855	0.708079	24
-0.131043	0.691076	25
-0.166050	0.678331	26
-0.196185	0.666030	27
-0.234722	0.655013	28
-0.258535	0.643869	29
-0.295860	0.631766	30
-0.322057	0.620332	31
-0.358522	0.607406	32
-0.386356	0.594597	33
-0.414222	0.581658	34
-0.441481	0.567409	35
-0.468788	0.553020	36
-0.517898	0.523144	37
-0.543104	0.506347	38
-0.568333	0.489502	39
-0.610104	0.456275	40
-0.655631	0.417447	41
-0.694051	0.379421	42
-0.714976	0.356698	43
-0.735970	0.333786	44
-0.770799	0.289475	45
-0.787654	0.264404	46
-0.804512	0.239296	47
-0.819341	0.212667	48
-0.834125	0.185961	49
-0.847077	0.156898	50
-0.859711	0.127730	51
-0.869107	0.098617	52
-0.878357	0.069462	53
-0.885183	0.039114	54
-0.892109	0.008916	55
-0.900425	-0.049209	56
-0.905306	-0.106304	57
-0.906615	-0.159645	58
-0.906183	-0.212425	59
-0.903748	-0.261582	60
-0.900283	-0.309492	61
-0.897773	-0.350197	62
-0.896679	-0.386824	63
-0.897033	-0.443347	64
