time = 0.7	Re = 0.1
0.149520	0.132592	0
0.190396	0.163489	1
0.229435	0.196138	2
0.265549	0.231243	3
0.297555	0.269817	4
0.324233	0.312971	5
0.345435	0.361093	6
0.360531	0.414586	7
0.369622	0.472859	8
0.371253	0.503849	9
0.372688	0.534922	10
0.371329	0.567128	11
0.369538	0.599434	12
0.365192	0.632131	13
0.360254	0.664821	14
0.353090	0.697349	15
0.345360	0.729705	16
0.335750	0.761357	17
0.325758	0.792704	18
0.314399	0.823117	19
0.302894	0.853277	20
0.290591	0.882558	21
0.278492	0.911650	22
0.262342	0.965497	23
