time = 3.5	Re = 0.1
0.174859	0.096600	0
0.211161	0.108502	1
0.247476	0.120616	2
0.280037	0.134664	3
0.310920	0.149493	4
0.352113	0.187678	5
0.365307	0.238305	6
0.358258	0.269747	7
0.350352	0.301807	8
0.331944	0.338561	9
0.311718	0.376871	10
0.284154	0.418509	11
0.253429	0.463799	12
0.234855	0.489194	13
0.216338	0.515003	14
0.195127	0.544539	15
0.173154	0.576263	16
0.146228	0.613736	17
0.114733	0.658228	18
0.090096	0.688472	19
0.049743	0.717994	20
-0.006657	0.722473	21
-0.056315	0.724981	22
-0.099693	0.709992	23
-0.134538	0.697015	24
-0.164166	0.684689	25
-0.200167	0.674900	26
-0.223674	0.664137	27
-0.258951	0.653883	28
-0.284465	0.643669	29
-0.319178	0.633244	30
-0.373437	0.611499	31
-0.427068	0.587635	32
-0.475747	0.562510	33
-0.525870	0.534447	34
-0.567903	0.506162	35
-0.613651	0.473575	36
-0.652554	0.441395	37
-0.695088	0.403312	38
-0.730966	0.366461	39
-0.766491	0.325248	40
-0.799246	0.281923	41
-0.830040	0.234659	42
-0.856204	0.186114	43
-0.879542	0.133919	44
-0.897647	0.081211	45
-0.912219	0.027170	46
-0.922444	-0.024894	47
-0.930134	-0.077105	48
-0.934816	-0.126179	49
-0.938039	-0.173938	50
-0.941022	-0.213530	51
-0.944999	-0.248901	52
-0.954976	-0.300199	53
