time = 6.1	Re = 0.1
0.186077	0.074418	0
0.218756	0.081002	1
0.251104	0.087177	2
0.281708	0.093187	3
0.312187	0.099220	4
0.362665	0.113813	5
0.403850	0.131721	6
0.421986	0.156198	7
0.438176	0.181964	8
0.429377	0.213964	9
0.419180	0.246635	10
0.393777	0.278298	11
0.366269	0.309673	12
0.330798	0.337619	13
0.294485	0.365725	14
0.253061	0.393566	15
0.209216	0.427862	16
0.184768	0.449729	17
0.160961	0.475535	18
0.134586	0.510606	19
0.106642	0.559658	20
0.088750	0.598669	21
0.069594	0.645937	22
0.059988	0.677730	23
0.022098	0.700461	24
-0.022948	0.695080	25
-0.053064	0.697202	26
-0.067208	0.686095	27
-0.039226	0.688267	28
-0.087194	0.665087	29
-0.117714	0.652875	30
-0.147177	0.641177	31
-0.173820	0.625876	32
-0.225180	0.606071	33
-0.223108	0.602559	34
-0.260046	0.588007	35
-0.295666	0.572827	36
-0.297800	0.567675	37
-0.350539	0.541348	38
-0.382473	0.522064	39
-0.413552	0.502005	40
-0.456180	0.468531	41
-0.480084	0.448214	42
-0.504208	0.427568	43
-0.538084	0.393546	44
-0.562088	0.368982	45
-0.586736	0.343383	46
-0.607044	0.317023	47
-0.627564	0.292043	48
-0.648718	0.266289	49
-0.673138	0.232203	50
-0.693689	0.203703	51
-0.714991	0.173017	52
-0.743706	0.122383	53
-0.756653	0.090301	54
-0.767020	0.057137	55
-0.771452	0.021767	56
-0.774469	-0.012218	57
-0.772841	-0.048251	58
-0.769532	-0.082604	59
-0.762388	-0.110293	60
-0.756230	-0.138346	61
-0.747090	-0.163424	62
-0.739847	-0.190273	63
-0.730272	-0.213837	64
-0.722435	-0.240399	65
-0.712681	-0.263806	66
-0.704010	-0.290767	67
-0.687546	-0.330321	68
-0.670092	-0.370631	69
-0.649197	-0.413820	70
-0.626095	-0.458030	71
-0.604747	-0.492779	72
-0.581387	-0.528940	73
-0.553432	-0.567256	74
-0.522509	-0.606164	75
-0.494893	-0.636368	76
-0.464847	-0.667585	77
-0.433243	-0.696339	78
-0.398349	-0.726272	79
-0.364037	-0.752169	80
-0.325867	-0.779233	81
-0.287420	-0.802744	82
-0.244041	-0.827235	83
-0.204484	-0.845481	84
-0.158129	-0.864228	85
-0.112395	-0.878267	86
-0.060367	-0.890830	87
-0.013023	-0.897802	88
0.035987	-0.902252	89
0.083547	-0.903242	90
0.131405	-0.902052	91
0.174254	-0.898286	92
0.216864	-0.893371	93
0.258741	-0.886422	94
0.300739	-0.878422	95
0.338587	-0.869330	96
0.376521	-0.859808	97
0.412743	-0.849148	98
0.449051	-0.837776	99
0.482112	-0.825217	100
0.514294	-0.813702	101
0.568950	-0.793456	102
0.605590	-0.781913	103
0.639984	-0.771748	104
