time = 2	Re = 0.1
0.163612	0.114410	0
0.216161	0.140958	1
0.264719	0.170744	2
0.303243	0.206505	3
0.328005	0.250693	4
0.336579	0.305421	5
0.333128	0.338341	6
0.329153	0.371812	7
0.318597	0.409758	8
0.305996	0.449519	9
0.287596	0.492987	10
0.265745	0.539081	11
0.237132	0.588992	12
0.219507	0.615756	13
0.201599	0.642740	14
0.178346	0.671575	15
0.152555	0.700975	16
0.118669	0.730158	17
0.077945	0.755413	18
0.031272	0.770915	19
-0.014092	0.781046	20
-0.058511	0.785346	21
-0.100560	0.786988	22
-0.138372	0.784677	23
-0.175267	0.783500	24
-0.208487	0.780956	25
-0.242754	0.779923	26
-0.273716	0.778126	27
-0.305215	0.776333	28
-0.335458	0.774674	29
-0.365693	0.772955	30
-0.423465	0.768429	31
-0.479670	0.762622	32
-0.534584	0.754833	33
-0.587764	0.746120	34
-0.630279	0.745235	35
-0.670250	0.743859	36
