time = 1.5	Re = 0.1
0.158481	0.121316	0
0.206195	0.149170	1
0.250644	0.179782	2
0.288148	0.215131	3
0.315914	0.257204	4
0.331660	0.307994	5
0.333560	0.338142	6
0.335406	0.368350	7
0.331573	0.402878	8
0.326632	0.438382	9
0.316641	0.477279	10
0.304630	0.517550	11
0.287372	0.560450	12
0.266664	0.604841	13
0.239673	0.651020	14
0.206442	0.698116	15
0.185246	0.721067	16
0.163571	0.743841	17
0.137617	0.764515	18
0.110833	0.784264	19
0.081177	0.799519	20
0.051693	0.814015	21
0.022289	0.824701	22
-0.006998	0.835404	23
-0.062801	0.850629	24
-0.115036	0.862970	25
-0.163779	0.873639	26
-0.209846	0.884311	27
-0.254066	0.894469	28
-0.296092	0.905389	29
-0.325856	0.920477	30
-0.353835	0.935820	31
