time = 4	Re = 0.1
0.177703	0.091409	0
0.218258	0.103260	1
0.258692	0.115285	2
0.294545	0.129214	3
0.327680	0.144301	4
0.369129	0.183858	5
0.377406	0.236811	6
0.366651	0.268881	7
0.354556	0.301805	8
0.331616	0.338505	9
0.306893	0.376563	10
0.275053	0.417350	11
0.240147	0.462295	12
0.219688	0.487774	13
0.199289	0.514339	14
0.176239	0.545343	15
0.152053	0.580421	16
0.122451	0.623996	17
0.103561	0.652624	18
0.083040	0.683750	19
0.050632	0.708120	20
0.015637	0.714650	21
-0.011933	0.711897	22
-0.048814	0.718385	23
-0.075492	0.705154	24
-0.099677	0.697311	25
-0.138974	0.681196	26
-0.173168	0.665494	27
-0.211028	0.651943	28
-0.242964	0.638777	29
-0.285417	0.624925	30
-0.309759	0.612602	31
-0.349759	0.596895	32
-0.376714	0.583106	33
-0.415182	0.565737	34
-0.443618	0.549668	35
-0.472105	0.533091	36
-0.499664	0.515212	37
-0.527252	0.496762	38
-0.551703	0.478123	39
-0.576228	0.459323	40
-0.601248	0.438323	41
-0.626470	0.416797	42
-0.667482	0.375667	43
-0.689864	0.351412	44
-0.712387	0.326459	45
-0.731090	0.302347	46
-0.749801	0.278077	47
-0.769846	0.248669	48
-0.789756	0.217826	49
-0.805381	0.188367	50
-0.820546	0.158230	51
-0.833807	0.124585	52
-0.845774	0.090243	53
-0.854318	0.055488	54
-0.861840	0.020865	55
-0.866396	-0.014440	56
-0.870286	-0.049121	57
-0.871145	-0.081402	58
-0.872074	-0.113259	59
-0.870772	-0.144574	60
-0.869955	-0.175697	61
-0.864827	-0.233273	62
-0.857989	-0.289285	63
-0.849182	-0.341286	64
-0.838764	-0.393478	65
-0.826744	-0.442340	66
-0.813549	-0.490313	67
-0.801343	-0.532933	68
-0.791319	-0.571181	69
-0.784313	-0.621872	70
