time = 1.15	Re = 0.1
0.154614	0.126308	0
0.199250	0.155276	1
0.241179	0.186659	2
0.278009	0.221840	3
0.307683	0.262429	4
0.328364	0.310021	5
0.339822	0.365414	6
0.340857	0.396925	7
0.341483	0.428811	8
0.337752	0.463813	9
0.332974	0.499544	10
0.323982	0.537488	11
0.313221	0.576143	12
0.298112	0.616044	13
0.280330	0.656392	14
0.257811	0.696652	15
0.231712	0.736234	16
0.200831	0.773796	17
0.166835	0.808694	18
0.130219	0.839356	19
0.093010	0.866847	20
0.055896	0.891118	21
0.020009	0.913640	22
-0.015081	0.934383	23
-0.048037	0.954716	24
-0.088383	0.996517	25
