time = 1.45	Re = 0.1
0.157939	0.122024	0
0.205203	0.150027	1
0.249276	0.180737	2
0.286681	0.216054	3
0.314725	0.257918	4
0.331185	0.308269	5
0.336037	0.367955	6
0.332899	0.402078	7
0.328747	0.437097	8
0.319628	0.475478	9
0.308615	0.515137	10
0.292555	0.557328	11
0.273288	0.600887	12
0.248118	0.646122	13
0.217354	0.692165	14
0.178080	0.737251	15
0.154315	0.758020	16
0.130075	0.778444	17
0.102572	0.794935	18
0.075004	0.810877	19
0.046987	0.822998	20
0.019032	0.835125	21
-0.034965	0.853025	22
-0.086025	0.867663	23
-0.133843	0.880152	24
-0.178893	0.892341	25
-0.222071	0.903871	26
-0.262953	0.916133	27
-0.291203	0.932192	28
-0.317575	0.948518	29
