time = 1.35	Re = 0.1
0.156845	0.123446	0
0.203207	0.151755	1
0.246556	0.182675	2
0.283771	0.217932	3
0.312357	0.259381	4
0.330240	0.308833	5
0.337300	0.367140	6
0.335552	0.400427	7
0.332974	0.434453	8
0.325630	0.471755	9
0.316694	0.510143	10
0.302976	0.550931	11
0.286595	0.592855	12
0.264880	0.636239	13
0.238788	0.680288	14
0.205826	0.723848	15
0.166335	0.765322	16
0.119967	0.801318	17
0.070515	0.830744	18
0.021188	0.853749	19
-0.026495	0.873033	20
-0.071863	0.889483	21
-0.114678	0.905002	22
-0.155678	0.919465	23
-0.194252	0.934349	24
-0.219762	0.952070	25
-0.244126	0.969947	26
