time = 5	Re = 0.1
0.182252	0.082502	0
0.233130	0.094520	1
0.282791	0.106505	2
0.325626	0.120446	3
0.363029	0.136520	4
0.403173	0.179910	5
0.399731	0.238019	6
0.381604	0.270695	7
0.361432	0.304096	8
0.331103	0.338205	9
0.299494	0.373016	10
0.261269	0.409425	11
0.220819	0.450774	12
0.197821	0.475289	13
0.175306	0.502115	14
0.150239	0.535480	15
0.123595	0.577354	16
0.106857	0.606713	17
0.089769	0.637812	18
0.075958	0.665002	19
0.060780	0.692500	20
0.027938	0.688540	21
-0.008118	0.701510	22
-0.061833	0.704522	23
-0.090465	0.680630	24
-0.120720	0.667894	25
-0.124991	0.659404	26
-0.170996	0.645689	27
-0.177154	0.637670	28
-0.216057	0.625113	29
-0.269393	0.603806	30
-0.310648	0.583365	31
-0.358068	0.559724	32
-0.394336	0.538108	33
-0.444610	0.508373	34
-0.468552	0.489198	35
-0.512035	0.457117	36
-0.538231	0.433503	37
-0.578078	0.398447	38
-0.605438	0.370228	39
-0.633198	0.340215	40
-0.659493	0.309073	41
-0.686454	0.275454	42
-0.709925	0.242879	43
-0.734128	0.206922	44
-0.758408	0.165363	45
-0.781379	0.117275	46
-0.795391	0.072246	47
-0.804633	0.024567	48
-0.808604	-0.028836	49
-0.807359	-0.082041	50
-0.801679	-0.125255	51
-0.794606	-0.166558	52
-0.784768	-0.209910	53
-0.774433	-0.252571	54
-0.764110	-0.287419	55
-0.753958	-0.322271	56
-0.742013	-0.356444	57
-0.729860	-0.391290	58
-0.716803	-0.423408	59
-0.703434	-0.456496	60
-0.688559	-0.487553	61
-0.673078	-0.519823	62
-0.657205	-0.547360	63
-0.640365	-0.577044	64
-0.622339	-0.604458	65
-0.602857	-0.633890	66
-0.583127	-0.659730	67
-0.562766	-0.685810	68
-0.540949	-0.710826	69
-0.518424	-0.736071	70
-0.495625	-0.758606	71
-0.472375	-0.781149	72
-0.447091	-0.803059	73
-0.421060	-0.824945	74
-0.394990	-0.844283	75
-0.368434	-0.863581	76
-0.340833	-0.881328	77
-0.312708	-0.899155	78
-0.285702	-0.914400	79
-0.258718	-0.929785	80
-0.211041	-0.954655	81
-0.179847	-0.972222	82
-0.149556	-0.989082	83
