time = 3	Re = 0.1
0.171477	0.102235	0
0.204104	0.114315	1
0.236720	0.126654	2
0.266186	0.140926	3
0.294831	0.155603	4
0.335342	0.192755	5
0.352871	0.241190	6
0.349539	0.271681	7
0.345903	0.302421	8
0.332311	0.338553	9
0.317182	0.376112	10
0.294567	0.417658	11
0.268963	0.462240	12
0.236862	0.511760	13
0.218284	0.539477	14
0.199209	0.568118	15
0.175747	0.600647	16
0.150174	0.636159	17
0.116085	0.678456	18
0.089988	0.703208	19
0.056656	0.724844	20
0.011859	0.731373	21
-0.027295	0.736394	22
-0.066698	0.733813	23
-0.103293	0.727531	24
-0.129843	0.716581	25
-0.160999	0.708835	26
-0.185331	0.700106	27
-0.215034	0.693877	28
-0.264487	0.679133	29
-0.313961	0.664807	30
-0.359782	0.649772	31
-0.406981	0.633885	32
-0.448089	0.616893	33
-0.492526	0.598237	34
-0.531393	0.578974	35
-0.573907	0.556794	36
-0.610644	0.534883	37
-0.647822	0.510516	38
-0.683112	0.485100	39
-0.717855	0.457769	40
-0.749909	0.429649	41
-0.781623	0.399532	42
-0.811068	0.368293	43
-0.839882	0.335223	44
-0.865813	0.301126	45
-0.890967	0.265134	46
-0.913318	0.228643	47
-0.934402	0.191130	48
-0.952322	0.160307	49
-0.969502	0.130787	50
-0.996943	0.086423	51
