time = 1	Re = 0.1
0.152903	0.128471	0
0.196295	0.157980	1
0.237206	0.189743	2
0.273782	0.224885	3
0.304251	0.264805	4
0.326971	0.310964	5
0.341707	0.364038	6
0.344822	0.394132	7
0.347871	0.424288	8
0.346846	0.457474	9
0.345219	0.491080	10
0.339797	0.526800	11
0.333166	0.562996	12
0.322787	0.600371	13
0.310696	0.638049	14
0.294794	0.675819	15
0.276661	0.713322	16
0.254940	0.749737	17
0.231136	0.785044	18
0.204819	0.817950	19
0.177389	0.848916	20
0.148839	0.877343	21
0.120441	0.904264	22
0.091886	0.929450	23
0.064816	0.953779	24
0.030827	0.999889	25
