Time	U_x	U_y	P	Max.Res.	Omega_1(Wall)
0.007	-1.577791211e-05	1.330543115e-05	-0.02319287064	4.233834404	1
0.0071	-1.538070823e-05	1.29345568e-05	-0.02318848591	2.285528574	1
0.0072	-1.499345848e-05	1.257556917e-05	-0.02319037169	1.344401014	1
0.0073	-1.461841047e-05	1.222971454e-05	-0.0232014646	1.29696424	1
0.0074	-1.425637528e-05	1.189752134e-05	-0.02322398546	1.261696162	1
0.0075	-1.390713662e-05	1.15789262e-05	-0.02326053304	0.6325326155	1
0.0076	-1.357117901e-05	1.127396522e-05	-0.02331300094	0.6800394659	1
0.0077	-1.324882363e-05	1.098263698e-05	-0.02338263939	1.353079448	1
0.0078	-1.294026097e-05	1.070486833e-05	-0.02347012057	0.4319740743	1
0.0079	-1.264556632e-05	1.044050413e-05	-0.02357558604	0.5399029812	1
0.008	-1.236471063e-05	1.01893212e-05	-0.02369868793	0.4554474737	1
0.0081	-1.209757004e-05	9.95103635e-06	-0.02383863159	0.9255731343	1
0.0082	-1.1844175e-05	9.725874002e-06	-0.02399880078	36.30240501	1
0.0083	-1.160452006e-05	9.513550682e-06	-0.02417926574	1.222826562	1
0.0084	-1.13780085e-05	9.313043203e-06	-0.02437378107	2.470111753	1
0.0085	-1.116617892e-05	9.126755808e-06	-0.02460013582	0.8011802548	1
0.0086	-1.097185406e-05	8.957692744e-06	-0.02488365045	0.6951017256	1
0.0087	-1.079369289e-05	8.802897334e-06	-0.02520752131	0.5522491547	1
0.0088	-1.063085502e-05	8.661524337e-06	-0.02556437429	0.6981069342	1
0.0089	-1.048440869e-05	8.53488059e-06	-0.02596385952	0.8695563097	1
0.009	-1.035234055e-05	8.420468826e-06	-0.0263859993	1.777230313	1
0.0091	-1.023553913e-05	8.319575402e-06	-0.02683989393	1.189856023	1
0.0092	-1.013392403e-05	8.231935604e-06	-0.02732471093	0.4855430935	1
0.0093	-1.004717554e-05	8.157248079e-06	-0.02783915808	0.7449522712	1
0.0094	-9.976373327e-06	8.09658764e-06	-0.02839503679	0.4274975283	1
0.0095	-9.924476369e-06	8.052640091e-06	-0.02901958982	0.5057959778	1
0.0096	-9.88806994e-06	8.021839945e-06	-0.02968311121	0.9052001977	1
0.0097	-9.868009826e-06	8.005274786e-06	-0.03039704728	2.372420913	1
0.0098	-9.863981034e-06	8.002498631e-06	-0.03115725021	0.6905428611	1
0.0099	-9.875758555e-06	8.013336762e-06	-0.03195813159	0.597279098	1
0.01	-9.903250623e-06	8.037728206e-06	-0.03279275486	1.142500821	1
0.0101	-9.944704154e-06	8.07423075e-06	-0.03363752823	1.621769613	1
0.0102	-9.999991711e-06	8.122932556e-06	-0.03448425765	2.524351144	1
0.0103	-1.006913104e-05	8.183946234e-06	-0.03532455155	1.089131585	1
0.0104	-1.015032935e-05	8.255896596e-06	-0.03613580555	0.8884368445	1
0.0105	-1.024519253e-05	8.340341158e-06	-0.03692523535	0.7742710047	1
0.0106	-1.035018665e-05	8.434327042e-06	-0.03765977209	0.5729330869	1
0.0107	-1.0464872e-05	8.537731807e-06	-0.03833693719	0.4383194271	1
0.0108	-1.058905857e-05	8.650386995e-06	-0.03895562931	0.3196821402	1
0.0109	-1.072258784e-05	8.772184214e-06	-0.03951600911	0.4318127636	1
0.011	-1.08633797e-05	8.901265531e-06	-0.04000994957	0.5199312225	1
0.0111	-1.101089807e-05	9.037206384e-06	-0.04044179796	0.9456934423	1
0.0112	-1.116663263e-05	9.181333198e-06	-0.040824414	0.3888466597	1
0.0113	-1.132852712e-05	9.331551243e-06	-0.04115464483	0.5329291609	1
0.0114	-1.149589265e-05	9.487318128e-06	-0.04143839208	0.9343713666	1
0.0115	-1.166813139e-05	9.647990347e-06	-0.04168164087	3.25833512	1
0.0116	-1.184464018e-05	9.812940511e-06	-0.04189027337	0.7824745553	1
0.0117	-1.202679002e-05	9.983564732e-06	-0.04207454633	0.5174600251	1
0.0118	-1.221232463e-05	1.015731941e-05	-0.04223473927	0.6867429603	1
0.0119	-1.24003734e-05	1.033353557e-05	-0.04237572644	0.345494527	1
0.012	-1.259224592e-05	1.051363863e-05	-0.04250559486	0.3494754382	1
0.0121	-1.278770171e-05	1.069717124e-05	-0.04262798701	0.3517363113	1
0.0122	-1.298630921e-05	1.088371429e-05	-0.0427462348	0.2711970522	1
0.0123	-1.318758772e-05	1.107277635e-05	-0.04286331496	0.3021671388	1
0.0124	-1.338902523e-05	1.126157558e-05	-0.04297789308	0.4191314157	1
0.0125	-1.359378602e-05	1.14541027e-05	-0.04309988773	0.6474258673	1
0.0126	-1.380004093e-05	1.164768692e-05	-0.04322735438	0.466053187	1
0.0127	-1.401120648e-05	1.184672495e-05	-0.04337172163	0.6963199854	1
0.0128	-1.423153426e-05	1.205553891e-05	-0.04354748221	0.802152361	1
0.0129	-1.445368994e-05	1.226480335e-05	-0.04373650943	1.33724938	1
0.013	-1.467797775e-05	1.247627655e-05	-0.04394609796	1.267653829	1
0.0131	-1.490379899e-05	1.268896757e-05	-0.0441779167	0.7643231043	1
0.0132	-1.512877495e-05	1.290026071e-05	-0.04442512794	0.4979423612	1
0.0133	-1.535207903e-05	1.310959557e-05	-0.04468717084	0.3558220041	1
0.0134	-1.557469517e-05	1.331825566e-05	-0.0449730147	0.2723162435	1
0.0135	-1.579772054e-05	1.352744553e-05	-0.04529389279	0.2208238481	1
0.0136	-1.601780623e-05	1.373310065e-05	-0.0456287076	0.1863072377	1
0.0137	-1.623525563e-05	1.393629825e-05	-0.04598790419	0.2328834336	1
0.0138	-1.644943233e-05	1.413625633e-05	-0.04637094844	0.3009483999	1
0.0139	-1.666072433e-05	1.433375606e-05	-0.04679091764	0.4088847173	1
0.014	-1.686658902e-05	1.45256669e-05	-0.04721868398	0.6320856902	1
0.0141	-1.706718649e-05	1.471283191e-05	-0.04766679099	0.5584808446	1
0.0142	-1.726218261e-05	1.489486447e-05	-0.04813358997	0.7436701023	1
0.0143	-1.745133238e-05	1.507165456e-05	-0.04861728711	1.538554058	1
0.0144	-1.763449952e-05	1.524315842e-05	-0.04911596367	1.777273437	1
0.0145	-1.781165192e-05	1.540944078e-05	-0.04962760175	1.315030827	1
0.0146	-1.798285283e-05	1.557065675e-05	-0.05015011477	0.6919153681	1
0.0147	-1.814824693e-05	1.572703831e-05	-0.05068137816	0.5040349886	1
0.0148	-1.83080455e-05	1.587887844e-05	-0.05121925966	0.3556777575	1
0.0149	-1.846251159e-05	1.602651535e-05	-0.05176164846	0.2711929839	1
0.015	-1.861194597e-05	1.617031743e-05	-0.05230648228	0.2704756262	1
0.0151	-1.875679401e-05	1.631160214e-05	-0.0529078016	0.2393562087	1
0.0152	-1.889750026e-05	1.644976893e-05	-0.05350659954	0.1848673784	1
0.0153	-1.903402979e-05	1.65849241e-05	-0.05410045924	0.2318041356	1
0.0154	-1.916643089e-05	1.671747614e-05	-0.05470524005	0.3013771343	1
0.0155	-1.929496189e-05	1.684713675e-05	-0.055282066	0.3993687097	1
0.0156	-1.94196052e-05	1.697460696e-05	-0.055864925	0.612619001	1
0.0157	-1.954079618e-05	1.709970807e-05	-0.05641666824	1.069224903	1
0.0158	-1.965855436e-05	1.722316798e-05	-0.05697014388	0.4585218655	1
0.0159	-1.977334736e-05	1.734508063e-05	-0.05750655251	0.8960832745	1
0.016	-1.988541683e-05	1.746572434e-05	-0.05802456366	6.157111845	1
0.0161	-1.999502074e-05	1.758570632e-05	-0.05853807115	1.001023207	1
0.0162	-2.0102718e-05	1.770482722e-05	-0.0590158448	0.5679885764	1
0.0163	-2.020871769e-05	1.782413905e-05	-0.05948607304	0.4510595931	1
0.0164	-2.031377522e-05	1.794388696e-05	-0.05993371669	0.3248131014	1
0.0165	-2.041847257e-05	1.806466223e-05	-0.06035850278	0.2524428944	1
0.0166	-2.052348228e-05	1.818710629e-05	-0.06076043695	0.2723708952	1
0.0167	-2.062955417e-05	1.831192108e-05	-0.06113983952	0.3850294987	1
0.0168	-2.073748163e-05	1.843983454e-05	-0.06149734207	0.6427480961	1
0.0169	-2.084807088e-05	1.857157529e-05	-0.06183387697	1.601808364	1
0.017	-2.096211441e-05	1.870784785e-05	-0.06215066268	0.583281755	1
0.0171	-2.10803688e-05	1.884931229e-05	-0.06244918589	1.101113342	1
0.0172	-2.120415141e-05	1.899765761e-05	-0.06273960744	0.3994500693	1
0.0173	-2.133312801e-05	1.915127006e-05	-0.06300719928	0.5324445819	1
0.0174	-2.146802824e-05	1.931160859e-05	-0.06326224152	0.6422069854	1
0.0175	-2.161031228e-05	1.948036719e-05	-0.06351441565	0.9283207743	1
0.0176	-2.175887794e-05	1.965510671e-05	-0.06375167693	0.4757011611	1
0.0177	-2.191556921e-05	1.983895536e-05	-0.06399058912	0.5493700495	1
0.0178	-2.207881069e-05	2.002879574e-05	-0.06421998684	1.196052967	1
0.0179	-2.225063157e-05	2.022799567e-05	-0.06445603118	2.167379442	1
0.018	-2.242900819e-05	2.043297051e-05	-0.06468770413	0.7055715375	1
0.0181	-2.261612021e-05	2.064725966e-05	-0.06493120401	0.7933711525	1
0.0182	-2.281104699e-05	2.086886802e-05	-0.06518231491	1.329416376	1
0.0183	-2.301350041e-05	2.109765443e-05	-0.06544326277	0.5438343587	1
0.0184	-2.322321706e-05	2.13332578e-05	-0.06571610449	0.7140208332	1
0.0185	-2.343992963e-05	2.157535572e-05	-0.06600271815	1.371677247	1
0.0186	-2.366336019e-05	2.182361476e-05	-0.06630479207	0.650720255	1
0.0187	-2.389321973e-05	2.20777012e-05	-0.06662380973	0.4999053922	1
0.0188	-2.41325965e-05	2.234146539e-05	-0.06698070985	0.4064543216	1
0.0189	-2.438031406e-05	2.261273783e-05	-0.06736887499	0.3580377336	1
0.019	-2.463415681e-05	2.288903135e-05	-0.06777917673	0.3938481145	1
0.0191	-2.489485292e-05	2.317159782e-05	-0.06822315307	0.5277672297	1
0.0192	-2.516201363e-05	2.345977699e-05	-0.06870187374	0.9221823441	1
0.0193	-2.543504801e-05	2.37529294e-05	-0.06921590389	1.367342508	1
0.0194	-2.571163605e-05	2.404845024e-05	-0.0697520751	0.8242473188	1
0.0195	-2.599231818e-05	2.434736312e-05	-0.07032245241	1.161328936	1
0.0196	-2.627661278e-05	2.464903435e-05	-0.07092617471	4.139304977	1
0.0197	-2.656247599e-05	2.495129555e-05	-0.07154731737	0.8622264288	1
0.0198	-2.68505114e-05	2.525517484e-05	-0.07219808783	0.469481743	1
0.0199	-2.714048126e-05	2.556037837e-05	-0.07287626507	0.3483710563	1
0.02	-2.743082637e-05	2.586530938e-05	-0.07356385599	0.495200318	1
0.0201	-2.772238926e-05	2.617118905e-05	-0.07427298853	0.9441508287	1
0.0202	-2.801534431e-05	2.64781858e-05	-0.07500044905	0.9511764246	1
0.0203	-2.83086627e-05	2.678525762e-05	-0.07572727435	0.6097808331	1
0.0204	-2.860345258e-05	2.709385689e-05	-0.07646540117	0.4424863735	1
0.0205	-2.889908272e-05	2.740326874e-05	-0.0771960442	0.340651075	1
0.0206	-2.91957185e-05	2.771388462e-05	-0.07791617176	0.2854453081	1
0.0207	-2.949487998e-05	2.80274683e-05	-0.07863785448	0.3231051287	1
0.0208	-2.979621621e-05	2.834352191e-05	-0.079343722	0.4489919753	1
0.0209	-3.009996658e-05	2.866247021e-05	-0.08003176993	0.5807422979	1
0.021	-3.040651158e-05	2.898480691e-05	-0.08070048085	1.289581425	1
0.0211	-3.071748272e-05	2.93123884e-05	-0.08136204824	0.4466988583	1
0.0212	-3.103122105e-05	2.964311238e-05	-0.08198936284	0.6205428522	1
0.0213	-3.134993811e-05	2.997988145e-05	-0.08260776959	1.170892221	1
0.0214	-3.167197793e-05	3.032039712e-05	-0.08319277866	1.273506132	1
0.0215	-3.199961459e-05	3.066768027e-05	-0.08376886183	0.6428459808	1
0.0216	-3.233103931e-05	3.101913924e-05	-0.08431398916	0.6447741256	1
0.0217	-3.266850809e-05	3.137786365e-05	-0.08485169592	0.4173161358	1
0.0218	-3.301002492e-05	3.174094593e-05	-0.08536208769	0.3012305667	1
0.0219	-3.335780626e-05	3.211152909e-05	-0.08586780443	0.3271103265	1
0.022	-3.37096736e-05	3.248640719e-05	-0.08635066007	0.4546674494	1
0.0221	-3.406779016e-05	3.286876097e-05	-0.08683252036	0.5508094918	1
0.0222	-3.442981873e-05	3.325512831e-05	-0.08729640842	0.3093964705	1
0.0223	-3.479641251e-05	3.36469175e-05	-0.08775412726	0.3652199788	1
0.0224	-3.516909302e-05	3.404580457e-05	-0.08821756438	0.333174066	1
0.0225	-3.554522766e-05	3.444807921e-05	-0.08867054211	0.2979307709	1
0.0226	-3.592673874e-05	3.485688204e-05	-0.08913381801	0.3243763231	1
0.0227	-3.631103279e-05	3.526834508e-05	-0.08959105556	0.4898701753	1
0.0228	-3.670000772e-05	3.568563368e-05	-0.09006299057	0.9831582981	1
0.0229	-3.709108917e-05	3.610486352e-05	-0.09053267139	3.16080995	1
0.023	-3.748610511e-05	3.65291699e-05	-0.09102102652	2.037876113	1
0.0231	-3.788391728e-05	3.695650821e-05	-0.09152021588	1.10962336	1
0.0232	-3.828387475e-05	3.73864177e-05	-0.09203142284	0.5136336024	1
0.0233	-3.868547046e-05	3.781843073e-05	-0.09255560667	0.6148182745	1
0.0234	-3.908829085e-05	3.825216931e-05	-0.09309351852	1.175414449	1
0.0235	-3.949198085e-05	3.868730949e-05	-0.09364569292	0.4324606606	1
0.0236	-3.989623393e-05	3.912357999e-05	-0.09421244355	0.5913174535	1
0.0237	-4.030199812e-05	3.956239881e-05	-0.0948056522	0.4035569005	1
0.0238	-4.07093301e-05	4.000355912e-05	-0.09542586635	0.3625720152	1
0.0239	-4.111784746e-05	4.044659373e-05	-0.09607296336	0.300111355	1
0.024	-4.152693722e-05	4.089086541e-05	-0.09674615306	0.3245768291	1
0.0241	-4.193482976e-05	4.13342072e-05	-0.09743121208	0.4429106049	1
0.0242	-4.234065117e-05	4.177611035e-05	-0.09812586993	0.512232662	1
0.0243	-4.274503238e-05	4.221777537e-05	-0.0988411194	0.5431670374	1
0.0244	-4.314813903e-05	4.265919169e-05	-0.09957510787	1.201618974	1
0.0245	-4.354900004e-05	4.309897769e-05	-0.1003122217	1.413837772	1
0.0246	-4.394731582e-05	4.3537177e-05	-0.1010497942	0.7399207225	1
0.0247	-4.434412342e-05	4.397539523e-05	-0.101798745	0.4463130887	1
0.0248	-4.473931147e-05	4.441293878e-05	-0.102543633	0.3137329027	1
