time = 28	Re = 1	rotation = 4.45618
-0.405442	0.543566	1653	
0.278945	-0.084337	8752	
0.551071	0.345000	6172	
-0.136641	-0.458632	5116	
-0.935976	-0.211739	5281	
0.648902	0.444480	9416	
-0.469757	0.310432	6254	
0.339661	-0.617643	6574	
0.573993	-0.070456	357	
-0.064480	0.323542	6275	
0.557832	-0.450065	4492	
0.512662	0.107989	10521	
0.416895	0.666031	6510	
0.234635	-0.731706	2350	
0.205135	-0.697355	3300	
-0.640082	0.238563	8643	
0.630094	-0.697929	1733	
0.120094	0.784408	10204	
-0.380663	0.787795	6820	
-0.484825	0.460149	6908	
0.845625	-0.451798	5986	
0.174842	-0.009865	2969	
0.309687	-0.011809	1621	
0.205158	-0.724572	3309	
0.143479	-0.830138	6435	
0.902048	0.357455	3467	
0.872577	0.452727	1954	
-0.785349	-0.309766	2453	
-0.131616	0.411003	9432	
0.233681	-0.482904	9512	
-0.722330	-0.190163	344	
-0.710490	0.311675	6271	
0.476524	0.335016	10137	
0.516802	-0.048323	347	
0.545411	-0.090967	983	
0.187998	-0.562416	9720	
0.280756	-0.770633	5234	
-0.434202	0.694526	4465	
0.540864	0.070862	2989	
0.576250	-0.413483	672	
-0.175029	0.908956	4969	
0.179929	0.032752	3111	
0.218120	0.886814	1111	
0.375862	0.080285	3911	
-0.546292	0.311313	7239	
-0.224792	0.190149	5477	
-0.676167	-0.298319	2566	
-0.309779	0.252342	6209	
-0.031116	-0.578263	10201	
0.060121	0.151745	4670	
0.400473	-0.873287	430	
-0.564034	0.539804	7962	
-0.379307	0.805783	6671	
0.174734	-0.743139	1977	
-0.351560	-0.611910	574	
-0.872359	0.374865	447	
0.479478	0.256574	1893	
-0.330366	0.181559	6180	
0.586746	-0.575818	8919	
-0.096763	-0.585005	5845	
-0.508609	0.331702	4189	
-0.060333	0.692675	7965	
0.792129	0.114549	10335	
0.872205	-0.112977	7207	
-0.639686	-0.679432	1475	
0.384284	0.763862	2988	
0.307672	0.006557	3270	
-0.785618	0.189638	7502	
-0.412733	0.822450	5963	
0.346341	0.172285	5074	
-0.560725	-0.026600	7268	
0.422314	0.385143	1993	
0.078642	0.773750	9891	
-0.631665	0.248849	8643	
-0.130134	-0.494100	8450	
0.192576	-0.088496	5160	
0.460350	-0.712198	5827	
0.954654	-0.151065	8870	
-0.164632	0.902852	4969	
0.033874	0.733077	1268	
0.681277	0.045579	8641	
-0.711896	0.529570	6738	
-0.103350	-0.448800	5977	
0.551637	0.280240	5727	
-0.885826	-0.268839	6237	
-0.722279	-0.192346	10322	
-0.436825	0.409872	3993	
0.158222	-0.021500	2765	
0.057632	-0.502686	3705	
-0.935979	-0.216787	5281	
0.522538	0.676464	7659	
-0.399444	0.515928	353	
-0.591582	-0.775961	5421	
0.365534	0.769637	3510	
-0.549612	-0.589178	7469	
0.586365	0.292608	1378	
0.229227	-0.117071	6569	
-0.405210	0.615767	4233	
-0.628417	-0.240220	10484	
-0.281455	0.395750	8996	
0.016228	0.377463	10939	
0.560074	0.075253	5365	
-0.491728	-0.643967	8806	
0.405139	0.377807	3742	
-0.133963	0.435559	600	
0.761098	0.470852	1897	
0.713365	-0.184370	2332	
-0.097362	0.301216	4521	
-0.814599	-0.120824	1952	
0.663817	-0.525875	6366	
0.840748	-0.268343	5928	
-0.803149	-0.078612	8949	
0.386466	0.153023	8595	
0.878059	0.451311	1954	
0.614817	-0.013739	3243	
0.783495	0.110282	9356	
-0.135927	-0.483000	8450	
0.040806	0.768085	3439	
-0.680561	-0.449145	10304	
0.105926	-0.226268	6769	
-0.105114	-0.299464	868	
0.494285	-0.034787	3957	
-0.160158	0.639334	4706	
0.303798	-0.773261	4518	
-0.159848	-0.570235	4343	
0.744443	0.428865	10745	
0.057714	-0.630747	2621	
-0.227547	0.308189	1533	
0.486003	0.229493	8311	
-0.189567	0.636668	4651	
0.169356	0.759095	7277	
0.046249	0.382098	1497	
-0.825542	-0.009076	8558	
-0.054707	0.102925	4574	
0.811491	-0.180932	7604	
0.242747	-0.685534	441	
0.614782	-0.166952	10791	
0.121054	-0.550366	7820	
-0.402901	0.128006	686	
0.279787	-0.702383	669	
-0.383113	0.596232	4042	
0.761256	0.294310	1532	
-0.135895	0.771474	4113	
0.919901	-0.269624	11060	
-0.246554	0.875512	4873	
-0.732237	-0.257187	1695	
0.491179	-0.573478	4363	
-0.178723	0.889444	4969	
0.508150	0.254760	3147	
-0.713267	0.574875	8106	
0.063710	-0.573122	8903	
0.613757	-0.758490	10006	
-0.489301	0.443964	5580	
-0.602639	0.664292	5642	
0.892879	-0.397380	7138	
-0.537335	0.503870	6930	
0.743581	-0.388056	1547	
0.288857	-0.503203	3990	
0.418777	0.752802	10400	
0.507399	-0.791003	9404	
0.010779	-0.985590	4342	
0.630657	0.567022	6642	
-0.518636	0.373880	9357	
0.724270	-0.185076	3996	
-0.231136	-0.588584	7956	
0.244644	-0.717203	3454	
-0.598498	-0.328734	1306	
0.048400	-0.750882	1124	
0.738251	-0.146887	4308	
0.416903	0.036022	2111	
0.427570	0.462178	7619	
0.694416	-0.535906	7901	
-0.540968	-0.762459	9537	
0.479081	0.624791	8782	
0.845407	0.513030	1700	
-0.318490	-0.902822	9968	
-0.855538	-0.375190	8814	
0.651945	-0.566312	6858	
-0.248631	0.389899	7646	
-0.348029	0.364433	935	
-0.809432	-0.430714	8680	
0.583092	0.119988	9934	
0.019155	-0.767193	2023	
-0.104643	0.283535	3471	
0.875911	0.217224	10724	
-0.822666	-0.022218	7718	
-0.236035	0.624792	5285	
-0.895716	0.210594	7499	
0.174223	0.024716	4460	
-0.330785	0.261021	6959	
0.057808	0.656622	10180	
-0.196537	0.646055	4651	
-0.497892	0.783459	10639	
0.574598	-0.586445	8771	
-0.302349	-0.438438	3886	
-0.424434	-0.608173	4200	
-0.948151	-0.022268	6274	
-0.145270	-0.513675	1603	
-0.148562	0.699587	10894	
0.060764	-0.951610	10506	
-0.071960	-0.809196	1899	
-0.541303	0.124242	3650	
0.724110	-0.171830	3996	
-0.743477	-0.597560	10707	
0.112846	-0.929419	2665	
0.693218	0.029783	1104	
0.435698	0.662867	10123	
0.226908	0.033579	1435	
-0.130805	0.263785	2114	
-0.338260	-0.322593	4960	
0.099220	0.762641	10800	
-0.615240	-0.206374	10854	
-0.229404	-0.339692	9692	
-0.127199	0.344914	2400	
-0.232621	0.612618	3653	
-0.148830	0.242006	1214	
-0.926118	-0.176314	710	
-0.357285	-0.421121	2831	
-0.713020	0.017711	6303	
-0.490968	-0.624363	8781	
0.441161	-0.626878	1743	
0.120280	0.093551	5461	
-0.948709	-0.087830	10527	
0.016447	0.672576	4208	
0.130631	0.199423	5214	
-0.453325	0.352796	10562	
-0.591013	0.669343	9886	
0.636109	-0.430527	2728	
-0.521642	-0.506927	5304	
0.700680	-0.528985	6737	
0.355210	0.005101	3331	
-0.831411	0.029737	7860	
-0.419512	0.483428	8209	
0.160513	-0.840155	6435	
-0.661214	0.425584	4289	
-0.622704	0.269331	4657	
0.545503	0.671036	6508	
-0.367370	-0.432010	2831	
0.463945	-0.012450	2840	
-0.731935	0.330493	9336	
0.382811	0.664455	5731	
0.654363	-0.355490	4043	
-0.672694	-0.437446	10304	
-0.066973	0.384693	3266	
-0.676101	-0.466119	8323	
-0.647562	0.081642	2609	
0.230913	0.142671	6127	
-0.028830	0.879291	7732	
0.707473	0.120212	364	
-0.494078	-0.618460	8984	
0.726725	0.345435	1136	
-0.774726	-0.466192	2939	
0.415425	0.463346	8251	
-0.500993	0.777888	10639	
0.415148	0.787530	4178	
-0.063349	-0.510753	3209	
0.329228	0.602032	661	
-0.166526	-0.304378	4840	
-0.199341	-0.291383	8453	
0.421729	-0.746463	7450	
-0.351157	0.250430	9957	
0.156849	0.901498	6479	
-0.535611	-0.779565	697	
0.346532	-0.455888	6961	
-0.531696	-0.508409	6363	
-0.809925	-0.257871	9318	
0.144202	0.853516	5760	
0.352655	-0.894756	9586	
-0.166672	0.415400	9072	
0.062258	-0.238207	6746	
0.308008	0.228848	5413	
0.739793	0.309910	3073	
-0.262285	0.332556	2145	
-0.458629	0.774082	7975	
-0.414935	0.382245	10718	
0.169126	-0.954772	7264	
0.349676	0.036614	665	
-0.467300	0.204394	529	
0.176204	-0.802612	5464	
0.150739	-0.516940	5358	
0.672424	-0.029974	1729	
-0.212052	-0.381928	9897	
0.263459	-0.084731	10228	
-0.740465	-0.087115	902	
0.443541	-0.573759	1127	
0.566257	-0.773900	8623	
0.545038	0.223187	10591	
-0.284067	0.877353	981	
0.310865	0.591012	515	
0.600791	0.254570	1359	
-0.184650	0.295200	9099	
-0.397353	0.318657	4095	
-0.909795	0.136426	10195	
-0.860971	-0.438525	1228	
-0.228167	0.656536	10802	
0.005863	-0.199907	4848	
-0.231297	-0.302828	7285	
-0.878722	-0.411581	1048	
0.166886	-0.818477	4825	
-0.455465	0.658640	3150	
0.636629	0.103338	1351	
0.111115	-0.629650	3921	
0.351527	-0.866472	2292	
-0.082398	-0.717279	5923	
0.952872	-0.213310	9944	
0.107357	0.776024	10390	
-0.309630	0.667535	5045	
-0.314985	-0.884585	9968	
0.483704	0.385593	6701	
0.437729	0.188258	5055	
-0.261749	-0.303094	5396	
