time = 7.95	Re = 90
0.414872	0.772004	249
0.382181	0.792334	250
0.346223	0.812039	251
0.305477	0.832650	252
0.266504	0.849336	253
0.223938	0.865818	254
0.180500	0.879768	255
0.132262	0.893488	256
0.098221	0.900439	257
0.060698	0.907197	258
0.021706	0.911858	259
-0.020293	0.915678	260
-0.055986	0.916188	261
-0.094740	0.915882	262
-0.138169	0.912947	263
-0.187838	0.907847	264
-0.230503	0.900473	265
-0.274389	0.891368	266
-0.313309	0.880997	267
-0.353901	0.869355	268
-0.385634	0.858141	269
-0.418501	0.846117	270
-0.451724	0.832230	271
-0.485903	0.817006	272
-0.514175	0.801963	273
-0.542807	0.786341	274
-0.574269	0.766627	275
-0.610161	0.743258	276
-0.652373	0.710596	277
-0.676144	0.690097	278
-0.700689	0.668842	279
-0.728973	0.642223	280
-0.757828	0.613927	281
-0.789047	0.582056	282
-0.818333	0.551003	283
-0.859168	0.508332	284
