time = 0.557	Re = 13	rotation = 0.295838
-0.913263	-0.039751	4538	
-0.943206	0.056695	4979	
-0.940353	0.124269	1189	
-0.931257	0.194365	8528	
-0.912527	0.252773	7961	
-0.893381	0.310703	1692	
-0.849610	0.406654	524	
-0.820418	0.456089	10050	
-0.791499	0.505122	9033	
-0.729432	0.587290	9086	
-0.665944	0.655054	5738	
-0.601848	0.710354	6761	
-0.546725	0.740583	1631	
-0.592999	0.701918	6541	
-0.633440	0.666353	9318	
