time = 0.597	Re = 13	rotation = 0.526217
-0.885072	-0.042901	767	
-0.932489	0.022936	5570	
-0.940547	0.079575	1361	
-0.942076	0.155081	5693	
-0.927699	0.230091	2053	
-0.903178	0.312106	788	
-0.872890	0.377169	7844	
-0.841473	0.437737	888	
-0.802826	0.495767	5574	
-0.766329	0.548113	524	
-0.729119	0.590673	10050	
-0.692265	0.632798	9033	
-0.621112	0.698946	4450	
-0.549424	0.752325	5236	
-0.486267	0.781549	9934	
-0.535787	0.747142	5236	
-0.579564	0.715076	9338	
-0.630310	0.669951	7882	
