time = 0.617	Re = 13	rotation = 0.639889
-0.873228	-0.020102	3727	
-0.924911	0.030262	4541	
-0.939253	0.141767	7359	
-0.929809	0.208446	1715	
-0.911521	0.291965	577	
-0.882269	0.367967	1403	
-0.845415	0.441930	8590	
-0.798614	0.510612	7961	
-0.755499	0.568019	2142	
-0.712968	0.613412	566	
-0.672303	0.656005	10090	
-0.595511	0.721694	7590	
-0.518939	0.774252	9058	
-0.451063	0.802738	5236	
-0.501807	0.771054	9058	
-0.547972	0.740398	8060	
-0.602824	0.696610	10082	
-0.643789	0.656968	8112	
