time = 0.547	Re = 13	rotation = 0.239275
-0.918932	-0.029183	456	
-0.942154	0.069752	1403	
-0.936846	0.133731	9908	
-0.927656	0.198042	10180	
-0.893008	0.305966	5574	
-0.852402	0.398093	9080	
-0.797249	0.494748	7590	
-0.737399	0.576739	9086	
-0.675648	0.644617	9318	
-0.613210	0.700517	6761	
-0.559563	0.730785	9593	
-0.605197	0.691453	6541	
-0.644710	0.655313	10214	
