time = 0.637	Re = 13	rotation = 0.749378
-0.863165	0.015414	7106	
-0.918627	0.052082	812	
-0.934163	0.146597	1426	
-0.926006	0.203453	2629	
-0.912299	0.275983	7359	
-0.889342	0.346735	1112	
-0.856317	0.427056	1397	
-0.805146	0.511344	1189	
-0.752156	0.580733	8528	
-0.701078	0.632656	888	
-0.654326	0.677564	5574	
-0.569298	0.744161	10104	
-0.487087	0.795325	7590	
-0.412513	0.823736	1418	
-0.465479	0.794397	10130	
-0.515629	0.764791	10082	
-0.574541	0.722701	7060	
-0.619904	0.684019	9065	
