time = 0.527	Re = 13	rotation = 0.12925
-0.924351	-0.002327	8899	
-0.936601	0.091050	1251	
-0.921871	0.200798	7961	
-0.892754	0.295930	996	
-0.857536	0.381885	10104	
-0.807649	0.475229	9106	
-0.751977	0.556225	3674	
-0.693299	0.625051	9318	
-0.633793	0.682139	6541	
-0.582752	0.712354	4011	
-0.627252	0.671770	6541	
