time = 0.507	Re = 13	rotation = 0.0249638
-0.923353	0.023802	1389	
-0.929281	0.105844	2231	
-0.917203	0.200815	966	
-0.892233	0.287008	996	
-0.861533	0.367706	10104	
-0.816270	0.457779	9106	
-0.764508	0.537667	9086	
-0.708432	0.607460	9318	
-0.651566	0.665401	6761	
-0.602518	0.695623	9593	
-0.645914	0.654061	6541	
