time = 0.607	Re = 13	rotation = 0.583425
-0.878857	-0.033207	3489	
-0.928607	0.024633	8195	
-0.937637	0.076012	7359	
-0.941147	0.146203	1715	
-0.929815	0.218029	5693	
-0.907920	0.303431	1547	
-0.876964	0.375024	9908	
-0.842204	0.441747	10180	
-0.799854	0.504050	1692	
-0.760505	0.558544	996	
-0.720813	0.602178	9080	
-0.682310	0.644460	10152	
-0.608411	0.710278	10130	
-0.534539	0.763276	2798	
-0.469120	0.792022	9318	
-0.519230	0.759079	2798	
-0.564041	0.727774	1418	
-0.616687	0.683358	7468	
