time = 0.627	Re = 13	rotation = 0.695308
-0.868041	-0.003814	8017	
-0.921593	0.039614	2055	
-0.936825	0.142098	2536	
-0.928364	0.203435	7359	
-0.912920	0.281822	1112	
-0.886950	0.357027	1397	
-0.850704	0.436812	1403	
-0.800298	0.513606	8528	
-0.752200	0.575935	7961	
-0.706274	0.623586	5574	
-0.662757	0.667143	566	
-0.582441	0.733019	10152	
-0.502966	0.784890	7226	
-0.432096	0.813383	2798	
-0.483733	0.782843	1608	
-0.531833	0.752747	7590	
-0.588813	0.709638	10050	
-0.631446	0.670787	6164	
