time = 0.537	Re = 13	rotation = 0.183663
-0.922624	-0.016192	9452	
-0.939750	0.081323	788	
-0.932780	0.140734	8214	
-0.924595	0.200065	8776	
-0.892692	0.301156	934	
-0.855128	0.389737	10104	
-0.802659	0.484756	9106	
-0.744745	0.566518	9086	
-0.684794	0.634582	9318	
-0.623685	0.691190	6761	
-0.571596	0.721356	4011	
-0.616624	0.681389	6541	
