time = 0.577	Re = 13	rotation = 0.410758
-0.899084	-0.050258	10018	
-0.940031	0.032842	1582	
-0.943915	0.099368	1397	
-0.938675	0.178743	1403	
-0.919585	0.248260	8590	
-0.895861	0.316921	8776	
-0.870157	0.370672	1692	
-0.844505	0.423618	934	
-0.811138	0.476271	9080	
-0.779162	0.526526	10152	
-0.711548	0.609481	7226	
-0.644806	0.676552	3674	
-0.576907	0.730874	9318	
-0.518174	0.760808	6541	
-0.566141	0.724000	10214	
-0.608245	0.690020	5236	
