time = 0.517	Re = 13	rotation = 0.0762754
-0.924407	0.011189	2417	
-0.932999	0.099103	2513	
-0.919478	0.200884	888	
-0.892573	0.291250	996	
-0.859691	0.374511	10104	
-0.812204	0.466208	9106	
-0.758577	0.546779	3868	
-0.701183	0.616002	9318	
-0.643234	0.673469	6541	
-0.593059	0.703767	4011	
-0.637039	0.662636	6541	
