time = 0.587	Re = 13	rotation = 0.468563
-0.891775	-0.048789	7954	
-0.936343	0.025534	2329	
-0.943014	0.087697	1582	
-0.941223	0.166906	4979	
-0.923868	0.240951	788	
-0.898921	0.316415	8528	
-0.870705	0.375312	7961	
-0.842563	0.431242	2142	
-0.806757	0.486300	566	
-0.772717	0.537390	10104	
-0.702048	0.621079	9106	
-0.633268	0.687655	9086	
-0.563531	0.741452	9318	
-0.502567	0.771119	6541	
-0.551417	0.735378	9318	
-0.594365	0.702424	3669	
-0.643593	0.656586	1418	
