time = 0.55	Re = 10
0.139782	0.143310	0
0.188675	0.157758	1
0.230365	0.177789	2
0.265277	0.206838	3
0.294786	0.243909	4
0.319871	0.289226	5
0.341131	0.340008	6
0.348388	0.369139	7
0.355643	0.398270	8
0.360351	0.429414	9
0.364613	0.461057	10
0.365776	0.494282	11
0.366363	0.527742	12
0.363854	0.562191	13
0.360525	0.596577	14
0.354210	0.631355	15
0.347274	0.665740	16
0.337376	0.699605	17
0.326783	0.733555	18
0.314036	0.766188	19
0.300824	0.798584	20
0.286025	0.830039	21
0.270931	0.860832	22
0.254561	0.890590	23
0.238366	0.920554	24
0.223859	0.974702	25
