time = 10.452	Re = 10	rotation = 0.103739
-0.868592	0.322210	8603	
-0.906146	-0.250144	1763	
-0.093237	0.428512	5598	
0.061717	0.369894	916	
-0.729363	-0.181949	10544	
-0.697611	0.220568	9266	
-0.901989	-0.282027	9967	
0.128013	0.444181	6308	
-0.905551	-0.339108	3814	
0.754722	0.195584	6647	
0.150375	-0.934828	5005	
0.572286	-0.546475	10908	
-0.529405	0.491730	364	
-0.384907	-0.881852	9117	
0.568954	-0.796534	7348	
-0.021412	0.422926	9658	
0.418601	-0.691360	10218	
-0.244625	0.463245	629	
-0.843916	-0.475030	10119	
-0.492691	-0.400638	5206	
-0.179488	0.398713	7072	
-0.411111	0.257042	2924	
-0.265573	0.409434	3957	
-0.586310	0.507961	8490	
0.126537	0.004660	1171	
-0.536002	0.681572	10243	
-0.000713	0.359202	1236	
0.584930	-0.367433	7893	
0.497384	0.305947	5004	
-0.906218	-0.032741	7231	
-0.206955	0.872841	7098	
0.096884	0.406417	2486	
0.258621	0.245412	8068	
0.531332	-0.814377	8358	
-0.820270	0.272504	9046	
-0.518614	0.092940	2914	
0.584687	0.579347	5548	
-0.041204	0.253721	9955	
0.183220	-0.944050	2533	
-0.056814	-0.166889	5561	
0.101645	-0.194872	9824	
-0.135030	0.444426	3409	
0.178382	0.402166	4499	
0.385795	0.157121	2110	
0.765137	-0.049002	8237	
0.082680	0.700889	6916	
0.699716	-0.468189	10355	
0.526177	0.445490	4917	
-0.256479	-0.924297	958	
-0.884335	0.084474	8537	
-0.321031	-0.726338	3745	
-0.837996	-0.453870	2375	
-0.454199	0.494557	5912	
-0.260276	-0.092968	1801	
-0.013411	0.447944	10107	
0.387945	-0.116806	10583	
-0.916123	-0.039445	7231	
0.482722	-0.584310	2208	
-0.584757	0.724328	8849	
0.564747	0.372773	4239	
-0.570904	-0.150166	6942	
-0.083382	0.373326	6949	
-0.319453	0.200959	2230	
-0.884486	0.162977	9466	
-0.013336	0.239426	4395	
-0.258530	0.288961	1968	
-0.210107	0.189778	4366	
0.755534	-0.309783	9167	
-0.029015	0.646870	4108	
-0.495961	0.219153	1893	
-0.034230	0.469913	2937	
-0.066344	0.591237	6739	
-0.191873	0.790274	2159	
-0.852772	0.094978	6132	
0.014416	0.402636	6867	
0.780256	-0.221077	2514	
-0.576093	-0.261364	9642	
-0.858372	-0.177957	5608	
0.161715	-0.236340	1561	
0.156322	-0.754150	5458	
0.136896	-0.721419	3575	
0.700333	-0.490858	10210	
0.069949	0.895799	7795	
-0.176633	-0.908072	6311	
-0.523518	0.463892	6807	
-0.131264	0.844474	3864	
0.586621	0.345374	2185	
-0.799227	0.481483	545	
-0.060785	0.395630	8969	
-0.012691	0.538635	7736	
-0.107322	-0.966614	6970	
0.797046	0.316105	8823	
0.014717	-0.974246	6187	
0.169599	0.811507	8859	
0.491352	0.108214	3240	
0.658654	0.037975	9006	
-0.581413	0.285979	1378	
0.813737	0.075575	9518	
0.784149	-0.002182	8781	
0.535298	0.660327	7598	
-0.075479	-0.990377	10168	
-0.423615	0.238069	3877	
-0.147258	0.926691	5006	
0.644446	0.487379	4391	
-0.070190	0.067496	1789	
0.051779	-0.778160	2727	
0.332296	-0.908718	10581	
0.226020	0.133790	8662	
-0.005454	-0.950084	10496	
-0.564277	-0.786650	5948	
0.103204	0.635713	8134	
0.192479	-0.715733	3529	
-0.318831	-0.910984	9170	
0.332436	0.422385	4548	
0.604254	-0.389036	7852	
-0.820726	-0.352291	5399	
-0.728776	0.059978	6911	
-0.934089	-0.205655	1059	
0.146868	0.664615	1337	
-0.849796	0.059353	5615	
0.542284	-0.600278	1584	
0.147131	0.514538	6976	
0.027710	0.435478	8325	
-0.741041	-0.049015	2086	
0.133072	0.542749	6785	
-0.158501	0.810771	1345	
-0.130237	-0.787331	7869	
-0.810337	-0.429374	2125	
-0.301301	0.460919	985	
-0.449461	0.798738	10196	
-0.104920	0.258734	9032	
0.800721	0.226756	5476	
-0.156777	0.554436	6449	
-0.289349	0.815366	5928	
-0.038524	0.280674	9951	
-0.666578	0.375195	8793	
-0.382374	-0.690053	1364	
0.656652	-0.744871	7687	
-0.678273	0.258006	4804	
-0.018178	0.536679	4581	
-0.112784	0.488878	7886	
-0.264496	0.426040	7314	
-0.448591	-0.792896	6463	
-0.451442	0.269293	2635	
-0.810331	0.458621	8813	
0.041866	0.911424	7953	
0.346474	0.264241	5776	
0.678423	-0.414720	1075	
-0.465994	-0.583650	8896	
-0.328209	0.810167	7209	
-0.455364	0.402541	1407	
-0.409447	0.379541	2861	
-0.638956	-0.380939	9710	
-0.968797	-0.087046	5444	
-0.392659	0.228206	692	
-0.678811	0.345899	1522	
0.637262	0.485661	4391	
-0.525264	0.334020	10331	
0.180039	0.404562	5311	
0.091238	0.216724	4586	
-0.668213	0.692288	1387	
0.506294	0.278469	4401	
-0.121801	0.395758	2238	
-0.016709	0.099712	5113	
-0.673422	-0.236560	9829	
0.122978	0.255566	2113	
0.445448	-0.486954	3064	
-0.289629	-0.707849	3400	
-0.011066	0.218114	5201	
0.432799	-0.690877	10278	
-0.884535	-0.074152	6208	
-0.026523	0.663604	5600	
0.446651	0.008772	10432	
0.584494	-0.366118	7893	
0.472813	-0.135510	3091	
-0.046949	0.818177	2826	
-0.466344	-0.631036	3830	
0.247428	0.467753	4720	
0.298457	0.639299	1678	
-0.936750	0.106701	9316	
-0.825943	-0.471563	10119	
-0.604753	0.259232	4355	
-0.411659	0.706737	9745	
-0.017099	-0.112488	1845	
0.069970	0.814202	5876	
-0.683012	-0.649189	2666	
-0.262825	0.506182	2512	
-0.583476	-0.535979	2149	
-0.698825	-0.250012	4454	
-0.130267	0.193537	7312	
-0.585405	-0.012829	6600	
-0.482619	0.277800	5276	
-0.638725	-0.649943	8256	
0.634776	0.096760	8770	
0.055651	0.839508	6858	
-0.033391	0.581473	2954	
0.252070	0.299018	3836	
0.255034	-0.075222	7554	
-0.386849	-0.058523	9894	
0.162124	0.242290	2467	
-0.558618	-0.197175	4344	
0.121737	-0.117781	4738	
0.113953	0.871340	6242	
0.007573	-0.175229	2854	
0.039379	0.432660	8279	
0.629299	-0.759406	1617	
0.431663	0.607325	3309	
0.057713	0.373744	916	
-0.497085	-0.760772	7243	
-0.347701	-0.630245	8051	
0.114474	0.169442	1224	
0.698185	-0.477234	10160	
0.653698	0.121178	516	
0.389423	0.780864	6486	
-0.806659	-0.457307	2209	
-0.385870	-0.891155	5942	
0.028764	0.539042	10023	
-0.031216	-0.779808	5549	
-0.474514	-0.615136	5050	
0.806522	0.103654	10442	
0.153935	-0.715647	2599	
0.133962	0.603394	6973	
-0.436621	0.219226	5586	
-0.259845	0.008763	4682	
0.414845	0.760544	6034	
-0.049813	0.468650	2515	
0.582218	-0.789622	2418	
0.189295	0.063381	886	
0.060098	0.305931	4932	
0.374971	-0.459331	10246	
0.489125	0.032105	2265	
0.147624	0.578025	6810	
-0.471618	0.433871	4260	
-0.589189	0.463950	343	
-0.688517	-0.280905	5236	
-0.572571	0.500625	8756	
0.289843	0.341611	8205	
0.674949	0.111338	1367	
-0.386218	0.238659	4247	
-0.622488	-0.370273	5924	
-0.628672	-0.772552	7092	
0.189387	0.402090	6562	
-0.469343	-0.857664	6016	
0.215415	0.783410	5850	
-0.796114	-0.438964	2125	
0.552250	0.592128	4861	
0.312913	0.240810	9606	
-0.515299	0.013707	2781	
-0.932423	0.269038	638	
0.545613	-0.431626	7327	
-0.507146	0.800815	10492	
-0.578033	0.213665	2950	
-0.251423	0.380559	2774	
-0.910506	-0.074356	9334	
0.426096	-0.303319	6406	
0.848351	0.081289	7812	
-0.639942	-0.380434	9710	
0.156146	0.815555	8859	
-0.492455	0.442474	1567	
0.701333	0.049843	1874	
0.232661	0.299003	404	
-0.014629	-0.125275	4153	
-0.897001	0.288865	7907	
-0.149933	0.604722	1761	
0.101131	-0.190574	9824	
-0.691938	0.082529	5949	
0.508369	0.459848	5624	
-0.405842	0.043977	3718	
0.286065	0.493591	6318	
0.259468	-0.948440	5176	
-0.499139	0.015898	646	
-0.219164	0.489833	2361	
-0.283446	0.245186	9123	
-0.346253	-0.862879	9645	
0.063391	0.724608	2410	
-0.650208	0.301221	370	
0.656480	0.566150	7606	
0.240109	0.602190	6751	
-0.155318	0.495296	10188	
0.490348	0.079908	4393	
0.446551	-0.143762	3093	
-0.966420	0.038876	10420	
0.394923	-0.685190	10396	
0.390509	0.547581	5350	
-0.915461	0.255549	2390	
0.252596	-0.762045	8664	
0.528328	0.466472	7966	
-0.215774	-0.737384	2436	
-0.097627	0.637383	5800	
0.285670	0.611973	6773	
0.806511	0.179266	2675	
0.419888	-0.426758	9026	
0.025643	0.444373	9941	
-0.604980	0.662650	9068	
-0.960501	0.214414	5885	
0.688161	0.405172	10263	
-0.512825	-0.320584	9228	
-0.815109	-0.429719	2125	
-0.400511	0.780712	10641	
-0.254278	0.147132	1097	
0.461382	0.361074	9181	
-0.393622	-0.060633	9894	
-0.311071	0.627243	9203	
-0.223482	-0.924279	10780	
-0.157187	0.628789	6421	
0.698641	-0.524373	10232	
-0.093024	0.838791	3283	
