time = 0.003	Re = 10	rotation = 9.86959e-11
0.643437	0.402767	7404	
-0.103714	0.937635	9586	
0.344082	0.266697	10926	
0.128129	0.956933	9510	
-0.773028	0.272229	5867	
-0.956623	0.137251	2479	
-0.641180	0.433279	8405	
-0.349764	0.583404	6891	
-0.576932	0.764994	10535	
-0.982137	0.090233	2445	
0.238366	0.382440	1913	
0.793163	0.271113	6805	
-0.053620	0.479754	5097	
0.016781	0.967259	5973	
-0.800083	0.039650	4306	
-0.032587	0.458259	623	
-0.529474	0.058870	3012	
-0.200665	0.381397	6875	
0.323215	0.625358	779	
-0.351835	0.316220	3372	
-0.437694	0.713927	6694	
0.123155	0.399660	3647	
0.331355	0.029635	8715	
0.782629	0.001208	9595	
-0.289550	0.848340	6460	
0.541349	0.720528	8029	
0.266830	0.307376	5361	
0.074558	0.274575	4462	
-0.982620	0.024945	2062	
-0.711428	0.513760	5968	
-0.554684	0.369490	9460	
-0.335618	0.712927	6465	
-0.146113	0.301692	5979	
-0.859178	0.421845	10249	
-0.223361	0.160394	4834	
-0.299585	0.095620	5622	
0.159362	0.455898	922	
0.284704	0.254025	9765	
0.102158	0.131903	6168	
-0.598968	0.514054	10141	
-0.208912	0.233078	1373	
0.170864	0.746836	932	
0.217977	0.579011	1419	
-0.659801	0.686362	9716	
-0.343242	0.802692	10316	
0.672728	0.415280	8477	
-0.168783	0.936617	762	
0.444368	0.032901	1686	
-0.148108	0.093894	3433	
0.287356	0.364463	376	
0.335430	0.571844	6572	
-0.191387	0.895345	6686	
-0.537860	0.538869	4043	
0.546070	0.746584	768	
0.442860	0.482892	601	
-0.611954	0.205566	5268	
0.070937	0.437814	6816	
-0.505910	0.036561	9214	
-0.186156	0.877751	6686	
-0.136012	0.284086	5247	
0.221973	0.002677	7809	
-0.551066	0.024753	7494	
0.386306	0.705148	6825	
0.192130	0.537236	5004	
-0.088843	0.600193	10834	
0.308164	0.373040	2260	
0.336468	0.456885	3815	
-0.829866	0.233174	10593	
-0.837257	0.322017	9116	
0.222655	0.367626	1868	
0.452454	0.678059	6057	
-0.710618	0.168043	10222	
-0.871129	0.264333	10643	
-0.303287	0.088248	4070	
0.204458	0.714376	1095	
-0.685556	0.342138	9945	
0.454500	0.663318	3747	
0.708920	0.554603	8411	
-0.948487	0.057321	5282	
0.510212	0.032273	1010	
-0.086625	0.824798	4518	
0.337212	0.545918	6992	
0.177623	0.896480	2758	
0.150156	0.421819	5839	
0.405903	0.357207	6290	
-0.686693	0.684126	5682	
0.689707	0.510128	5387	
-0.744623	0.621473	7138	
-0.521326	0.630871	2794	
0.387491	0.106255	9722	
-0.046108	0.585593	9626	
-0.492749	0.201010	737	
0.275712	0.760744	3195	
-0.281779	0.708898	2435	
0.174751	0.809593	4912	
-0.591856	0.796397	7743	
-0.467184	0.298264	7401	
0.956344	0.046014	453	
-0.620493	0.520875	1389	
-0.248011	0.242100	690	
0.369105	0.669237	5957	
-0.909531	0.325297	4139	
-0.006171	0.172196	6931	
-0.829848	0.452729	10666	
-0.377028	0.888615	10815	
0.394549	0.463344	9210	
-0.470761	0.575534	3879	
-0.610198	0.741232	2199	
0.449988	0.164488	2911	
0.496448	0.497357	1367	
-0.825235	0.386447	2213	
0.458896	0.578210	6094	
0.148064	0.944949	9458	
0.119548	0.564667	8613	
-0.897659	0.104079	7713	
0.228876	0.731634	3440	
0.482476	0.238011	5750	
0.288841	0.339756	9354	
0.454961	0.584593	9035	
0.513307	0.251464	2572	
-0.670935	0.512905	3248	
0.726952	0.347698	9287	
-0.514725	0.731065	8105	
-0.215139	0.391933	1024	
0.589013	0.706061	9278	
-0.118446	0.207296	3769	
0.329929	0.753890	1973	
0.208155	0.495617	3547	
-0.016817	0.854115	7564	
-0.111757	0.367046	1194	
0.579539	0.467119	3560	
0.580925	0.514993	6626	
-0.980633	0.136357	2479	
0.423981	0.590858	10233	
0.400089	0.360934	6290	
0.258753	0.434827	8450	
-0.172398	0.415033	6880	
-0.935889	0.060995	709	
-0.539177	0.118127	5700	
0.175934	0.897956	10998	
0.840544	0.366244	500	
0.148184	0.178636	6166	
-0.768277	0.244376	2588	
-0.751422	0.223292	7754	
0.079627	0.868255	9656	
0.589976	0.032356	9732	
0.397115	0.046792	10291	
-0.537236	0.490110	10240	
0.488202	0.839807	9428	
-0.542285	0.133949	7267	
0.752570	0.232383	8433	
-0.742607	0.350325	1770	
-0.494600	0.072754	1255	
0.288958	0.251212	9765	
-0.099551	0.288301	1565	
0.842384	0.450209	9453	
0.759713	0.044016	2890	
0.071604	0.452730	4819	
-0.347765	0.300189	3776	
-0.466424	0.199530	7399	
-0.014735	0.345138	6676	
-0.338799	0.066207	665	
-0.172483	0.677045	1280	
-0.095202	0.200638	2254	
0.858950	0.122662	361	
-0.541448	0.685415	6385	
0.052825	0.550055	6542	
0.664478	0.060778	10339	
0.281815	0.030208	3660	
0.820145	0.027982	1473	
-0.746545	0.397988	7604	
0.520098	0.562947	10627	
0.460956	0.192846	3804	
-0.175895	0.498388	6087	
0.342231	0.883779	8523	
-0.214066	0.924840	7480	
-0.496746	0.157884	5937	
-0.875928	0.100003	9082	
-0.364204	0.525951	815	
-0.764361	0.356315	10371	
-0.467432	0.807419	1281	
-0.083175	0.485031	6457	
0.791026	0.208683	9167	
-0.249299	0.641133	4241	
0.432065	0.056372	2335	
-0.587873	0.307173	7855	
-0.509444	0.201096	1612	
-0.850210	0.363214	10294	
0.647506	0.275425	642	
-0.263018	0.761437	3149	
0.391894	0.412434	7607	
0.150123	0.256768	4138	
-0.526420	0.448386	9059	
-0.193706	0.068880	9084	
-0.006904	0.326903	4522	
-0.637047	0.166290	5960	
-0.519019	0.220528	357	
0.419401	0.769634	1418	
-0.273036	0.159394	6126	
0.289469	0.332831	9354	
-0.989370	0.060335	2313	
0.796385	0.118932	1836	
0.191167	0.354821	1506	
-0.932457	0.082876	709	
-0.273552	0.246772	6156	
-0.012819	0.152283	3336	
0.233881	0.739508	3732	
0.203427	0.595197	7005	
0.473970	0.725784	9393	
-0.441657	0.797254	10452	
-0.504764	0.827051	9343	
