time = 0.187	Re = 25	rotation = -0.268138
-0.783157	0.481758	6205	
-0.782505	0.482752	6205	
-0.781396	0.484502	6205	
-0.779242	0.487791	8301	
-0.776389	0.492335	8301	
-0.772670	0.498515	8185	
-0.768312	0.505448	8185	
-0.763093	0.513437	8185	
-0.757348	0.521827	9055	
-0.750811	0.531307	9784	
-0.743238	0.542014	9784	
-0.735211	0.553041	9492	
-0.726307	0.564723	9496	
-0.716794	0.576686	9742	
-0.706096	0.589493	9836	
-0.694734	0.602365	9836	
-0.682899	0.615546	9252	
-0.670253	0.628962	1242	
-0.656977	0.642802	7789	
