Time	U_x	U_y	P	Max.Res.
0	0	0	0	0
0.001	1.618964258e-06	1.257935359e-05	-0.001548635932	1
0.002	2.054008934e-06	2.944073008e-05	-0.009015650724	39.02793577
0.003	1.049102067e-07	3.580092108e-05	-0.01476716168	105.8199251
0.004	-2.160095538e-06	4.27809233e-05	-0.02028326675	8.54560407
0.005	-4.458608041e-06	4.806216984e-05	-0.02300901904	9.075792898
0.006	-6.613788258e-06	5.195315584e-05	-0.02427070212	3.285519821
0.007	-8.562134411e-06	5.450818572e-05	-0.02448988487	16.39718696
0.008	-1.028999857e-05	5.544838103e-05	-0.02368621728	51.66613405
0.009	-1.172401641e-05	5.493397266e-05	-0.022031722	7.732121949
0.01	-1.284035366e-05	5.269669266e-05	-0.01949091829	5.034894783
0.011	-1.35856246e-05	4.78085958e-05	-0.0155683164	2.474750023
0.012	-1.373823247e-05	4.186320815e-05	-0.01112310706	8.535679693
0.013	-1.33596076e-05	3.633545712e-05	-0.00710309726	8.366608652
0.014	-1.271755283e-05	3.142777997e-05	-0.003729472216	8.014229184
0.015	-1.201327405e-05	2.703440344e-05	-0.0009524437524	2.382342777
0.016	-1.133788686e-05	2.306085679e-05	0.00131842941	5.89064231
0.017	-1.071643234e-05	1.946366719e-05	0.003149255964	4.369052428
0.018	-1.014571078e-05	1.617598638e-05	0.00462887188	2.550284329
0.019	-9.610953399e-06	1.319226923e-05	0.005791821331	8.213798856
0.02	-9.100402983e-06	1.046490337e-05	0.006707333696	5.800100062
0.021	-8.597914404e-06	7.875873782e-06	0.007517240557	4.966201628
0.022	-8.070936842e-06	5.254924482e-06	0.008428702439	3.374158811
0.023	-7.491334336e-06	2.767233114e-06	0.009269261268	10.0878283
0.024	-6.870847634e-06	4.918614784e-07	0.009957857365	8.693283444
0.025	-6.233725261e-06	-1.585166459e-06	0.01050765388	5.605690136
0.026	-5.595335711e-06	-3.482764544e-06	0.01094311507	38.87631015
0.027	-4.964657359e-06	-5.211194229e-06	0.01126849037	8.891332151
0.028	-4.344952642e-06	-6.78756225e-06	0.01151432052	2.819474755
0.029	-3.737497761e-06	-8.226204905e-06	0.01169117934	7.317219944
0.03	-3.141769257e-06	-9.536669708e-06	0.0118144281	28.08755763
0.031	-2.557864504e-06	-1.073214031e-05	0.01189212832	10.15166171
0.032	-1.981646974e-06	-1.178614327e-05	0.01193996889	51.00744285
0.033	-1.412924843e-06	-1.268102562e-05	0.01195571907	29.79908041
0.034	-8.577844492e-07	-1.343670894e-05	0.01193204335	17.46015097
0.035	-3.198398482e-07	-1.405900494e-05	0.01186822492	7.412097687
0.036	1.987682228e-07	-1.454549075e-05	0.01176439252	1.880622007
0.037	6.941952853e-07	-1.491730796e-05	0.01162589337	9.051499296
0.038	1.165775907e-06	-1.516434787e-05	0.01144996837	3.508948718
0.039	1.609201965e-06	-1.533609611e-05	0.0112528599	1.254789379
0.04	2.026951878e-06	-1.542277108e-05	0.01103221985	11.57365568
0.041	2.41895307e-06	-1.54342435e-05	0.01079192669	1.584163039
0.042	2.785036581e-06	-1.537957023e-05	0.01053581142	3.004776765
0.043	3.125406617e-06	-1.528993029e-05	0.01027970972	1.200569556
0.044	3.443647246e-06	-1.512535102e-05	0.01000274987	13.41962183
0.045	3.736999898e-06	-1.494054318e-05	0.009734517579	1.458346144
0.046	4.009175499e-06	-1.46927449e-05	0.009449828492	3.167449697
0.047	4.257978229e-06	-1.441140134e-05	0.009165699001	0.7698677653
0.048	4.484754788e-06	-1.410197466e-05	0.008884708257	2.345745039
0.049	4.690391045e-06	-1.369094988e-05	0.008557819457	0.7017829422
0.05	4.866469832e-06	-1.317846551e-05	0.008184205682	1.524022571
